plot_name;WD_mean;prop_at_5m;prop_at_10m;prop_at_15m;prop_at_20m;prop_at_25m;prop_at_30m;prop_at_35m;prop_at_40m;h10;h25;h50;h75;h90;h100;Smax;hSmax;auc;logistic_a;logistic_b;logistic_h0;logistic_k;logistic_R2;IDV;ROS;IAS;ICT;IPN;ET;CSI;GVN;RT;HPSI
Betamba_3;0,459189546294358;0,0044;0,012;0,0252;0,1308;0,3396;0,4368;0,6712;0,9412;19,1630434782609;22,0606060606061;31,8631578947368;36,0851063829787;38,448275862069;;0,0751999999999999;36,5;0,515623728813559;-0,00679501936660491;1,03570906138861;30,447219347103;0,183500786530945;0,990902437987666;15,9822096232979;3389,69764837626;0,430698920003849;0,124245818043447;0,0189953475939175;19,2852323838081;2,39610947368421;0,00195587443946188;0,430698920003849;0,854476379253386
Betamba_4;0,417842593797534;0,03;0,0776;0,1784;0,6896;0,918;0,9684;1;1;12,5714285714286;16,1601731601732;18,3131313131313;21,1052631578947;24,4444444444444;;0,1352;17,5;0,705552542372881;0,0231197833236826;0,995472736082628;18,5998457620238;0,412971551638143;0,998358514802136;8,8949494949495;523,232323232323;1,29688161422322;0,208534662129315;0,0354026547166793;11,8730158730159;2,47593535353535;0,00553090909090909;1,29688161422322;0,955598455598455
GIL1;0,675900197374317;7e-04;0,0032;0,0143;0,0343;0,1009;0,24;0,6829;0,9905;24,9407894736842;30,1788908765653;33,1635338345865;35,7365532381998;37,6907051282051;;0,1084;32,5;0,472086440677966;0,019199613116049;1,01055462654023;33,0617195542436;0,391998631328716;0,997894014833002;11,2184756893924;5818,16383062921;0,862086165683025;0,281956929369526;0,0115927296540664;12,7499156545209;3,59492706766917;0,00287604064798673;0,862086165683025;0,97999206484158
GIL2;0,679711679369825;0,0038;0,0097;0,0254;0,0863;0,2211;0,5319;0,9708;1;20,5684647302905;25,8233618233618;29,6114494518879;32,1892430278884;33,8255114320096;;0,1009;30,5;0,5376;0,0223130946046081;1,011402051554;29,2797001231856;0,368302412676011;0,99680485350105;11,6054525613998;3364,93743771454;0,680499985424962;0,225374121168936;0,0151191527162423;13,2570467017192;2,98779524969549;0,0029829556369846;0,680499985424962;0,969993007280655
GIL3;0,653733974085753;0,00146398594573492;0,00331836814366582;0,0091743119266055;0,0534842865508491;0,193734140152255;0,422115947686902;0,832520007807925;0,999219207495608;21,940614334471;26,3856132075472;31,0294759825328;33,7397043294615;36,431512605042;;0,094866289283623;32,5;0,510395954436126;0,0089320780211958;1,01285816015223;30,5401460188028;0,314333425240913;0,998012774463388;12,342199038691;4800,36253838186;0,583615080429918;0,203137941479882;0,015050343940137;14,490898270571;2,94365124487818;0,00260396240782201;0,583615080429918;0,952608802730183
JEU-L6B;0,634757315584483;0,000951474785918173;0,00466222645099905;0,0176022835394862;0,088011417697431;0,237297811607992;0,422169362511893;0,750142721217888;0,998667935299714;20,4158415841584;25,4926199261993;31,2674698795181;34,9977511244378;37,1369661266569;;0,078972407231208;31,5;0,510764566433905;0,0104556257571918;1,0197738818861;30,7694769567827;0,261534739767246;0,99619628042516;14,0783513710065;5253,73474714205;0,64595292952606;0,147673522683175;0,0171033034567219;16,7211245424984;2,46926736441483;0,00212651746946344;0,64595292952606;0,992563193588163
JEU2;0,302673266932329;0,0052;0,0307;0,1578;0,7104;0,9894;0,9999;1;1;13,5933333333333;16,3260643821392;18,5269741985927;20,3055555555556;22,0548523206751;;0,1499;19,5;0,710524576271187;0,0146941490667697;1,00195141140431;18,424314232869;0,560543553156314;0,999489777872477;7,10802056980557;1816,37001946987;0,808111874310631;0,328214524664384;0,024651272354128;8,46151898734177;2,77719343236904;0,00679669026210063;0,808111874310631;0,947480587440918
JEU3;0,317109220440544;0,118579766536965;0,299416342412451;0,605447470817121;0,962645914396887;0,986770428015564;0,989494163424125;0,994747081712062;1;4,1906779661017;8,24691358024691;13,8299120234604;16,5730223123732;18,4344703770198;;0,095914396887159;16,5;0,803322231748335;0,0813438066529593;1,00183291918619;13,7277988318456;0,361349776294295;0,995256539905939;10,6859807683434;111,910812028631;0,491332805626562;0,093127422280874;0,0744709340108476;14,2437924109181;1,32648767073267;0,00520299172829641;0,491332805626562;0,806933842239186
JEU4;0,352725128364003;0,034;0,0965;0,2049;0,5527;0,903;0,9492;0,9995;1;10,2713178294574;16,2356687898089;19,4932692307692;21,7140169332079;24,8739495798319;;0,1214;20,5;0,698905084745763;0,0429721090974063;0,996466109440943;19,4289841295345;0,382029433417916;0,997651405892312;11,4438212264702;499,82741617357;0,681712733862479;0,162058656622268;0,038429237828626;14,6026317503746;2,36648288461539;0,00488060810810811;0,681712733862479;0,948354954866078
Lokofa_1;0,543220422992145;0,3886;0,5703;0,6644;0,7634;0,8623;0,9296;0,9781;0,9963;3,20091324200913;3,88584474885845;7,62595419847328;19,1184210526316;27,5472972972973;;0,219;3,5;0,812887288135593;-366,686197829458;1,01835608747967;-70,7773088175755;0,0822164429992957;0,982733938549955;6,73984121564926;19,3748836343325;3,07276217687742;0,0685967971947316;0,418645168464561;24,3463840552882;1,67008396946565;0,00794996320824135;3,07276217687742;0,458958958958959
Lokofa_2;0,631775980432104;0,0455;0,1094;0,2685;0,4287;0,6125;0,8375;0,985;1;9,5607476635514;14,38127090301;22,0288713910761;28,2257383966245;31,2739273927393;;0,0542;30,5;0,659403389830508;-0,00335190529819196;1,01967849723744;21,6684253615318;0,179710616057854;0,995829282270959;15,2944284144066;436,215275070814;0,810302135319233;0,0549880231402194;0,0447444250932934;21,7131797291879;1,19396482939633;0,0017330730265935;0,810302135319233;0,615453353985464
Lokofa_3;0,610528173816418;0,2326;0,5299;0,6987;0,841;0,9517;0,9892;1;1;3,80829596412556;5,20863309352518;9,36518046709129;16,7181208053691;22,6610169491525;;0,1155;4,5;0,823011016949153;-0,924565172846055;1,01029595109704;2,29968341025079;0,137999647054972;0,995457334534338;7,7913155758484;39,4157427066132;1,7690019329599;0,0573751844525851;0,214952123002369;18,852720985027;1,08167834394904;0,00509685863874346;1,7690019329599;0,480503287236454
Lokofa_4;0,622875752530392;0,0627;0,1681;0,3021;0,5357;0,7628;0,8899;0,9282;0,9707;6,53992395437262;13,234693877551;18,9963768115942;24,7142857142857;30,9901960784314;;0,0584;17,5;0,688042372881356;-0,0214461929189747;1,00162164942388;18,8770752519338;0,179796069432576;0,99852524459455;14,987532871336;280,596407852204;0,992402561568768;0,0453732539322324;0,0677551242068178;24,4502721240588;1,1093884057971;0,00188446694084151;0,992402561568768;0,921228304405874
M2P1;0,683213487687209;0,0024;0,03;0,0668;0,164;0,4312;0,8285;0,9829;0,9968;17,2835051546392;22,1398865784499;25,7166666666667;28,7461773700306;31,2821100917431;;0,099;26,5;0,595005084745763;0,0222919202200421;1,00542898533233;25,6439512276509;0,343395555648504;0,999011173750677;11,5080937925884;3475,22522522522;0,846993840450031;0,181871694460913;0,0211668097277795;13,9986049371039;2,54595;0,00316474814869125;0,846993840450031;0,969539857420609
