plot_name;WD_mean;ISA;ICV;IDT;log_transition_thickness;log_max_d1;h50_relatif;basal_thickness_relatif;ratio_h50_h90;ratio_basal_transition;h50_squared;anisotropy_squared
Model_OR_lidar_87_Principal;0,608632293676364;1,29839803010265;25498,5727064557;11,2302416207759;2,31059314379739;-2,93277274817141;;;;2;719,976076714892;26,510913765625
Modele_2406_Principal;0,623091562446593;0,30828393185792;14274,3079273673;6,81950077628029;1,82875505690465;-2,46122184730307;;;;3,47619047619048;688,933195721808;26,9784587358726
Modele_4301_Principal;0,640060779405637;0,55924141058282;10135,7098097429;11,6627382894684;2,47311207329516;-2,67566075321334;;;;1,325;562,085069444444;26,506795335375
Modele_4402_Principal;0,642357901463453;0,219699160062489;13093,6156678292;10,0335649861162;2,21821982366637;-2,60033860565632;;;;2,19354838709677;748,464859109673;25,8112931204035
Modele_4503_Principal;0,572209192986449;0,837514771548203;12787,0734848835;8,78179483600197;2,31059314379739;-2,60415417475497;;;;1,35294117647059;458,881912197531;26,7283002066012
Modele_MA_lidar_205_principal;0,633491078157232;2,78678443874302;16231,5909857714;9,22347218915843;2,11643712935643;-2,64333619116279;;;;2,46428571428572;707,159234847063;26,5514941797217
PARAP_Gungu_5;0,537557003550616;0,257482510015896;1,5304569008764;2,2481065013714;1,34918197664276;-2,04642296190611;;;;1,84615384615385;113,108005706376;26,5920891268032
PARAP_Idiofa_6;0,639826968766586;0,34177398735451;1,40914527874657;4,79019470254906;2,36775155763734;-2,74704245817807;;;;0,638888888888889;166,421049433947;26,5004097820781
PARAP_Luhudi_5;0,51063808437062;0,423560797494563;14971,6256108958;2,67626295473919;1,49228282028344;-2,17865925809989;;;;2,4;205,665216283672;25,8812437658474
PARAP_Lukolela_53;0,798892924272538;0,314981143499435;21266,7004156689;8,22785861642999;2,11643712935643;-2,74429177767891;;;;2,17857142857143;555,016050346717;26,4033848212183
PARAP_Mampulu_28;0,582667015416669;0,962508901474738;8584,59519721584;5,24692862993123;1,77996489273522;-2,19116799531453;;;;2,75;453,009663527188;26,510913765625
PARAP_Mangai_16;0,597694054128631;1,0879033542302;26875,5960175842;15,953107124465;2,56842225309949;-3,0178809215674;;;;1,59090909090909;872,337108458321;26,713960788025
PARAP_Maniema_178;0,630463454652273;0,13009487034892;14837,713152624;8,61058928131758;2,39515053182545;-2,94732825026358;;;;1,13513513513514;346,790399852942;26,7724805779845
PARAP_Mashambio_26;0,686185396307721;0,752908183773625;11258,5588338482;4,59975341609393;1,61744596323744;-2,23005033693857;;;;3,41176470588235;458,908876865634;26,6288010756988
PARAP_SwaKibula_234;0,536598499317287;0,226061001726309;9583,58418909033;6,0010227535089;2,21821982366637;-2,80564612413852;;;;1,09677419354839;262,572261557684;25,8316563836221
WWF-DIAF_07_01_Principal;0,549473097443754;1,31417494307038;13476,922658843;7,87576348239766;2,1515284491677;-2,63254739025303;;;;1,89655172413793;517,722723665939;25,3405740729408
WWF-DIAF_08_02_Principal;0,565400758294462;0,647586826938427;23831,028004926;7,49205300219303;2,08006948518556;-2,74672748590326;;;;2,07407407407407;485,633754112766;26,7342853432326
WWF-DIAF_11_05_Principal;0,671191372015157;0,12328019741696;15,1550896002521;7,90319961378943;2,04232915720271;-2,50220501337524;;;;2,5;639,367346938775;26,4798671668396
WWF-DIAF_13_07_Principal;0,678001575103467;1,22523135626974;10906,5717563297;10,6462536627758;2,18543000084338;-2,76748673609485;;;;2,56666666666667;845,778921647172;26,6123920384
WWF-DIAF_14_08_Principal;0,640454370495342;0,270654296727945;15033,1541537203;7,47312284638967;2,11643712935643;-2,59826755182807;;;;1,92857142857143;487,267219932208;25,5414422748577
WWF-DIAF_15_09_Principal;0,564973771653605;0,243799604444773;16171,2014057669;5,00860452625715;1,91972683511038;-2,43375561495091;;;;1,95652173913044;300,656510394748;26,7546134891904
WWF-DIAF_16_10_Principal;0,590432552333974;3,01200013709398;6277,51438959773;13,9483550703074;2,47311207329516;-2,97191227264405;;;;1,775;833,45179584121;26,025096149808
WWF-DIAF_17_11_Principal;0,603926940023263;0,567559114865485;18253,4610637047;2,77421943020591;1,55682134142101;-2,24650826853535;;;;2,1875;196,566064687277;26,464817347449
WWF-DIAF_supp1_Principal;0,647391569284078;8,67573514786596;1218,77659897922;8,93715288469796;2,7732166657455;-3,03440681534067;;;;0,351851851851852;196,599846627201;25,2224680390184
WWF-DIAF_supp2_Principal;0,54118987036099;1,61184381216905;1500,76535438368;21,2472305006195;2,97388736120765;-2,80118849289452;;;;0,681818181818182;847,349688610148;1,58114682176504
RAB01h;0,661041717;0,453089476486933;28502,226594213;8,1969543160611;2,31059314379739;-2,78788503043316;;;;1,38235294117647;376,645348183391;26,6458697444844
RAB02h;0,677997226;2,19070863921029;16136,0834689834;13,4945942753579;2,59089510895155;-3,06822805923299;;;;1,24444444444444;586,551051718821;26,8447264099523
RAB03h;0,644401004;2,58264969713776;18568,3720994062;12,5704716113565;2,39515053182545;-2,85947925782582;;;;1,83783783783784;787,442366882118;26,8049767661978
RAB04h;0,645410994;0,385696764791701;21943,7682251176;10,7294399391417;2,18543000084338;-2,79007498382264;;;;2,56666666666667;847,995099318563;26,7666340071964
RAB05h;0,623710968;4,02587169782201;23177,6137929432;13,2249054005599;2,44779426531087;-3,01013114374934;;;;1,79487179487179;747,631836734694;26,7643836565004
RAB06h;0,642725861;0,112424155375175;11836,1301161642;14,8077802282558;2,49780468588554;-3,08006950718553;;;;1,78048780487805;825,972702442984;26,7673275776933
RAB07h;0,712854621;0,5603094292456;21183,6848718981;19,8893004672061;2,75452453273335;-2,98579642418329;;;;1,20754716981132;924,087620464852;26,6870132610906
RAB08h;0,662886848;2,21968081936682;28862,8998760788;9,76360012391626;2,42181877890761;-2,94068300860863;;;;1,28947368421053;430,825198285531;26,6272448211042
RAB09h;0,632924835;0,314333408596542;29204,2903339551;12,1665626671767;2,54543273487479;-3,11290323519464;;;;1,23255813953488;552,454366729678;26,8258337605138
RAB10h;0,654281737;3,90921893068092;11452,1232930127;14,2357693333924;2,56842225309949;-3,09406961695697;;;;1,43181818181818;744,319336871612;26,8062165736406
RAB11h;0,647456918;0,66078141380416;15767,5964543954;13,7776273477268;2,5219022374646;-2,9982463102305;;;;1,54761904761905;700,754828954214;26,7848474626627
RAB12h;0,622537955;0,233660912250461;5,31997429208334;14,8647311083603;2,63438022089129;-2,98364010945282;;;;1,29787234042553;745,151778561128;26,7650754614612
