plot_name;height_aboveground;buffer;proportion
123;1;0;0
123;1;20;0
123;1;50;9,31185399012944e-05
123;1;100;5,4536332104448e-05
123;1;200;2,96303821472715e-05
123;2;0;0
123;2;20;0
123;2;50;0,000395753794580501
123;2;100;0,000381754324731136
123;2;200;0,000342865850561284
123;3;0;0,000402010050251256
123;3;20;0,000188164455734312
123;3;50;0,00144333736847006
123;3;100;0,00296677646648197
123;3;200;0,00206989383857368
123;4;0;0,00110552763819095
123;4;20;0,000517452253269357
123;4;50;0,00260731911723624
123;4;100;0,00704609410789468
123;4;200;0,00504986370024212
123;5;0;0,00190954773869347
123;5;20;0,000893781164737981
123;5;50;0,00393425831082969
123;5;100;0,0107872864902598
123;5;200;0,00806369685579316
123;6;0;0,00321608040201005
123;6;20;0,00183460344340954
123;6;50;0,00530775677437378
123;6;100;0,0157609999781855
123;6;200;0,0119579756522917
123;7;0;0,00552763819095477
123;7;20;0,00390441245648697
123;7;50;0,00803147406648664
123;7;100;0,0227961868196593
123;7;200;0,0174268976143309
123;8;0;0,00954773869346734
123;8;20;0,00715024931790385
123;8;50;0,0118958934723904
123;8;100;0,0300931480552344
123;8;200;0,0236704424239346
123;9;0;0,0146733668341709
123;9;20;0,0109605795465237
123;9;50;0,0163190241177018
123;9;100;0,0376627909513318
123;9;200;0,0304050049948359
123;10;0;0,018894472361809
123;10;20;0,0152883620284128
123;10;50;0,021510382717199
123;10;100;0,0450906393839576
123;10;200;0,0376644486209174
123;11;0;0,0235175879396985
123;11;20;0,0192398155988334
123;11;50;0,0269578173014247
123;11;100;0,0540673196483497
123;11;200;0,046320753119656
123;12;0;0,0337688442211055
123;12;20;0,0257785304356007
123;12;50;0,0355247229723438
123;12;100;0,0657271874522807
123;12;200;0,0580840148321227
123;13;0;0,0444221105527638
123;13;20;0,0338225609182426
123;13;50;0,0446270602476953
123;13;100;0,0779324185772562
123;13;200;0,071354193122365
123;14;0;0,0562814070351759
123;14;20;0,0417725091730172
123;14;50;0,0538225160629481
123;14;100;0,0911629327457952
123;14;200;0,0859281082270873
123;15;0;0,0690452261306533
123;15;20;0,0514629786433343
123;15;50;0,0649269019461775
123;15;100;0,10605135141031
123;15;200;0,102250215878499
123;16;0;0,081608040201005
123;16;20;0,0629410104431273
123;16;50;0,0770090324983704
123;16;100;0,12211775484828
123;16;200;0,119922622373478
123;17;0;0,0944723618090452
123;17;20;0,0753598645215919
123;17;50;0,0913725672781451
123;17;100;0,139154904997709
123;17;200;0,138585530214524
123;18;0;0,110954773869347
123;18;20;0,0918242543983442
123;18;50;0,109111649129342
123;18;100;0,160031412927292
123;18;200;0,159458017981409
123;19;0;0,12713567839196
123;19;20;0,108617932072631
123;19;50;0,129597727907626
123;19;100;0,183591108396414
123;19;200;0,182332672999103
123;20;0;0,145025125628141
123;20;20;0,127716624329664
123;20;50;0,152411770183444
123;20;100;0,208350603171833
123;20;200;0,204648583667733
123;21;0;0,171256281407035
123;21;20;0,15198983911939
123;21;50;0,17767017413167
123;21;100;0,236709495866146
123;21;200;0,231595299774809
123;22;0;0,213869346733668
123;22;20;0,185530153354031
123;22;50;0,211705000465593
123;22;100;0,274917650138522
