genus,NSCA_Genus1,NSCA_Genus2,NSCA_Genus3,NSCA_Genus4,NSCA_Genus5
Annickia,0.538670497429781,-0.48358427226024436,0.0864602660071522,0.7767694204134614,-0.24022264409640526
Barteria,1.478393341798076,-0.004160035609437879,1.1189292065874927,-4.937594200421461,12.045009064940343
Canarium,-0.25169814604684876,-0.02157666366850155,-0.055144898300456595,-0.014799471713013506,0.11466853228616128
Chaetocarpus,1.7082395191222353,1.1149295805629973,0.9023324267968924,-3.4383213146340963,-2.0956017139780596
Chrysophyllum,0.26036002923636126,-0.34834931130505403,0.3194967938727014,-0.28620032423411307,-0.6222478851671257
Cola,1.0087731565276434,-1.0537968215803004,-1.5408169746713283,-3.01657657930997,-4.251640950232429
Copaifera,0.14163058527115735,-0.040886102915578364,0.04289068549479012,-0.12747911836193124,-0.21876211180843422
Dacryodes,1.333075039255112,-0.29416578980421093,0.12098679531279694,-0.179340146705974,-0.7854697597966025
Dialium,5.0936738753220165,-3.5391327458104516,0.5414765590713818,12.162346861107862,-0.07863177751071489
Diospyros,4.252072077304276,-4.165069913202,0.03535596392746848,9.699266541255392,-0.714925212493236
Drypetes,1.4618239696061206,-0.870264609210394,0.04909738286651911,-2.839853481864471,-2.94107260691053
Duvigneaudia,0.8867988375542013,-0.3907388234586745,0.306407394078609,-1.880482295142034,-1.7955629449503983
Entandrophragma,1.220243741094492,0.9445025509456847,-0.010318684921003976,-2.408517475771626,-1.4831397829136812
Klainedoxa,1.278707388502325,-0.4155439632192155,0.5170062210657265,-2.532999447657737,-1.3502206759256317
Lovoa,0.05150519689549682,-0.05943530527046109,0.05289961500214451,-0.21772538307924677,-0.20427137411109586
Macaranga,-29.145668438764755,0.6058994669229003,-22.719918364980497,-2.0966972283448344,-0.6113033107804469
Maranthes,0.3515190056759889,-0.1287581466577852,2.4140670174092015e-4,0.4683187803488386,-0.29549332162926595
Musanga,-34.05440168623635,0.4600162678699371,21.814269388881986,1.7500564848478768,-1.1436544189483346
Omphalocarpum,0.07154073537005763,-0.1180176497115162,0.026306652461614167,-0.31242452422522454,-0.28186324608257585
Oncoba,1.2053670941936159,-0.7545727479527551,0.23440532160991548,-3.90481724212896,1.1119253085252796
Ongokea,0.6218739404588214,0.2528191251175951,0.22647808103815448,-1.2744576407209423,-0.02652720751433328
Pancovia,1.0587177391217344,-0.5838429004974544,0.49416141065007113,-1.2342989687050248,-1.7116233748292566
Pentaclethra,1.4485286827131485,-0.5057146166035806,0.5033485306634783,-3.4786731861182476,-2.604902416686116
Piptadeniastrum,0.05762087249778095,-0.054573887613564895,0.05746552015743486,-0.2832036387393959,0.2114030022611758
Plagiostyles,4.479034901061447,-1.1861518658116943,2.3166653908004773,-11.390820824416139,0.17825963672301848
Polyalthia,3.222414371974138,-1.6392453206817919,1.3310362543829752,-6.131067281281626,-7.313919536265937
Pycnanthus,-0.04318086759802771,0.19421424063903214,0.13956984789633986,-0.6126831590883989,-0.28449010150708837
Rhabdophyllum,0.0770242894433654,0.0430606027925921,0.006698335127678139,-0.11850847238921437,-0.11453924879166275
Santiria,1.551425502039755,-0.782811742245464,0.4905989526138854,0.31255579149549606,-0.6186902286598888
Scorodophloeus,1.6811224042158912,-1.3902496183742337,0.18902786542024824,-1.119516443843581,-2.9775091679239076
Sorindeia,2.4313141173875565,0.5692170085181045,0.9492442172763085,-6.649306278699129,-4.111534749236655
Staudtia,0.8215171742122696,-0.9042727692568174,0.4863902431488121,-1.9178141622766087,-1.998376319762139
Strombosia,4.096194839278392,-2.484288921443244,0.845508583071495,-0.6977164538752664,-5.821562848762114
Strombosiopsis,1.7944670887297434,-0.8745120516296353,0.40446754368258253,-1.780584890733117,-3.1877100711632105
Uapaca,2.8035269504902636,32.82818683496266,-0.10820319580563353,3.8416945293156313,-1.9293975848349239
Xylopia,3.203659623989572,10.6552404949985,1.3958398255587623,-1.7358748368875658,0.7073016844325576
Cleistopholis,0.12690196539224877,-0.03975915307774512,-0.19454049749925253,-0.22383408675642105,-0.07103615614521712
Daniellia,0.05179642614183892,-0.019457783908575138,0.008970691614162848,0.14104189052973765,-0.02607256286111239
Dichapetalum,0.10686721163075967,-0.02253826048334051,0.031458680242966025,-0.10534564654461027,-0.12017356444180492
Heisteria,0.5164746287868432,-0.24724917365557694,0.11212196660439089,-0.7740077787791366,-0.9712980358561137
Maprounea,0.21677027411955882,-0.17076845687349815,-0.08874024332105891,0.3586831341623877,-0.14034200980295466
Markhamia,0.0825773784066674,-0.047694320956318925,0.005452362849212147,-0.11568250989906181,0.3960125989322591
Massularia,0.2165288533617852,-0.14670281814037658,0.03945851805265775,-0.5079748159202181,-0.5393173596215548
Milicia,-0.085548420517076,-0.04190346720678012,-0.04592857955163779,-0.08463826271948238,0.1020701350138898
Millettia,1.2845022225635945,-0.7878670714749408,-0.1061940282460743,-2.3332072758626117,1.04740376027136
Olax,0.22578294410966315,-0.1620992024991356,0.10909709835954524,-0.3963373808847757,-0.48884340326223047
Picralima,0.29374893898834126,-0.16999779634725612,0.07665238056980891,-0.5136457128467395,-0.5459394055256503
Anonidium,0.6521227209999813,-0.5142752871615751,0.0836695505286925,-0.6266832963488095,-0.7258070928656415
Garcinia,3.0842717926480803,-2.053008486156665,0.08112460065956789,-5.136191167726103,-6.332667399611315
Ricinodendron,-0.9937212379003026,0.01007809667567692,0.05356810828684684,-0.06877041587720549,0.13656459741457097
Rytigynia,0.3648907045476299,1.1536425757726392,0.2445868702441489,-0.6512473933357241,-0.1633334084884745
