plot_ref,CA1,CA2,CA3,CA4,CA5,WD,prop_helio,prop_npld,prop_shade
123,-0.15269022116583555,0.6431467993043379,-0.11671074822788612,-0.020266682908092144,0.39983114170311534,0.74903564436882,4.17922468616042,36.5936750260878,59.2271002877518
148,-0.20302692144561202,0.5882945525608727,-0.15723879802104845,0.03550413558948359,0.3348050930357888,0.690298572170951,5.10495216309423,40.9384439789642,53.9566038579416
162,-0.15513612805518873,0.5839726063754217,-0.2910981576568029,0.0030546521545019244,0.3232934192315969,0.67639888660562,6.08360364517652,59.4069972558612,34.5093990989623
166,-0.15002086134061907,0.6464939512746952,-0.3208426617739801,0.03146139760110364,0.3693233465015526,0.631734285939406,6.31935357088283,70.2338004747143,23.4468459544029
180,-0.1408483198705091,0.534447593377066,-0.30988691165126253,-0.005163947773406837,0.40021492893364286,0.631656607537616,11.4305326111561,18.0304736142975,70.5389937745464
184,-0.13014593228128093,0.6375588856478925,-0.27426464549240387,-0.021369045814355832,0.4125703380904187,0.687912246838358,6.65235741791403,52.4020501266875,40.9455924553984
189,-0.10303581376180714,0.5388334005615131,-0.2406461187051932,-0.013561240631309916,0.40951686354713496,0.700126455914726,5.04011141385232,51.9136329661374,43.0462556200103
199,-0.1814612490912242,0.6002147119432488,-0.3274146001097158,-0.010857982065379149,0.4262684356379741,0.73090606449878,3.57860349892662,42.1205317122439,54.3008647888294
41,-0.21928941084277684,0.5768014130702286,-0.2734590953383942,-0.02106910083583816,0.4417222221992491,0.698174916972418,12.923905899202,22.3906945054655,64.6853995953326
53,-0.1543373211562226,0.6105189439459661,-0.33034095301442107,-0.005711503078440388,0.5296200805057885,0.712967096210527,8.49382211905145,20.2006392107181,71.3055386702304
Betamba_1,1.2811734428107062,-1.1983010182766507,0.49530834170425064,0.7512283043954849,-0.23985213031837563,0.482952918220068,56.989957687883,25.4653426759621,17.5446996361549
Betamba_2,1.3941173114582548,-1.2698286284865006,0.5347976219184984,0.8030497618367332,-0.2890781226035021,0.466485920244863,71.6403823957078,21.130688826075,7.22892877821729
Betamba_3,1.0669325408935497,-0.8586189265809215,0.3551016723864527,0.44765701451690443,-0.23872942123504487,0.467313882724366,59.2422807891143,20.8660541043471,19.8916651065386
Betamba_4,1.3201003149223562,-1.1373827425865999,0.44605899546736566,0.754526360255852,-0.3283697288420007,0.388442956479716,77.63430647319421,10.1202110848414,12.2454824419644
GIL1,0.25787374815623915,0.4784901946461544,-0.5180830851395012,-0.424351414030104,1.3121374890462159,0.670021289085385,4.14034045757843,3.03437993387475,92.8252796085468
GIL2,0.27036837351725995,0.45986941758144684,-0.5189662453528535,-0.41812375259887247,1.289923687753677,0.675164591028605,7.45068633807007,7.91580839892068,84.6335052630093
GIL3,0.310997745284901,0.39342713795131773,-0.4428981666553894,-0.3647779899253474,1.1960268839559214,0.673235427502365,12.506417563066,9.50562594041764,77.9879564965164
JEU-L6B,0.22120090565864178,0.2815107842926397,-0.20313089338042253,-0.23615135325362951,0.6373835411280269,0.644903399399444,7.21575646626561,25.9071657831103,66.8770777506241
JEU2,1.7800756095732888,-1.6996638027859157,0.700087818569347,1.2412746384763886,-0.3460385278183117,0.2818604059494,97.6346271923248,1.83132709092735,0.534045716747891
JEU3,2.03185780141915,-2.0514094537490233,0.8582261928369419,1.560078149174621,-0.44624932359999464,0.312681517932898,92.4641907267643,5.10725957256789,2.42854970066782
JEU4,1.4792923684086567,-1.331987379069906,0.5324227094595274,0.9124192853447162,-0.21581785829250488,0.344466343333328,83.0275596934624,8.66234002158358,8.31010028495403
Lokofa_1,0.5886385914599684,-0.2840475038531534,0.15584821888648992,-0.2436877658057425,-0.034367457421850434,0.525331345059469,24.7704373200959,47.1172737086163,28.1122889712879
Lokofa_2,0.26316540797343513,-0.225215740089523,0.19993994788600805,-0.27331145934141293,0.04437065574373689,0.567394442339608,25.7434342954975,25.9304492079196,48.3261164965829
Lokofa_3,0.15416551896262448,-0.3896265130445989,0.17739177536491327,-0.19998931808251177,-0.038161872306387096,0.544942022335511,23.0115739093268,36.2922325831278,40.6961935075454
Lokofa_4,0.1558103545423843,-0.24972457487622332,0.08899850935884931,-0.1353916570270525,0.13353189416460828,0.573872343671599,19.5443613304945,26.0400824894556,54.4155561800499
M2P1,-0.24472722949110126,0.6457360505997821,-0.2558421117672423,-0.004484879009438273,0.41133029890498635,0.694475282880927,15.4810355436667,32.5609955939101,51.95796886242329
M2P10,-0.2436020705720918,0.69562880566513,-0.37652074422008225,0.06975008917940725,0.3315748516845712,0.704236641780394,6.69558386349674,27.4414822287035,65.8629339077998
M2P11,-0.28474925256855615,0.6776441722423423,-0.3636655791155657,0.06027108989382158,0.3938078374338913,0.657500079134871,7.58767264786432,22.0652340462622,70.3470933058735
M2P12,-0.2972080499520448,0.6533637746917937,-0.2088956478855213,0.01989705035251481,0.4157569687583786,0.653928564254394,9.10336361635011,51.6709196846034,39.2257166990465
M2P13,-0.2599946877094459,0.6988283676873559,-0.36700067201922926,0.05586377854497703,0.3809821970861018,0.657192921473554,5.92087902883632,23.9533902764028,70.1257306947609
M2P14,0.3296111660734739,2.7299146916668287,-2.1679967013150048,3.0721511758483864,-4.751345473163002,0.54369969160711,11.4963812559484,86.5458981191331,1.95772062491853
M2P15,-0.08386817413017401,1.4297353692284098,-0.9533847257772335,1.039698754593855,-1.2171838895695142,0.574557256480786,44.1765276822745,42.3730346174872,13.4504377002383
M2P16,-0.27864210958548163,0.6912053631432283,-0.4328645385126336,0.21157936110512687,0.1462880210373598,0.621795535009695,25.8232868328363,37.9801263579718,36.1965868091919
M2P2,-0.2469776201070443,0.5805197781478275,-0.2887464057757118,-0.03364084069002113,0.40217127831774374,0.694677733427073,6.63822747542727,42.4068565866676,50.9549159379051
M2P9,-0.4607544197032783,0.49054223953641457,-0.20493444460466473,0.022995695781191632,0.40880319756807215,0.641942972642423,28.381647057172895,19.9978430656672,51.62050987716
MAB01h,-1.9975986737846378,-1.266920478955509,0.07724722683148356,0.2535239393024758,-0.4658788161835124,0.65285603368442,1.00983459314163,21.2989256702205,77.6912397366378
MAB02h,-1.5375915756519312,-0.9188237282744486,0.04661151101206528,0.14303723533242932,-0.29090231896069896,0.634551671275927,5.46358001965594,26.2283206364633,68.3080993438808
MAB03h,-1.7927605948976597,-1.0306403343932362,-0.07694049570024576,0.21945691414211171,-0.28866039050158665,0.700518812557906,5.5780508815275,25.4264451135808,68.9955040048918
MAB04h,-1.8162933415692883,-0.984483311554482,-0.08880517170174612,0.23970791445727105,-0.2905625071449942,0.704608763066801,22.8512555924755,17.37821669309,59.77052771443449
MAB05h,-1.5993754936431168,-0.9798584373827585,0.004977348454623771,0.15058282638736822,-0.2772719818200305,0.710018821162178,13.6464545253348,21.0844439627338,65.2691015119314
MAB06h,-1.8797863739826692,-1.1066316540441883,-0.060203658690544115,0.23653180242980457,-0.29944008665587846,0.713263417375382,1.61976287295725,18.8212320352178,79.5590050918249
MAB07h,-1.77072973516777,-0.8506059698094521,-0.006426388438516505,0.23496967930688295,-0.30766939212730926,0.685098189538624,12.5170720606483,16.780908383956,70.7020195553957
MAB08h,-2.045023071303377,-1.1871075619388622,-0.0029328946338591094,0.2665195252275223,-0.3963879462582821,0.701270426665411,1.06409500838337,17.1708279972792,81.7650769943374
MAB09h,-1.8421663180704593,-1.0789371241038328,-0.05915017928743597,0.18951142708165666,-0.36420062893861205,0.670076961576783,6.62288361844037,34.9483219894018,58.4287943921579
MAB10h,-1.8470407875427488,-0.996713205853226,-0.04854641547445656,0.24601564647660096,-0.31356275737248973,0.681107526516997,14.807512643502,21.9197533318538,63.2727340246442
MAB11h,-2.061553087190504,-1.232620395229149,0.3120115671165846,0.24979069081978883,-0.5298779024318555,0.76645148713514,3.09743595763107,57.7090486318407,39.1935154105282
MAB12h,-1.113038197226842,-1.1790004975703692,0.34967550467056135,0.004249300027361697,-0.5920751008568012,0.64949393390028,47.5460317343373,11.1219139036402,41.3320543620225
MIX-L6A,0.23655453559998021,0.22671411852713372,-0.12875823365811417,-0.17673213815334285,0.5062985845373273,0.638520286467947,1.07039925606251,27.4317466899393,71.4978540539982
MIX-L7A,0.1411299237937624,0.36267642068952805,-0.23006058493197065,-0.22272949281890284,0.6494572234930102,0.674928961559939,5.60923283314469,16.0918098603184,78.2989573065369
MIX2,0.24617261981307204,0.2636201491274235,-0.20553411144619277,-0.237709877440182,0.694175143581642,0.665028263164137,1.38247158661037,33.9385541169351,64.6789742964545
MIX6,0.21319958208232995,0.15820856567175728,-0.1598030910180082,-0.20978956259150022,0.5730912844061269,0.646148763802375,4.10523084653285,29.957037838017,65.9377313154502
Model_OR_lidar_87_Principal,0.28904443555590226,0.08097463278652074,-0.0710704252928874,-0.18001737274178203,0.2859096567151856,0.585487275390671,22.4990631726994,31.992504242986,45.5084325843146
