species,NSCA1,NSCA2,NSCA3,NSCA4,NSCA5
Annickia.chlorantha,0.5783254920127853,-0.33087353384831214,-1.1718554387894549,0.1858843849788189,0.11065035096979853
Barteria.fistulosa,1.9569518180636134,-1.4037012704223586,6.6361711456725345,-3.4906785930396502,-31.42402279679569
Canarium.schweinfurthii,-0.5705943931249817,0.03479772703933993,0.0018391999058962295,0.17882581676427944,-0.07088454081768063
Chaetocarpus.africanus,5.600238377296744,1.090738205780256,-10.327534257982556,1.7440379435296858,-0.121150994349772
Chrysophyllum.lacourtianum,0.3080559481920492,-0.4541210031923012,-0.6626209333704788,-0.3847152863472785,0.043233833150458305
Cola.griseiflora,4.2673743252739325,-2.7949558458570043,-5.72351477360892,0.3067854307080416,0.7417237239557677
Copaifera.NA,0.3193374248775122,-0.17450293331076608,-0.5191269093590342,0.07075541177211044,0.02468385514956046
Dacryodes.edulis,2.622187106501149,-0.8145178736754289,-4.914048184228613,0.9018278890141751,0.5174868384254013
Dialium.pachyphyllum,1.4362793071958733,-1.3607570499842656,2.7269769839403097,0.3177098807711042,3.1984592277906874
Dialium.zenkeri,0.8572958737528376,-0.5265762978003743,-1.6989737159299627,0.2758501043602731,0.06731066166797843
Diospyros.ferrea,2.0553515747332347,-1.3118093942149862,-4.2037396220546785,0.42034905402505185,0.418880680789905
Drypetes.NA,3.4849395098550753,-1.9607804710845216,-7.469510938802956,1.2050054587764751,0.5558001187707033
Duvigneaudia.inopinata,2.964296845855543,-1.6532428381478508,-6.027313028953223,1.0240899334072047,0.45760332816270843
Entandrophragma.utile,1.0962859953141955,-0.6491349640494599,-1.9984131147833843,0.3171120412131228,0.07083918043704322
Klainedoxa.gabonensis,3.6293995593731174,-1.9106923765099406,-5.874634997817014,1.0701104713435956,-1.0600543729799266
Lovoa.trichilioides,0.2082433204778629,-0.2056888666828886,-0.6637655614076264,0.050314243410601825,0.0666599992878974
Macaranga.barteri,1.5808200823235978,-1.0145760513950386,-0.9870895339586553,0.1774942754998803,0.18614489865833547
Maranthes.glabra,0.5489196032857847,-0.19114432857889213,-0.7280904199577655,0.4857014371777845,-0.05139555263347337
Musanga.cecropioides,-46.34127531450885,5.828977592041213,-13.492273314673428,-31.90492841359806,5.00288852447342
Omphalocarpum.elatum,0.5021344586963735,-0.31238652122874083,-1.0453839916756877,0.12771482059966316,0.0733642596960376
Oncoba.mannii,3.896100273413185,-1.6661589852219174,-8.440363758753495,1.5944637800385306,0.907395299723011
Ongokea.gore,1.8028070570938337,0.23644643172157911,-2.213521796362845,0.2860010280219507,-1.421783908206976
Pancovia.laurentii,1.4983837974665797,-1.0648794220068565,-2.429030665877863,0.0209946088645245,-0.13886418562831554
Pentaclethra.eetveldeana,4.244229824979854,-2.1020998495128893,-8.849425711240444,1.5518646458460206,0.5048865394204964
Pentaclethra.macrophylla,0.36159331211910273,-0.430599645465694,-0.7582081290745838,0.5910146657986667,0.36426481768868335
Piptadeniastrum.africanum,0.08675613863313528,-0.1844847799083979,-0.2527363342450142,-0.008158999950360447,-0.009502968764674902
Plagiostyles.africana,12.221280350349552,-6.43317012991084,-25.68581492694287,4.995249974426917,2.299218203154029
Polyalthia.suaveolens,9.981714134497604,-5.468847368918718,-19.660294263987975,2.6867176146331233,1.6589885058606826
Pycnanthus.angolensis,-0.4530696845213803,-0.964526864148662,-2.0186582590167275,-1.0423657445351688,0.33689991762168897
Rhabdophyllum.arnoldianum,0.28891347393413375,0.045278033269275576,-0.47430466690306505,0.10834913645733812,0.04679051233178362
Santiria.trimera,3.727211552010346,-1.6729303546446592,-1.9045700959180336,0.7458555317047403,1.7672546350217637
