species,NSCA_DBH1,NSCA_DBH2,NSCA_DBH3,NSCA_DBH4,NSCA_DBH5
Lepidobotrys.staudtii,0.0010742357763786643,-0.001247580320038156,-0.0011538449461084145,-2.9106261462441514e-4,-2.754738506300688e-4
Lychnodiscus.multinervis,0.005392130918523516,-0.006262234571722102,-0.005791729474945508,-0.0014609899968453287,-0.001382742131559327
Memecylon.afzelii,8.877981622964168e-4,-0.0010310581157340134,-0.00095359086455240865,-2.4054761539207863e-4,-2.276643393636936e-4
Memecylon.viride,0.0010742357763786643,-0.001247580320038156,-0.0011538449461084145,-2.9106261462441514e-4,-2.754738506300688e-4
Millettia.barteri,8.877981622964168e-4,-0.0010310581157340134,-0.00095359086455240865,-2.4054761539207863e-4,-2.276643393636936e-4
Millettia.dewevrei,0.001500378894280948,-0.0017424882155904866,-0.0016115685610935749,-4.065254700126139e-4,-3.847527335246429e-4
Monanthotaxis.cauliflora,0.0013871846285881482,-0.0016110283058343928,-0.0014899857258631358,-3.7585564905012216e-4,-3.557255302557697e-4
Monanthotaxis.elegans,9.236652080531918e-4,-0.0010727128636096675,-9.92115935480326e-4,-2.5026573905391887e-4,-2.3686197867398665e-4
Oncoba.crepiniana,0.01687473479003293,-0.0195977340290027,-0.018125282998893464,-0.004572184744803401,-0.004327307164021464
Pterygota.sp.,0.0027813828626584492,-0.0032302019707830965,-0.0029875048195562456,-7.53611624261844e-4,-7.132496087925166e-4
Rinorea.bengalensis,0.007353543398484994,-0.008540151266813263,-0.007898497772001148,-0.0019924318435310504,-0.0018857209565155348
Rourea.thomsonii,8.877981622964168e-4,-0.0010310581157340134,-0.00095359086455240865,-2.4054761539207863e-4,-2.276643393636936e-4
Salacia.elegans,0.0017755963245928337,-0.0020621162314680267,-0.0019071817291048173,-4.8109523078415726e-4,-4.553286787273872e-4
Sclerocarya.birrea,0.0078169740392037175,-0.009078363603226416,-0.008396272203297507,-0.002117997698765714,-0.002004561741663382
Strychnos.icaja,0.002756524514114147,-0.003201332343542541,-0.0029608042753487755,-7.46876291030865e-4,-7.068750072903322e-4
Ventilago.diffusa,0.0018665956362282229,-0.00216779968833077,-0.002004924792721447,-5.057513613618472e-4,-4.7866427351216746e-4
Vitex.doniana,0.18916157664810498,-0.17997889827262184,-0.159924652647836,-0.04975734008762596,-0.017805319899903294
Voacanga.bracteata,0.0018409382693378522,-0.002138002108786052,-0.0019773660167358774,-4.987995352770153e-4,-4.720847741045553e-4
Xylopia.sp.,0.010530174002997807,-0.012229380310721138,-0.011310541244456133,-0.0028531352661654488,-0.002700326729192773
Colletoecema.dewevrei,0.010745933386101515,-0.011692413997309012,0.01269140664269591,-0.004225681010407365,0.02006825337653712
Greenwayodendron.suaveolens..Engl.,0.01687115030866313,-0.01835712794152003,0.019925549638547303,-0.006634332907298066,0.03150722296360006
Hymenocardia.ulmo.des,1.0655672081681133,-1.1594202655278436,1.2584804184134168,-0.41901870736445496,1.9899688519290968
