plot_ref,NSCA_Genus_DBH1,NSCA_Genus_DBH2,NSCA_Genus_DBH3,NSCA_Genus_DBH4,NSCA_Genus_DBH5,WD,prop_helio,prop_npld,prop_shade
123,0.8862748338449966,-1.5491176029424203,-0.2566683004494534,1.2949097778496084,2.401410372462623,0.74903564436882,4.17922468616042,36.5936750260878,59.2271002877518
148,1.0286753418553642,-0.9294129489453353,-2.8944993446597698,0.34940149745758825,1.4016535297584463,0.690298572170951,5.10495216309423,40.9384439789642,53.9566038579416
162,1.2271267578485123,-1.4238934839225048,-3.637280230680992,0.8648821775129595,3.211953014599874,0.67639888660562,6.08360364517652,59.4069972558612,34.5093990989623
166,0.8626513145955589,-0.9536611612866452,-1.9810069827175998,0.23391444368135342,1.1361856481757924,0.631734285939406,6.31935357088283,70.2338004747143,23.4468459544029
180,0.4532144129539802,-0.7621537558412866,-0.500294773355332,0.05924941211628822,-0.7551000795432051,0.631656607537616,11.4305326111561,18.0304736142975,70.5389937745464
184,0.9336845548093077,-1.222490172433883,-2.5398320083842147,0.45466225150699596,1.4393715853528797,0.687912246838358,6.65235741791403,52.4020501266875,40.9455924553984
189,0.8917385309825658,-0.9488800909166841,-2.2601060101727044,0.3712173341535093,0.9899059438434644,0.700126455914726,5.04011141385232,51.9136329661374,43.0462556200103
199,1.0531286102718092,-1.3696483263941281,-2.7581095020420276,0.7536981525567163,2.234079015233758,0.73090606449878,3.57860349892662,42.1205317122439,54.3008647888294
41,0.9409664260397513,-1.2428422528696517,-2.3641632022045203,0.46753829437459543,1.246369356797394,0.698174916972418,12.923905899202,22.3906945054655,64.6853995953326
53,0.7365707708614635,-0.42047188442932415,-0.7951572822509775,0.4916131302919248,0.5634692714318342,0.712967096210527,8.49382211905145,20.2006392107181,71.3055386702304
Betamba_1,1.0448817970359023,3.4345273713669697,-0.41719438656330593,-0.15921361841037468,-0.3378291693729431,0.482952918220068,56.989957687883,25.4653426759621,17.5446996361549
Betamba_2,1.2313838976780087,3.9498278940506752,-0.8056926961090413,-0.17142954380957195,-0.2004851167003212,0.466485920244863,71.6403823957078,21.130688826075,7.22892877821729
Betamba_3,0.9423927982571573,2.9894120837725873,0.014171298747871264,-0.2631208604588942,-0.6855370895896498,0.467313882724366,59.2422807891143,20.8660541043471,19.8916651065386
