plot_ref,NSCA_Genus1,NSCA_Genus2,NSCA_Genus3,NSCA_Genus4,NSCA_Genus5,WD,prop_helio,prop_npld,prop_shade
123,1.567625820580581,-0.3482889956478862,0.5848414310875988,-0.6232530677258635,-1.3220639073693221,0.74903564436882,4.17922468616042,36.5936750260878,59.2271002877518
148,0.9435440543407352,-0.43828589034958426,0.6697837906243486,-1.6537802763849307,-1.2287109034388293,0.690298572170951,5.10495216309423,40.9384439789642,53.9566038579416
162,1.2618292707227154,-0.21233872102170703,0.5816520982464232,-2.3775616840990286,-1.0096840035272452,0.67639888660562,6.08360364517652,59.4069972558612,34.5093990989623
166,1.135442125361878,0.21478992924071044,0.32744206909871093,-2.226654894756388,-0.6145721060331195,0.631734285939406,6.31935357088283,70.2338004747143,23.4468459544029
180,1.0583384252027455,0.04040824100608377,0.16927009783539848,-0.7505719485055147,-1.0291695616776084,0.631656607537616,11.4305326111561,18.0304736142975,70.5389937745464
184,1.1044524030097334,-0.16910151820906585,0.3625679113530656,-1.558559791875831,-1.0568565900639375,0.687912246838358,6.65235741791403,52.4020501266875,40.9455924553984
189,1.0071065688909406,-0.3537136279509163,0.32145638169877083,-1.5332206084303457,-1.3257656548081287,0.700126455914726,5.04011141385232,51.9136329661374,43.0462556200103
199,1.2352299511779965,-0.610328501481719,0.2795791032507768,-1.4032697306275288,-1.4316900278817077,0.73090606449878,3.57860349892662,42.1205317122439,54.3008647888294
41,1.2010776610394343,-0.6306478629973659,0.16136624299358915,-1.2576979607495844,-1.5822134080944565,0.698174916972418,12.923905899202,22.3906945054655,64.6853995953326
53,1.0555533157638017,-0.8221214030023957,0.39893920123254967,-0.7265943749356187,-1.3463572442271772,0.712967096210527,8.49382211905145,20.2006392107181,71.3055386702304
Betamba_1,-5.658948697317974,0.049306845207182995,-4.989134726698789,-0.20321834407912848,0.2572688491256987,0.482952918220068,56.989957687883,25.4653426759621,17.5446996361549
Betamba_2,-6.7486032902057795,0.09141664167870604,-7.442387416505085,-0.6573653614992114,0.11767288848023544,0.466485920244863,71.6403823957078,21.130688826075,7.22892877821729
Betamba_3,-2.997666495137287,0.12271093551067912,-0.9125381953409342,-0.10100913033540473,0.2815511886144338,0.467313882724366,59.2422807891143,20.8660541043471,19.8916651065386
Betamba_4,-5.0295230189028555,0.2890085527579817,-0.7773120682227133,-0.031769314732636666,0.2337905708908359,0.388442956479716,77.63430647319421,10.1202110848414,12.2454824419644
GIL1,0.9972713883767202,-0.5078960778642784,0.10287869047223902,0.3499153510763953,-0.5007771797414549,0.670021289085385,4.14034045757843,3.03437993387475,92.8252796085468
GIL2,0.9195502172792842,-0.4376355964511223,-0.03413342450929929,0.5434713056952546,-0.24334975424461944,0.675164591028605,7.45068633807007,7.91580839892068,84.6335052630093
GIL3,0.488654535343305,-0.38460850293942267,-0.009486332643190232,0.4033612895291841,-0.2787023360137772,0.673235427502365,12.506417563066,9.50562594041764,77.9879564965164
JEU-L6B,0.8539138112397233,-0.401539914532492,0.15888774715336537,-0.3690007245610022,-0.7567124799187053,0.644903399399444,7.21575646626561,25.9071657831103,66.8770777506241
JEU2,-9.775042667620403,0.13514749756567637,5.164736610344144,0.4436368515344008,-0.26002803944554465,0.2818604059494,97.6346271923248,1.83132709092735,0.534045716747891
JEU3,-9.264012387994946,0.10884033235876689,6.123265057033729,0.4978066679832469,-0.2521898184635323,0.312681517932898,92.4641907267643,5.10725957256789,2.42854970066782
JEU4,-9.36170179484818,0.10274242107392377,4.301063322020557,0.31120939261853514,-0.2832510622625478,0.344466343333328,83.0275596934624,8.66234002158358,8.31010028495403
Lokofa_1,0.6264124374286567,-0.20295080666151,0.06484554688212933,-0.321574989833957,0.9139594691957661,0.525331345059469,24.7704373200959,47.1172737086163,28.1122889712879
Lokofa_2,0.7987632173205222,-0.38017500944787885,-0.01826151528070958,0.3127565926795717,0.43924136987428686,0.567394442339608,25.7434342954975,25.9304492079196,48.3261164965829
Lokofa_3,0.6450780632383107,-0.309601424236836,0.030884183806357865,0.19723841590502603,0.541927139771895,0.544942022335511,23.0115739093268,36.2922325831278,40.6961935075454
Lokofa_4,0.8484903754721809,-0.44739963202508054,-0.01081084252941299,1.2492004381511872,0.7012023918863186,0.573872343671599,19.5443613304945,26.0400824894556,54.4155561800499
M2P1,0.9015365811685143,-0.523509072585376,-0.07814418384577082,-2.2388482975814186,-2.0059090979680736,0.694475282880927,15.4810355436667,32.5609955939101,51.95796886242329
M2P10,1.3908438089295152,-0.3062413431535432,0.4263179721239826,-2.72086974356847,-1.4145248188354351,0.704236641780394,6.69558386349674,27.4414822287035,65.8629339077998
M2P11,1.2173410942885134,-0.3364151897610729,0.33025412540672716,-2.213835941484439,-1.5788225967184533,0.657500079134871,7.58767264786432,22.0652340462622,70.3470933058735
M2P12,0.9518048366189633,-0.31746206109422337,0.09772025129558369,-1.650099612281772,-0.9155926320880836,0.653928564254394,9.10336361635011,51.6709196846034,39.2257166990465
M2P13,1.45537067243115,-0.31368243654843747,0.6012584260072007,-3.2336313443043094,-0.8166837458142874,0.657192921473554,5.92087902883632,23.9533902764028,70.1257306947609
M2P14,1.5810644008310641,14.971672645794163,0.16471787763635815,1.6663018006285504,-0.6505903888713499,0.54369969160711,11.4963812559484,86.5458981191331,1.95772062491853
M2P15,1.389077622349027,3.680181724794816,0.6739550749434825,-1.3108359815106065,-0.2736022691796717,0.574557256480786,44.1765276822745,42.3730346174872,13.4504377002383
