"","WD_mean","WD_BA","prop_g_helio","prop_g_shade","prop_ind_helio","prop_ind_shade"
"PC1",0.519585309184755,0.567311460994317,-0.472229513551302,0.425386793784946,-0.464586179781901,0.522204061163909
"PC2",0.0525004403908029,0.0548908215564509,-0.0425445551303196,0.0972258021836016,-0.0611833758749659,0.0730933056089646
"PC3",0.0354090738289792,-0.0116342762785623,-0.0165160730967488,0.146404164908651,-0.0461556473698706,0.118350439084746
"PC4",-0.105109440592935,-0.0712775465053434,0.093961514296391,-0.19665648043265,0.0253678497592341,-0.101244522619012
"PC5",0.0793971427321249,0.10895346015104,-0.0714770251098524,0.105632700205284,-0.0900542978271614,0.103633308835035
