species,NSCA1,NSCA2,NSCA3,NSCA4,NSCA5
Duguetia.confinis,2.1131745204889148e-5,1.487838253555949e-5,2.3538408344772526e-4,4.37959693897844e-6,3.5848678103532205e-6
Greenwayodendron.gabonicum,1.928469267153587e-6,1.269227501727173e-6,1.1143212668534162e-5,1.0636476746224462e-7,1.9139609283563852e-6
Lophira.alata,9.919696058019241e-4,9.101923087632755e-4,0.101817500966765,0.0018377406667433162,0.06478876810152868
Scyphocephalium.mannii,5.620386670887297e-6,4.249092989247092e-6,5.811244056932677e-5,2.9163752197453194e-7,1.1025644109848225e-5
Sindoropsis.letestui,6.695213829778694e-6,4.373933400985978e-6,4.7579815490263526e-5,6.536640955135454e-7,5.14199082327972e-6
Spathandra.blakeoides,6.695213829778694e-6,4.373933400985978e-6,4.7579815490263526e-5,6.536640955135454e-7,5.14199082327972e-6
Calpocalyx.heitzii,0.0011855482072063912,9.770319836362614e-4,0.037266474779864535,0.0014339040502813038,0.001548643866907977
Hexalobus.crispiflorus,2.570792779188898e-4,1.9728412256781713e-4,0.0031698277138559783,1.7775581548244552e-4,1.090027752090162e-4
Angylocalyx.oligophyllus,1.5430507091907645e-5,1.3979607849785157e-5,2.937804943777709e-4,7.320419378503616e-7,6.003328712512927e-5
Anthonotha.ferruginea,8.679660239198059e-6,7.863529415504161e-6,1.6525152808749604e-4,4.117735900408291e-7,3.3768724007885185e-5
Aoranthe.cladantha,2.4155427788384816e-5,1.5125933021508734e-5,1.7780350346349095e-4,1.924357143733806e-6,1.2248766758870562e-5
Cleistanthus.gabonensis,3.1246776861113034e-4,2.830870589581499e-4,0.005949055011149855,1.4823849241469814e-5,0.001215674064283868
Dactyladenia.floretii,4.756149743119914e-6,3.6082064527291913e-6,6.15389070047167e-5,4.847744540437536e-7,7.958970965682459e-6
Anopyxis.klaineana,1.581635299763183e-5,1.419369522791787e-5,8.275084148061874e-5,1.1972118338406892e-5,5.877828992477375e-7
Anthocleista.vogelii,9.128620355322313e-6,1.2910629501110597e-6,1.2389255921180125e-4,1.1495115834107576e-5,7.01124379764104e-6
Diospyros.melocarpa,1.1386982313608833e-4,7.978344488974494e-5,0.00114290526120965,1.953158919691666e-5,5.709209497752655e-5
Drypetes.arborescens,1.8686306351521062e-6,9.897059224739502e-7,7.533993500427704e-6,1.1935454457724397e-7,1.1514450753234885e-7
Eugenia.kleineana,1.681767571636896e-5,8.907353302265571e-6,6.780594150384936e-5,1.0741909011951966e-6,1.03630056779114e-6
Homalium.africanum,8.63385344191444e-6,7.749788292824483e-6,1.1538763046346964e-5,6.428137242410997e-6,1.1773056208500074e-8
Magnistipula.bimarsupiata,1.8686306351521062e-6,9.897059224739502e-7,7.533993500427704e-6,1.1935454457724397e-7,1.1514450753234885e-7
Warneckea.macrantha,1.8686306351521062e-6,9.897059224739502e-7,7.533993500427704e-6,1.1935454457724397e-7,1.1514450753234885e-7
Aulacocalyx.subulata,4.9306752335681985e-5,3.9302647060087996e-5,7.832175700477006e-4,1.4048590402761988e-5,3.503795900498509e-5
Calpocalyx.dinklagei,9.477669802712918e-5,7.509887852167512e-5,0.001811996727521944,4.989824951083492e-5,1.525299211976393e-6
Chytranthus.talbotii,1.3696320093244972e-6,1.0917401961135538e-6,2.1756043612436125e-5,3.902386222989433e-7,9.732766390273631e-7
Crudia.harmsiana,1.3696320093244972e-6,1.0917401961135538e-6,2.1756043612436125e-5,3.902386222989433e-7,9.732766390273631e-7
Sacoglottis.gabonensis,1.4561757965948188e-5,1.1283037257864945e-5,1.9890654899463293e-4,3.487647983046934e-6,1.075165658140693e-5
Anthonotha.stipulacea,1.2443720681758314e-5,9.520594432336743e-6,1.583934974286864e-4,2.746019026575006e-6,9.342591959031186e-6
Corynanthe.mayumbensis,3.810889458788487e-5,2.915682044903128e-5,4.850800858753521e-4,8.409683268885971e-6,2.8611687874533e-5
Daniellia.soyauxii,7.777325426098946e-7,5.950371520210464e-7,9.8995935892929e-6,1.7162618916093788e-7,5.839119974394491e-7
Diospyros.conocarpa,7.777325426098946e-7,5.950371520210464e-7,9.8995935892929e-6,1.7162618916093788e-7,5.839119974394491e-7
Drypetes.klaineana,7.777325426098946e-7,5.950371520210464e-7,9.8995935892929e-6,1.7162618916093788e-7,5.839119974394491e-7
Drypetes.verrucosa,6.999592883489064e-6,5.355334368189417e-6,8.90963423036362e-5,1.544635702448442e-6,5.2552079769550434e-6
