plot_ref,NSCA1,NSCA2,NSCA3,NSCA4,NSCA5,WD,prop_helio,prop_npld,prop_shade
123,2.0534570402194916,-1.1584717433655858,-3.2688692731535585,0.5059745416033712,0.1267584071920868,0.74903564436882,4.17922468616042,36.5936750260878,59.2271002877518
148,1.6493101457202106,-1.0015482326013554,-3.087574207796105,0.1569359322889738,-0.02529344642674763,0.690298572170951,5.10495216309423,40.9384439789642,53.9566038579416
162,2.1658104945436842,-1.04509943849475,-3.91694540789891,0.6751252849919236,0.25900379551270364,0.67639888660562,6.08360364517652,59.4069972558612,34.5093990989623
166,1.9706649855995966,-1.0225635650481422,-3.542858483537436,0.6432045104649857,0.18297409786292082,0.631734285939406,6.31935357088283,70.2338004747143,23.4468459544029
180,1.4020387346175651,-0.6480899111914649,-1.410856331008235,0.12677302717552358,0.03822954994355216,0.631656607537616,11.4305326111561,18.0304736142975,70.5389937745464
184,1.6658129388167096,-0.8397756930253201,-2.397455573696368,0.3862977431075537,0.03587905013476453,0.687912246838358,6.65235741791403,52.4020501266875,40.9455924553984
189,1.537916849725276,-0.9272786362791415,-2.1205800656400933,0.1919849680672897,0.03368990251321803,0.700126455914726,5.04011141385232,51.9136329661374,43.0462556200103
199,1.989971124914189,-1.0912162253527662,-3.058235856936694,0.46424708703636153,0.23693066445107502,0.73090606449878,3.57860349892662,42.1205317122439,54.3008647888294
41,2.0023417269833046,-1.1471628534295142,-2.5952063313122586,0.4440108562968153,0.2446086112409521,0.698174916972418,12.923905899202,22.3906945054655,64.6853995953326
53,1.4172070672942214,-0.9771255771023378,-2.50310580955833,0.05945897530002999,0.2598764056611423,0.712967096210527,8.49382211905145,20.2006392107181,71.3055386702304
Betamba_1,-7.968944615053525,0.9098485913834686,-0.11209773348532186,6.031259851295027,-0.43425989010667254,0.482952918220068,56.989957687883,25.4653426759621,17.5446996361549
Betamba_2,-9.446052771735367,1.1627610715513215,-0.5629276242439335,9.234126749685258,-1.2356892547572804,0.466485920244863,71.6403823957078,21.130688826075,7.22892877821729
Betamba_3,-4.094528967041153,0.5756501886717353,0.0849270784545761,1.0472811014980221,-0.08971532999201169,0.467313882724366,59.2422807891143,20.8660541043471,19.8916651065386
Betamba_4,-6.897527049301239,1.1794373129106486,-0.7608511016128187,0.4849078672090394,0.032292234730980085,0.388442956479716,77.63430647319421,10.1202110848414,12.2454824419644
GIL1,0.8509170914817363,-0.6161368157408683,1.1789694773936115,-0.6984597713816116,0.07955174362902674,0.670021289085385,4.14034045757843,3.03437993387475,92.8252796085468
GIL2,0.8872992611121792,-0.6378899484156544,1.4183896636389235,-0.7512041775929446,0.13746479981260398,0.675164591028605,7.45068633807007,7.91580839892068,84.6335052630093
GIL3,0.46681508279427203,-0.5437604669891763,1.1651308698624978,-0.9092790087816488,0.05229676263176468,0.673235427502365,12.506417563066,9.50562594041764,77.9879564965164
JEU-L6B,0.8066973269027573,-0.6465282682069061,0.13945180728898254,-0.2727664237613894,-0.11330951454808909,0.644903399399444,7.21575646626561,25.9071657831103,66.8770777506241
JEU2,-9.658472244245516,1.1700460603139007,-2.715649821594587,-7.5834825656959906,0.9717688273391414,0.2818604059494,97.6346271923248,1.83132709092735,0.534045716747891
JEU3,-6.924292981069223,0.7891087987377275,-1.822957862383989,-5.952694716114938,0.5208006731566017,0.312681517932898,92.4641907267643,5.10725957256789,2.42854970066782
JEU4,-10.399867965792932,1.229140104678678,-2.9370466215800968,-7.453827088094526,1.0642827499372416,0.344466343333328,83.0275596934624,8.66234002158358,8.31010028495403
Lokofa_1,0.20892881231327273,-0.30099963396652807,1.1041028938882567,-0.19127326766853311,-0.17279033845735972,0.525331345059469,24.7704373200959,47.1172737086163,28.1122889712879
Lokofa_2,0.398650455371913,-0.45886187047983135,1.4055767279313895,-0.10112209354126067,0.19799137543742612,0.567394442339608,25.7434342954975,25.9304492079196,48.3261164965829
Lokofa_3,0.22203226392666103,-0.3289625332114763,1.5192243059009913,-0.14384930920998473,0.18016182048693025,0.544942022335511,23.0115739093268,36.2922325831278,40.6961935075454
Lokofa_4,0.3084276927953629,-0.5151192898805157,2.2137455377519144,0.09726422423320034,1.036189330981018,0.573872343671599,19.5443613304945,26.0400824894556,54.4155561800499
M2P1,2.3042441855479785,-1.2050198085212103,-3.8840048042278945,0.6681521056829998,0.2618491971046628,0.694475282880927,15.4810355436667,32.5609955939101,51.95796886242329
M2P10,2.5020608964510487,-0.9229722389210879,-4.357650254939834,0.864651499930762,0.5104203659525246,0.704236641780394,6.69558386349674,27.4414822287035,65.8629339077998
M2P11,2.2562679580868243,-0.9926932951781916,-3.8821595415475736,0.7894994869457862,0.4127140133617934,0.657500079134871,7.58767264786432,22.0652340462622,70.3470933058735
M2P12,1.639985910917796,-0.8259556353554441,-2.379971647145849,0.4195661217582805,-0.044184076465822925,0.653928564254394,9.10336361635011,51.6709196846034,39.2257166990465
M2P13,2.6612456651936256,-1.1836143202531508,-5.131440623960261,1.061407541647558,0.48368161027889767,0.657192921473554,5.92087902883632,23.9533902764028,70.1257306947609
M2P14,4.417771395228432,22.40963053652342,0.18805534245905026,-0.11278605854590966,-0.0025596662125794566,0.54369969160711,11.4963812559484,86.5458981191331,1.95772062491853
M2P15,2.833957595449491,5.197904931885698,-3.2533353688477353,0.7528943410702463,0.4540249639617048,0.574557256480786,44.1765276822745,42.3730346174872,13.4504377002383
M2P16,2.140311307401092,-0.10949403460769808,-3.848427341296013,0.6262213211960622,0.47568346841274917,0.621795535009695,25.8232868328363,37.9801263579718,36.1965868091919
