respons;predictors;buffer;height_aboveground;xmin;RMSE;rRMSE;Rsquared;MAE;P_Value;model
WD.BA;proportion;50;5;24;;;;;;
WD.BA;proportion;50;5;25;;;;;;
WD.BA;proportion;50;5;26;;;;;;
WD.BA;proportion;50;5;27;;;;;;
WD.BA;proportion;50;5;28;;;;;;
WD.BA;proportion;50;5;29;;;;;;
WD.BA;proportion;50;5;30;;;;;;
WD.BA;proportion;50;5;31;;;;;;
WD.BA;proportion;50;5;32;;;;;;
WD.BA;proportion;50;5;33;;;;;;
WD.BA;proportion;50;5;34;;;;;;
WD.BA;proportion;50;5;35;;;;;;
WD.BA;proportion;50;5;36;;;;;;
WD.BA;proportion;50;5;37;;;;;;
WD.BA;proportion;50;5;38;;;;;;
WD.BA;proportion;50;5;39;;;;;;
WD.BA;proportion;50;5;40;;;;;;
WD.BA;proportion;50;5;41;;;;;;
WD.BA;proportion;50;5;42;;;;;;
WD.BA;proportion;50;5;43;;;;;;
WD.BA;proportion;50;5;44;;;;;;
WD.BA;proportion;50;5;45;;;;;;
WD.BA;proportion;50;5;46;;;;;;
WD.BA;proportion;50;5;47;;;;;;
WD.BA;proportion;50;5;48;;;;;;
WD.BA;proportion;50;5;49;;;;;;
WD.BA;proportion;50;5;50;;;;;;
WD.BA;proportion;50;5;51;;;;;;
WD.BA;proportion;50;5;52;;;;;;
WD.BA;proportion;50;5;53;;;;;;
WD.BA;proportion;50;5;54;;;;;;
WD.BA;proportion;50;5;55;;;;;;
WD.BA;proportion;50;5;56;;;;;;
WD.BA;proportion;50;5;57;;;;;;
WD.BA;proportion;50;5;58;;;;;;
WD.BA;proportion;50;5;59;;;;;;
WD.BA;proportion;50;5;60;;;;;;
WD.BA;proportion;50;5;61;;;;;;
WD.BA;proportion;50;5;62;;;;;;
WD.BA;proportion;50;5;63;;;;;;
WD.BA;proportion;50;5;64;;;;;;
WD.BA;proportion;50;5;65;;;;;;
WD.BA;proportion;50;5;66;;;;;;
WD.BA;proportion;50;5;67;;;;;;
WD.BA;proportion;50;5;68;;;;;;
WD.BA;proportion;50;5;69;;;;;;
WD.BA;proportion;50;5;70;;;;;;
WD.BA;proportion;50;5;71;;;;;;
WD.BA;proportion;50;5;72;;;;;;
WD.BA;proportion;50;5;73;;;;;;
WD.BA;proportion;50;5;74;;;;;;
WD.BA;proportion;50;5;75;;;;;;
WD.BA;proportion;50;5;76;;;;;;
WD.BA;proportion;50;5;77;;;;;;
WD.BA;proportion;50;5;78;;;;;;
WD.BA;proportion;50;5;79;;;;;;
WD.BA;proportion;50;5;80;;;;;;
WD.BA;proportion;50;5;81;;;;;;
WD.BA;proportion;50;5;82;;;;;;
WD.BA;proportion;50;5;83;;;;;;
WD.BA;proportion;50;5;84;;;;;;
WD.BA;proportion;50;5;85;;;;;;
WD.BA;proportion;50;5;86;;;;;;
WD.BA;proportion;50;5;87;;;;;;
WD.BA;proportion;50;5;88;;;;;;
WD.BA;proportion;50;5;89;;;;;;
WD.BA;proportion;50;5;90;;;;;;
WD.BA;proportion;50;5;91;;;;;;
WD.BA;proportion;50;5;92;;;;;;
WD.BA;proportion;50;5;93;;;;;;
WD.BA;proportion;50;5;94;;;;;;
WD.BA;proportion;50;5;95;;;;;;
WD.BA;proportion;50;5;96;;;;;;
WD.BA;proportion;50;5;97;;;;;;
WD.BA;proportion;50;5;98;;;;;;
WD.BA;proportion;50;5;99;;;;;;
WD.BA;proportion;50;5;100;;;;;;
WD.BA;proportion;50;5;101;;;;;;
WD.BA;proportion;50;5;102;;;;;;
WD.BA;proportion;50;5;103;;;;;;
WD.BA;proportion;50;5;104;;;;;;
WD.BA;proportion;50;5;105;;;;;;
WD.BA;proportion;50;5;106;;;;;;
WD.BA;proportion;50;5;107;;;;;;
WD.BA;proportion;50;5;108;;;;;;
WD.BA;proportion;50;5;109;;;;;;
WD.BA;proportion;50;5;110;;;;;;
WD.BA;proportion;50;5;111;;;;;;
WD.BA;proportion;50;5;112;;;;;;
WD.BA;proportion;50;5;113;;;;;;
WD.BA;proportion;50;5;114;;;;;;
WD.BA;proportion;50;5;115;;;;;;
WD.BA;proportion;50;5;116;;;;;;
WD.BA;proportion;50;5;117;;;;;;
WD.BA;proportion;50;5;118;;;;;;
WD.BA;proportion;50;5;119;;;;;;
WD.BA;proportion;50;5;120;;;;;;
WD.BA;proportion;50;6;1;;;;;;
WD.BA;proportion;50;6;2;;;;;;
WD.BA;proportion;50;6;3;;;;;;
WD.BA;proportion;50;6;4;;;;;;
WD.BA;proportion;50;6;5;;;;;;
WD.BA;proportion;50;6;6;;;;;;
WD.BA;proportion;50;6;7;;;;;;
WD.BA;proportion;50;6;8;;;;;;
WD.BA;proportion;50;6;9;;;;;;
WD.BA;proportion;50;6;10;;;;;;
WD.BA;proportion;50;6;11;;;;;;
WD.BA;proportion;50;6;12;;;;;;
WD.BA;proportion;50;6;13;;;;;;
WD.BA;proportion;50;6;14;;;;;;
WD.BA;proportion;50;6;15;;;;;;
WD.BA;proportion;50;6;16;;;;;;
WD.BA;proportion;50;6;17;;;;;;
