variable;R2;R2_adj;coef;pvalue;AIC;RMSE
prop_at_20m;0,369167602592887;0,360642840465764;-0,22092162950772423;0,00000000588547245188952;-165,897068517483;0,0780941366571585
h90;0,315589323082474;0,306340530151156;0,00739187492892303;0,00000012923622864460032;-159,701705891127;0,0813429318216154
max_d1;0,194400802406622;0,183514326763469;-1,80340668955688610;0,00006710660093092289267;-147,311562458113;0,0882512663596740
auc_norm;0,192484374949795;0,181572001638305;-0,41373680130551549;0,00007359728960969925276;-147,130981939978;0,0883561737915753
