Modele;R2_adj;AIC;RMSE
Simple (prop_at_20m);0,360642840465764;-165,897068517483;0,0780941366571585
Multiple;0,372336032008241;-164,445175205896;0,0757920362668329
PCA1;0,308829021996730;-159,974844865107;0,0811968925160105
