Method;RMSE;MAE;R2;Slope;Intercept
LOOCV simple;0,0807175330845391;0,0587447851044179;0,327584097333864;0,349827630424018;0,402757843900571
Leave-Site-Out;0,0852218466294911;0,0621841965005663;0,254989348372985;0,292481990180667;0,435742879268637
