plot_name;WD_BA;prop_at_20m;predicted;residual;residual_std
JEU2;0,281860405949400;0,7104000000000000;0,536565807928829;-0,254705401979429369;-3,23998920612391794
JEU4;0,344466343333328;0,5527000000000000;0,571405148902197;-0,226938805568869417;-2,88678322006368093
Betamba_3;0,467313882724366;0,1308000000000000;0,664611984391506;-0,197298101667140235;-2,50973758240863942
JEU3;0,312681517932898;0,9626459143968871;0,480839229483603;-0,168157711550705136;-2,13905620421346887
WWF-DIAF_supp1_Principal;0,705208027749587;0,6826262626262630;0,542701627246955;0,162506400502632098;2,06716849922602419
Betamba_4;0,388442956479716;0,6896000000000000;0,541160977822590;-0,152718021342873989;-1,94265507086290823
Betamba_1;0,482952918220068;0,2864000000000000;0,630236578840104;-0,147283660620036450;-1,87352709027300524
PARAP_Idiofa_6;0,645456062621043;0,7833894500561172;0,520440859685559;0,125015202935483738;1,59026037518069985
PARAP_Lukolela_53;0,752455462105297;0,2851515151515150;0,630512396147247;0,121943065958049601;1,55118114651390959
53;0,712967096210527;0,4593969849246231;0,592017803030633;0,120949293179893558;1,53853982422728852
WWF-DIAF_07_01_Principal;0,503570346358142;0,3560000000000000;0,614860433426367;-0,111290087068224741;-1,41566954625783903
M2P15;0,574557256480786;0,9905843525529021;0,474667024200276;0,099890232280510527;1,27065728434060898
Modele_4503_Principal;0,501207423722136;0,4332210998877670;0,597800622206783;-0,096593198484646536;-1,22871724762443613
WWF-DIAF_supp2_Principal;0,529590962064373;0,3073737373737370;0,625603026602631;-0,096012064538258390;-1,22132491240509178
WWF-DIAF_17_11_Principal;0,585307959493120;0,9230303030303031;0,489591174900654;0,095716784592466353;1,21756879325835854
Betamba_2;0,466485920244863;0,6112000000000000;0,558481233575996;-0,091995313331132533;-1,17022968453150300
123;0,749035644368820;0,1450251256281410;0,661469346457785;0,087566297911034652;1,11389023494247241
MAB12h;0,649493933900280;0,5781370284834489;0,565785559119800;0,083708374780480432;1,06481538531654674
MAB11h;0,766451487135140;0,0461655856543304;0,683309557121184;0,083141930013956422;1,05760990433679347
WWF-DIAF_14_08_Principal;0,688332733627453;0,3827000000000000;0,608961825918511;0,079370907708942395;1,00964047978063620
PARAP_Mashambio_26;0,690291256281189;0,3600000000000000;0,613976746908336;0,076314509372853112;0,97076145506586331
M2P11;0,657500079134871;0,4948000000000000;0,584196511250695;0,073303567884176246;0,93246066580984432
PARAP_Gungu_5;0,544603720945961;0,9935000000000000;0,474022894615193;0,070580826330768398;0,89782593417262935
148;0,690298572170951;0,3171568627450980;0,623441722603912;0,066856849567039078;0,85045495411263938
Model_OR_lidar_87_Principal;0,585487275390671;0,2141000000000000;0,646209212653513;-0,060721937262841807;-0,77241558199236915
PARAP_Mampulu_28;0,546408294556489;0,3910000000000000;0,607128176393597;-0,060719881837107526;-0,77238943587555609
M2P10;0,704236641780394;0,2240000000000000;0,644022088521386;0,060214553259007597;0,76596138556383886
189;0,700126455914726;0,2341176470588240;0,641786881446367;0,058339574468359023;0,74211065057274006
199;0,730906064498780;0,0826130653266332;0,675257520520529;0,055648543978251253;0,70787930065420279
41;0,698174916972418;0,2279396984924620;0,643151723910663;0,055023193061755404;0,69992450187985300
WWF-DIAF_16_10_Principal;0,599906104129332;0,1824000000000000;0,653212428308908;-0,053306324179575704;-0,67808500965329510
PARAP_Maniema_178;0,620584389204391;0,5568686868686870;0,570484195806260;0,050100193398131321;0,63730130799415008
166;0,631734285939406;0,0550753768844221;0,681341191524058;-0,049606905584652083;-0,63102642266088160
WWF-DIAF_11_05_Principal;0,686660463415449;0,2363265306122450;0,641298891292352;0,045361572123096550;0,57702350601701824
MAB02h;0,634551671275927;0,0691103474608629;0,678240562954218;-0,043688891678290709;-0,55574611439380106
M2P13;0,657192921473554;0,3523762376237620;0,615661000915474;0,041531920558079971;0,52830828585505485
MAB06h;0,713263417375382;0,0921253822629969;0,673156043962553;0,040107373412828662;0,51018728277322134
PARAP_Mangai_16;0,686729289594707;0,2039000000000000;0,648462613274492;0,038266676320215409;0,48677262935219862
Lokofa_3;0,544942022335511;0,8410000000000000;0,507713443115121;0,037228579220390468;0,47356747794118537
M2P1;0,694475282880927;0,1640000000000000;0,657277386291850;0,037197896589077128;0,47317717842850077
MAB07h;0,685098189538624;0,2055109070034440;0,648106729074305;0,036991460464318560;0,47055120029543462
M2P14;0,543699691607110;0,5128130460104831;0,580217039773661;-0,036517348166551167;-0,46452023779790269
MAB05h;0,710018821162178;0,0811320754716981;0,675584703212565;0,034434117949612486;0,43802043306546179
WWF-DIAF_08_02_Principal;0,577135289106496;0,3733000000000000;0,611038489235883;-0,033903200129387190;-0,43126687388100643
MIX-L6A;0,638520286467947;0,1017013591863890;0,671040503536509;-0,032520217068562229;-0,41367458822666847
Lokofa_2;0,567394442339608;0,4287000000000000;0,598799430961155;-0,031404988621547281;-0,39948828474582360
M2P2;0,694677733427073;0,1274000000000000;0,665363117931833;0,029314615495240393;0,37289761837843721
M2P12;0,653928564254394;0,3116000000000000;0,624669353776510;0,029259210477884268;0,37219283686691884
JEU-L6B;0,644903399399444;0,0880114176974310;0,674064907718115;-0,029161508318671259;-0,37095001304455449
M2P16;0,621795535009695;0,4487478159580660;0,594370434791628;0,027425100218066656;0,34886197148884524
Modele_2406_Principal;0,634375789741125;0,1478000000000000;0,660856316689875;-0,026480526948750027;-0,33684649331996835
WWF-DIAF_15_09_Principal;0,520670596553185;0,6697000000000000;0,545557318249794;-0,024886721696608660;-0,31657243641551885
MIX6;0,646148763802375;0,1034000000000000;0,670665237040018;-0,024516473237642944;-0,31186267760667419
