plot_name;WD_BA;prop_at_5m;prop_at_10m;prop_at_15m;prop_at_20m;prop_at_25m;prop_at_30m;prop_at_35m;prop_at_40m;h10;h25;h50;h75;h90;h100;auc_norm;auc;auc_0_25_norm;auc_0_25;auc_25_75_norm;auc_25_75;auc_75_100_norm;auc_75_100;basal_thickness;transition_thickness;upper_thickness;basal_auc_norm;basal_auc;transition_auc_norm;transition_auc;upper_auc_norm;upper_auc;slope_basal;slope_transition;slope_upper;height_max_d1;max_d1;height_max_d2;max_d2;height_min_d2;min_d2
123;0,74903564436882;0,00190954773869347;0,018894472361809;0,0690452261306533;0,145025125628141;0,371658291457286;0,653668341708543;0,97427135678392;1;17,3353658536585;22,7474012474013;27,3242784380306;31,3939573459716;33,3756177924218;39;0,333456757471568;12,6713567839196;0,0514865422182852;1,11969849246231;0,448599902306409;3,87884422110553;0,877694117444454;6,67577889447236;21,643216080402;8,30150753768844;28,4623115577889;0,0514865422182852;1,11969849246231;0,448599902306409;3,87884422110553;0,877694117444454;6,67577889447236;0,00950421670590133;0,0568753986449796;0,00297458832002467;31,6859296482412;0,075731666496689;20,8643216080402;0,0105402046742828;34,2060301507538;-0,0205539225300656
148;0,690298572170951;0,172745098039216;0,209411764705882;0,24578431372549;0,317156862745098;0,459803921568627;0,646862745098039;0,815490196078431;0,962745098039216;2,64668094218415;15,4574468085106;25,9276018099548;32,8315789473684;37,4635294117647;43;0,469173669467787;19,7052941176471;0,173955402617265;2,51495098039216;0,413734870684486;7,18828431372549;0,886471907603621;9,01401960784314;14,2311557788945;17,1959798994975;26,9798994974874;0,173955402617265;2,51495098039216;0,413734870684486;7,18828431372549;0,886471907603621;9,01401960784314;0,012827816445419;0,030333571574372;0,00648471928749428;2,03768844221106;0,05865773677734;21,1608040201005;0,00620685256801853;3,37185929648241;-0,0196981187859919
162;0,67639888660562;0,000804020100502513;0,00844221105527638;0,0542713567839196;0,129949748743719;0,25356783919598;0,464321608040201;0,77427135678392;0,970050251256281;18,1162790697674;24,8858520900322;30,6561922365989;34,5672043010753;37,6300715990454;45;0,358595248972133;15,7781909547739;0,0540342149598366;1,29065326633166;0,423707371871926;4,10206030150754;0,901130128871619;9,40130653266332;23,7185929648241;9,48743718592965;25,2010050251256;0,0540342149598366;1,29065326633166;0,423707371871926;4,10206030150754;0,901130128871619;9,40130653266332;0,00948589341574609;0,0529181676934223;0,00521034391179787;32,2788944723618;0,0651017021841871;30,9447236180905;0,00658281689712528;38,9497487437186;-0,0100978702678565
166;0,631734285939406;0,000100502512562814;0,00311557788944724;0,0137688442211055;0,0550753768844221;0,231959798994975;0,559095477386935;0,866030150753769;0,993266331658291;22;25,256062767475;28,8701298701299;32,8514246947083;35,6575875486381;43;0,338303421871261;14,208743718593;0,0344109171729793;0,834673366834171;0,393786998239708;2,99095477386935;0,925446135685446;9,39195979899497;24,0150753768844;7,41206030150754;26,9798994974874;0,0344109171729793;0,834673366834171;0,393786998239708;2,99095477386935;0,925446135685446;9,39195979899497;0,00629746725183605;0,0640952923024439;0,00438934102016154;26,9422110552764;0,0690764389443981;24,1256281407035;0,0108465650218955;36,2814070351759;-0,0126310587196856
180;0,631656607537616;0,0029;0,0292;0,1028;0,2136;0,3908;0,5736;0,7638;0,9004;14,8313253012048;20,9430051813472;27,9546827794562;34,6674698795181;39,9821428571429;49;0,44479375;21,3501;0,0579050142894258;1,1548;0,461129096047254;6,32875;0,899394586415602;12,8906;19,8643216080402;13,3417085427136;25,2010050251256;0,0579050142894258;1,1548;0,461129096047254;6,32875;0,899394586415602;12,8906;0,0116114968604273;0,0363001288464088;0,00775729646732128;31,0929648241206;0,0385407180913862;19,9748743718593;0,00539638856129657;35,9849246231156;-0,00594387746647198
184;0,687912246838358;0,00784313725490196;0,0158823529411765;0,032156862745098;0,0711764705882353;0,159607843137255;0,354313725490196;0,647254901960784;0,869901960784314;22,2486486486487;27,6992481203008;32,2233856893543;37,441113490364;40,6356107660456;46;0,318082788671024;14,3137254901961;0,0504842739686694;1,34789215686275;0,466442455857263;4,54401960784314;0,867742755596108;7,42691176470588;26,6834170854271;9,19095477386935;22,5326633165829;0,0504842739686694;1,34789215686275;0,466442455857263;4,54401960784314;0,867742755596108;7,42691176470588;0,00719519310550657;0,0544480505749969;0,00697653693857448;31,3894472361809;0,0627998130936629;28,8693467336683;0,00959641289702276;42,8040201005025;-0,0116436038795165
189;0,700126455914726;0,0579411764705882;0,127058823529412;0,185294117647059;0,234117647058824;0,273725490196078;0,331274509803922;0,462254901960784;0,715294117647059;7,78947368421052;22,6153846153846;35,9649122807018;40,8388625592417;45,258883248731;54;0,428705142434332;22,7213725490196;0,133184006698765;2,87882352941176;0,377567238070134;6,88058823529412;0,910017298961356;11,976862745098;21,643216080402;17,7889447236181;18,9748743718593;0,133184006698765;2,87882352941176;0,377567238070134;6,88058823529412;0,910017298961356;11,976862745098;0,0121911658734352;0,026576781983848;0,011250842109201;38,5050251256281;0,0570389506399294;35,9849246231156;0,00824377023138994;40,1356783919598;-0,00810695260157648
199;0,73090606449878;0,00412060301507538;0,0186934673366834;0,04;0,0826130653266332;0,158793969849246;0,297085427135678;0,562110552763819;0,873869346733668;21,4140127388535;28,1672932330827;34,1825396825397;37,6361464968153;40,5427974947808;46;0,304710217755444;13,711959798995;0,0620036875722973;1,68447236180905;0,380034663341382;3,59849246231156;0,888190289859579;7,42869346733668;26,9798994974874;9,19095477386935;22,2361809045226;0,0620036875722973;1,68447236180905;0,380034663341382;3,59849246231156;0,888190289859579;7,42869346733668;0,00764389460929227;0,0543208127106612;0,00641848461436469;35,5402010050251;0,0739715500534828;33,0201005025126;0,0107443028508424;42,8040201005025;-0,0101724076226907
41;0,698174916972418;0,00120603015075377;0,0144723618090452;0,085929648241206;0,227939698492462;0,388743718592965;0,547939698492462;0,72391959798995;0,897085427135678;15,6542056074766;20,6753846153846;28,2490272373541;35,9505494505494;40,1043165467626;48;0,422944509782958;19,878391959799;0,0515349442497498;1,01396984924623;0,450384566497418;6,87969849246231;0,913138240220711;11,0028140703518;19,5678391959799;14,8241206030151;24,0150753768844;0,0515349442497498;1,01396984924623;0,450384566497418;6,87969849246231;0,913138240220711;11,0028140703518;0,0114889699986526;0,0331747957982699;0,00790313569136581;31,9824120603015;0,0407508135992732;30,9447236180905;0,00631444275439222;40,7286432160804;-0,00783934350468235
53;0,712967096210527;0,0021105527638191;0,0626130653266332;0,223115577889447;0,459396984924623;0,724020100502513;0,89748743718593;0,97608040201005;1;11,6813186813187;15,6430288461538;20,6579804560261;25,4616071428571;30,1677852348993;40;0,493879654683675;19,2613065326633;0,0538167485213972;0,788040201005026;0,450238658184581;4,42070351758794;0,898062257489004;13,0563819095477;14,5276381909548;9,48743718592965;34,391959798995;0,0538167485213972;0,788040201005026;0,450238658184581;4,42070351758794;0,898062257489004;13,0563819095477;0,015883165469669;0,05203479403795;0,00423196778632861;20,4195979899498;0,0549605437938963;11,9698492462312;0,00647999869231269;27,9798994974874;-0,0108364265727713
