plot_ref;site;H_mean;H_95;H_Lor;n_tree;DBH_mean;QMD;G;WD_BA;WD_mean;AGB_Chave;H_mean_20;WD_mean_20;QMD_20;AGB_Bastin_20
WWF-DIAF_11_05_Principal;DRC;19,6237882839568;33,0549238137258;27,6668757404309;521;20,4992514395393;24,2528110526169;24,0686522003794;0,686660463415449;0,671191372015157;306,661168232364;35,0345077300726;0,694598159864195;63,4771546700071;301,917907089657
WWF-DIAF_13_07_Principal;DRC;20,7829617715365;39,8;32,5313914162109;193;26,6010880829016;32,379938209416;15,8927562167487;0,670209102228902;0,678001575103467;228,219322897017;39,1715119834349;0,694445271377368;71,2561639439003;390,484608559046
WWF-DIAF_14_08_Principal;DRC;21,2516753587063;38,6121374365425;31,5499429517314;368;23,3495652173913;28,3629830615923;23,2509933126195;0,688332733627453;0,640454370495342;337,683718839253;39,3190518333414;0,760277995489781;73,2789843679619;448,543069272212
WWF-DIAF_15_09_Principal;DRC;21,7964447823949;34,7650120198641;28,6576452500026;404;24,3633663366337;28,3350567947967;25,4753067120192;0,520670596553185;0,564973771653605;249,912059186462;34,0565642632676;0,484077243490071;70,4515341564682;218,550642054383
WWF-DIAF_16_10_Principal;DRC;24,2737017677257;40;33,3971311867337;181;35,6890055248619;43,9750552156046;27,4904116469933;0,599906104129332;0,590432552333974;362,996629736612;37,7497936767937;0,588103122025687;93,2441316115926;420,694395650033
WWF-DIAF_17_11_Principal;DRC;14,4552205105878;28,015;16,4949980286841;278;27,7044244604317;33,6652461158858;24,7456157486481;0,585378460842937;0,604120483461857;164,025719487203;16,671471311213;0,565236225649351;77,2339288460713;128,68246998076
WWF-DIAF_supp1_Principal;DRC;19,3252778140821;30,3877584306981;26,9845290523403;385;20,5038961038961;24,6123620190311;18,3171203851127;0,705208027749587;0,647391569284078;236,268164562362;33,8082348314343;0,779508222777259;68,9184135046651;362,734095745056
WWF-DIAF_supp2_Principal;DRC;21,697986117887;35,3353216242851;30,0125257762709;352;27,5096875;33,632320557457;31,2713198978452;0,529590962064373;0,54118987036099;327,321271587182;34,47399083143;0,489524689060758;84,4296612867777;275,505035572226
RAB01h;;;;;;;;;;0,661041717;;;;;
RAB02h;;;;;;;;;;0,677997226;;;;;
RAB03h;;;;;;;;;;0,644401004;;;;;
RAB04h;;;;;;;;;;0,645410994;;;;;
RAB05h;;;;;;;;;;0,623710968;;;;;
RAB06h;;;;;;;;;;0,642725861;;;;;
RAB07h;;;;;;;;;;0,712854621;;;;;
RAB08h;;;;;;;;;;0,662886848;;;;;
RAB09h;;;;;;;;;;0,632924835;;;;;
RAB10h;;;;;;;;;;0,654281737;;;;;
RAB11h;;;;;;;;;;0,647456918;;;;;
RAB12h;;;;;;;;;;0,622537955;;;;;
RAB13h;;;;;;;;;;0,61067074;;;;;
RAB14h;;;;;;;;;;0,661744;;;;;
RAB15h;;;;;;;;;;0,64358294;;;;;
RAB16h;;;;;;;;;;0,654285547;;;;;
RAB17h;;;;;;;;;;0,662039721;;;;;
RAB18h;;;;;;;;;;0,652341983;;;;;
RAB19h;;;;;;;;;;0,616570171;;;;;
RAB20h;;;;;;;;;;0,650165805;;;;;
RAB21h;;;;;;;;;;0,661080554;;;;;
RAB22h;;;;;;;;;;0,607976629;;;;;
RAB23h;;;;;;;;;;0,687232915;;;;;
RAB24h;;;;;;;;;;0,683217449;;;;;
RAB25h;;;;;;;;;;0,629980683;;;;;
MNG03h;;;;;;;;;;0,490477779;;;;;
MNG04h;;;;;;;;;;0,609866798;;;;;
MON02h;;;;;;;;;;0,624997419;;;;;
MON03h;;;;;;;;;;0,462820502;;;;;
MON05h;;;;;;;;;;0,499489086;;;;;
MON09h;;;;;;;;;;0,465363709;;;;;
MON10h;;;;;;;;;;0,518200907;;;;;
MON11h;;;;;;;;;;0,480760245;;;;;
MON13h;;;;;;;;;;0,598951038;;;;;
MON14h;;;;;;;;;;0,435488473;;;;;
MON21Ah;;;;;;;;;;0,532292938;;;;;
MON22h;;;;;;;;;;0,684806432;;;;;
MON23h;;;;;;;;;;0,474367745;;;;;
MAB01h;;;;;;;;;;0,663147146;;;;;
MAB02h;;;;;;;;;;0,656649998;;;;;
MAB03h;;;;;;;;;;0,693588416;;;;;
MAB04h;;;;;;;;;;0,713588527;;;;;
MAB05h;;;;;;;;;;0,72720373;;;;;
MAB06h;;;;;;;;;;0,719755066;;;;;
MAB07h;;;;;;;;;;0,696105806;;;;;
MAB08h;;;;;;;;;;0,73036762;;;;;
MAB09h;;;;;;;;;;0,67802734;;;;;
MAB10h;;;;;;;;;;0,696110429;;;;;
MAB11h;;;;;;;;;;0,705835012;;;;;
MAB12h;;;;;;;;;;0,652724233;;;;;
LOP07h;;;;;;;;;;0,456916844;;;;;
LOP08h;;;;;;;;;;0,569507684;;;;;
LOP09h;;;;;;;;;;0,495564917;;;;;
LOP10h;;;;;;;;;;0,643684049;;;;;
LOP11h;;;;;;;;;;0,67800523;;;;;
LOP12h;;;;;;;;;;0,62854915;;;;;
LPG01h;;;;;;;;;;0,64020925;;;;;
LPG02h;;;;;;;;;;0,68771816;;;;;
