plot_name;WD_mean;wd_category;cluster
WWF-DIAF_07_01_Principal;0,549473097443754;Q1 (WD bas);1
WWF-DIAF_08_02_Principal;0,565400758294462;Q1 (WD bas);1
WWF-DIAF_11_05_Principal;0,671191372015157;Q3;1
WWF-DIAF_13_07_Principal;0,678001575103467;Q4 (WD élevé);1
WWF-DIAF_14_08_Principal;0,640454370495342;Q3;1
WWF-DIAF_15_09_Principal;0,564973771653605;Q1 (WD bas);1
WWF-DIAF_16_10_Principal;0,590432552333974;Q2;3
WWF-DIAF_17_11_Principal;0,604120483461857;Q2;1
WWF-DIAF_supp1_Principal;0,647391569284078;Q3;3
WWF-DIAF_supp2_Principal;0,54118987036099;Q1 (WD bas);1
RAB01h;0,661041717;Q3;1
RAB02h;0,677997226;Q4 (WD élevé);1
RAB03h;0,644401004;Q3;1
RAB04h;0,645410994;Q3;1
RAB05h;0,623710968;Q2;3
RAB06h;0,642725861;Q3;1
RAB07h;0,712854621;Q4 (WD élevé);1
RAB08h;0,662886848;Q3;1
RAB09h;0,632924835;Q2;1
RAB10h;0,654281737;Q3;3
RAB11h;0,647456918;Q3;1
RAB12h;0,622537955;Q2;2
RAB13h;0,61067074;Q2;3
RAB14h;0,661744;Q3;3
RAB15h;0,64358294;Q3;1
RAB16h;0,654285547;Q3;3
RAB17h;0,662039721;Q3;1
RAB18h;0,652341983;Q3;1
RAB19h;0,616570171;Q2;3
RAB20h;0,650165805;Q3;1
RAB21h;0,661080554;Q3;1
RAB22h;0,607976629;Q2;1
RAB23h;0,687232915;Q4 (WD élevé);1
RAB24h;0,683217449;Q4 (WD élevé);1
RAB25h;0,629980683;Q2;1
MNG03h;0,490477779;Q1 (WD bas);1
MNG04h;0,609866798;Q2;1
MON02h;0,624997419;Q2;1
MON03h;0,462820502;Q1 (WD bas);2
MON05h;0,499489086;Q1 (WD bas);1
MON09h;0,465363709;Q1 (WD bas);2
MON10h;0,518200907;Q1 (WD bas);1
MON11h;0,480760245;Q1 (WD bas);3
MON13h;0,598951038;Q2;1
MON14h;0,435488473;Q1 (WD bas);1
MON21Ah;0,532292938;Q1 (WD bas);1
MON22h;0,684806432;Q4 (WD élevé);1
MON23h;0,474367745;Q1 (WD bas);1
MAB01h;0,663147146;Q3;1
MAB02h;0,656649998;Q3;1
MAB03h;0,693588416;Q4 (WD élevé);1
MAB04h;0,713588527;Q4 (WD élevé);2
MAB05h;0,72720373;Q4 (WD élevé);1
MAB06h;0,719755066;Q4 (WD élevé);3
MAB07h;0,696105806;Q4 (WD élevé);3
MAB08h;0,73036762;Q4 (WD élevé);1
MAB09h;0,67802734;Q4 (WD élevé);3
MAB10h;0,696110429;Q4 (WD élevé);1
MAB11h;0,705835012;Q4 (WD élevé);1
MAB12h;0,652724233;Q3;1
LOP07h;0,456916844;Q1 (WD bas);1
LOP08h;0,569507684;Q1 (WD bas);1
LOP09h;0,495564917;Q1 (WD bas);3
LOP10h;0,643684049;Q3;3
LOP11h;0,67800523;Q4 (WD élevé);1
LOP12h;0,62854915;Q2;1
LPG01h;0,64020925;Q3;1
LPG02h;0,68771816;Q4 (WD élevé);3
