plot_ref;site;sp;dbh;h
Betamba_1;Betamba;Tessmannia anomala;82,5;41,16
Betamba_1;Betamba;Pentaclethra macrophylla;75;31,05
Betamba_1;Betamba;Symphonia globulifera;63,9;37,7
Betamba_1;Betamba;Celtis briyei;61;35,4
Betamba_1;Betamba;Bosqueiopsis sp;70,6;32,5
Betamba_1;Betamba;Staudtia kamerounensis;47,4;35,96
Betamba_1;Betamba;Staudtia kamerounensis;32,8;30,38
Betamba_1;Betamba;Pterocarpus castelii;41,6;22,6
Betamba_1;Betamba;Xylopia chrysophylla;33,4;33,12
Betamba_1;Betamba;Anonnidium mannii;58,8;23,76
Betamba_1;Betamba;Trichilia prieuriana;34,4;25,23
Betamba_1;Betamba;Greenwayodendron suaveolens;35,6;27,6
Betamba_1;Betamba;Anonnidium mannii;45,3;28,14
Betamba_1;Betamba;Treculia africana;31;23,52
Betamba_1;Betamba;Musanga cecropioides;54,3;20,64
Betamba_1;Betamba;Dichostema glaucescens;27,4;22
Betamba_1;Betamba;Strombosiopsis tetrandra;22,6;18,62
Betamba_1;Betamba;Macaranga spinosa;29,8;23,58
Betamba_1;Betamba;Treculia africana;31;21,78
Betamba_1;Betamba;Macaranga monandra;26,1;21,28
Betamba_1;Betamba;Irvingia excelsa;19,4;18,02
Betamba_1;Betamba;Antiaris toxicaria ssp. welwitschii;23;26
Betamba_1;Betamba;Campylostemon angolensis;13,8;
Betamba_1;Betamba;Turreanthus africanus;23,8;18,81
Betamba_1;Betamba;Tetrorchidium didymostemon;25,3;14,7
Betamba_1;Betamba;Macaranga spinosa;35,8;18,36
Betamba_1;Betamba;Macaranga spinosa;28,1;18,36
Betamba_1;Betamba;Macaranga spinosa;20,3;25,07
Betamba_1;Betamba;Greenwayodendron suaveolens;17,8;17,4
Betamba_1;Betamba;Chytranthus macrocarpus;16,8;12,74
Betamba_1;Betamba;Macaranga spinosa;24;17,94
Betamba_1;Betamba;Macaranga monandra;18,4;13,53
Betamba_1;Betamba;Macaranga spinosa;18,4;18,56
Betamba_1;Betamba;Macaranga spinosa;19,8;17,7
Betamba_1;Betamba;Dichostema glaucescens;17,9;10,32
Betamba_1;Betamba;Macaranga spinosa;14,3;23,58
Betamba_1;Betamba;Strombosiopsis tetrandra;17,6;7,36
Betamba_1;Betamba;Macaranga spinosa;21,5;12,33
Betamba_1;Betamba;Tetrorchidium didymostemon;24,2;12,54
Betamba_1;Betamba;Macaranga spinosa;17,2;15,21
Betamba_1;Betamba;Macaranga spinosa;21;13,3
Betamba_1;Betamba;Amphimas pterocarpoides;12,9;15,45
Betamba_1;Betamba;Tetrorchidium didymostemon;14,8;11,7
Betamba_1;Betamba;Coelocaryon botryoides;15,5;13,12
Betamba_1;Betamba;Macaranga spinosa;14;18,06
Betamba_1;Betamba;Macaranga spinosa;12,9;18,36
Betamba_1;Betamba;Tetrorchidium didymostemon;14,1;11,9
Betamba_1;Betamba;Macaranga spinosa;14,4;15,21
Betamba_1;Betamba;Macaranga spinosa;10;18,56
Betamba_1;Betamba;Macaranga spinosa;21,5;13,32
Betamba_1;Betamba;Macaranga spinosa;11,3;17,94
Betamba_1;Betamba;Tetrorchidium didymostemon;13,1;8,05
Betamba_1;Betamba;Macaranga spinosa;15,6;14,41
Betamba_1;Betamba;Dichostema glaucescens;10,4;14,7
Betamba_1;Betamba;Dichostema glaucescens;12,6;11,7
Betamba_1;Betamba;Dichostema glaucescens;11;11,88
Betamba_1;Betamba;Macaranga spinosa;12,9;14,41
Betamba_1;Betamba;Dichostema glaucescens;12,8;11,04
Betamba_1;Betamba;Pycnanthus angolensis;11,9;14,85
Betamba_1;Betamba;Macaranga spinosa;11,1;14,41
Betamba_1;Betamba;Maesopsis eminnii;15,5;12,84
Betamba_1;Betamba;Maesopsis eminnii;14,6;10,6
Betamba_1;Betamba;Dracaena arborea;10,9;8,16
Betamba_1;Betamba;Ricinodendron heudelotii;21,2;7,44
Betamba_1;Betamba;Ricinodendron heudelotii;11,4;7,44
Betamba_1;Betamba;Pentaclethra macrophylla;104,2;34,65
Betamba_1;Betamba;Tessmannia anomala;94,8;43,4
Betamba_1;Betamba;Entandrophragma angolensis;83;45,22
Betamba_1;Betamba;Petersianthus macrocarpus;59;31,5
Betamba_1;Betamba;Dracaena arborea;56,3;30,24
Betamba_1;Betamba;Macaranga spinosa;54,4;29,04
Betamba_1;Betamba;Markhamia tomentosa;34,9;36,45
Betamba_1;Betamba;Staudtia kamerounensis;42,1;16,38
Betamba_1;Betamba;Trichilia tessmannii;41,9;24,15
Betamba_1;Betamba;Greenwayodendron suaveolens;38,2;27,5
Betamba_1;Betamba;Guarea cedrata;27,3;19,52
Betamba_1;Betamba;Carapa procera;22,2;27,5
Betamba_1;Betamba;Macaranga spinosa;29,1;23,8
Betamba_1;Betamba;Macaranga spinosa;38,8;22,99
Betamba_1;Betamba;Macaranga spinosa;30;23,2
Betamba_1;Betamba;Macaranga spinosa;37,6;22,4
Betamba_1;Betamba;Macaranga spinosa;29,3;22,8
Betamba_1;Betamba;Dichostema glaucescens;23,5;19,76
Betamba_1;Betamba;Macaranga spinosa;33,4;22,6
Betamba_1;Betamba;Macaranga spinosa;33,6;22,42
Betamba_1;Betamba;Treculia africana;23,4;17,64
Betamba_1;Betamba;Macaranga spinosa;27,6;23,04
Betamba_1;Betamba;Macaranga spinosa;30,1;17,48
Betamba_1;Betamba;Macaranga spinosa;29,5;21,06
Betamba_1;Betamba;Macaranga spinosa;31,6;20,34
Betamba_1;Betamba;Macaranga monandra;23,5;21,25
Betamba_1;Betamba;Macaranga spinosa;23,5;23,8
Betamba_1;Betamba;Tetrorchidium didymostemon;22,8;17,4
Betamba_1;Betamba;Maesopsis eminnii;25,4;23,4
Betamba_1;Betamba;Macaranga spinosa;28,9;20,74
Betamba_1;Betamba;Celtis briyei;18,2;14,3
Betamba_1;Betamba;Dichostema glaucescens;19,1;20,74
Betamba_1;Betamba;Tetrorchidium didymostemon;21;16,77
Betamba_1;Betamba;Tetrorchidium didymostemon;22,3;18,4
Betamba_1;Betamba;Macaranga spinosa;18,1;25,65
Betamba_1;Betamba;Macaranga spinosa;18,6;23,94
Betamba_1;Betamba;Macaranga spinosa;20,4;24,86
Betamba_1;Betamba;Macaranga spinosa;25,9;16,77
Betamba_1;Betamba;Musanga cecropioides;32,2;20,25
Betamba_1;Betamba;Macaranga spinosa;19,2;20,06
Betamba_1;Betamba;Tetrorchidium didymostemon;17,6;16,35
Betamba_1;Betamba;Tetrorchidium didymostemon;21,3;15
Betamba_1;Betamba;Turreanthus africanus;17,8;17,64
Betamba_1;Betamba;Tetrorchidium didymostemon;17,2;17,55
Betamba_1;Betamba;Tetrorchidium didymostemon;17,5;16,2
Betamba_1;Betamba;Macaranga spinosa;21,2;12,48
Betamba_1;Betamba;Loeseneriella apiculata;10;
Betamba_1;Betamba;Tetrorchidium didymostemon;17,8;15,6
Betamba_1;Betamba;Maesobotrya cfr. longipes;14,4;12,43
Betamba_1;Betamba;Macaranga spinosa;23,5;17,78
Betamba_1;Betamba;Macaranga spinosa;15,5;16,95
Betamba_1;Betamba;Guarea cedrata;16,7;12,43
Betamba_1;Betamba;Macaranga spinosa;13,1;23,2
Betamba_1;Betamba;Tetrorchidium didymostemon;14,2;15,73
Betamba_1;Betamba;Macaranga spinosa;13,3;20,06
Betamba_1;Betamba;Maesopsis eminnii;14,2;18,88
Betamba_1;Betamba;Macaranga spinosa;18,6;14,84
Betamba_1;Betamba;Macaranga monandra;16,4;14,94
Betamba_1;Betamba;Macaranga spinosa;16,4;20,06
Betamba_1;Betamba;Turreanthus africanus;12,4;13,86
Betamba_1;Betamba;Musanga cecropioides;30,4;15,08
Betamba_1;Betamba;Tetrorchidium didymostemon;12;14,76
Betamba_1;Betamba;Macaranga spinosa;11,8;16,77
Betamba_1;Betamba;Macaranga monandra;13,8;16,48
Betamba_1;Betamba;Tetrorchidium didymostemon;13,3;12,9
Betamba_1;Betamba;Macaranga spinosa;10,8;17,92
Betamba_1;Betamba;Tetrorchidium didymostemon;11,3;12,96
Betamba_1;Betamba;Macaranga spinosa;11,4;18,2
Betamba_1;Betamba;Macaranga spinosa;12,8;11,11
Betamba_1;Betamba;Dichostema glaucescens;11,8;9,6
Betamba_1;Betamba;Maesopsis eminnii;17,6;15,82
Betamba_1;Betamba;Macaranga monandra;11,3;11,1
Betamba_1;Betamba;Macaranga spinosa;11,6;14,84
Betamba_1;Betamba;Macaranga spinosa;11,6;13,64
Betamba_1;Betamba;Maesopsis eminnii;15,3;12,48
Betamba_1;Betamba;Maesopsis eminnii;12;12,48
Betamba_1;Betamba;Tetrorchidium didymostemon;10,8;9,68
Betamba_1;Betamba;Maesopsis eminnii;12,3;15,82
Betamba_1;Betamba;Maesopsis eminnii;17,1;11,99
Betamba_1;Betamba;Maesopsis eminnii;10,1;15,6
Betamba_1;Betamba;Macaranga spinosa;11,8;10,45
Betamba_1;Betamba;Macaranga spinosa;11,3;10,68
Betamba_1;Betamba;Musanga cecropioides;19,8;11,11
Betamba_1;Betamba;Macaranga spinosa;11,5;10,56
Betamba_1;Betamba;Ricinodendron heudelotii;19,1;11,52
Betamba_1;Betamba;Musanga cecropioides;34;10,53
Betamba_1;Betamba;Vernonia conferta;16,4;9,54
Betamba_1;Betamba;Musanga cecropioides;44,5;8,24
Betamba_1;Betamba;Musanga cecropioides;44,5;9,6
Betamba_1;Betamba;Anonnidium mannii;71,2;29,58
Betamba_1;Betamba;Pseudospondias longifolia;53;29,67
Betamba_1;Betamba;Macaranga spinosa;36,8;25,76
Betamba_1;Betamba;Pseudospondias longifolia;31,5;18,87
Betamba_1;Betamba;Irvingia excelsa;23;21,96
Betamba_1;Betamba;Macaranga monandra;30,5;26,88
Betamba_1;Betamba;Dichostema glaucescens;26,7;18,56
Betamba_1;Betamba;Macaranga monandra;28,1;21,3
Betamba_1;Betamba;Bakiaea insignis;21,5;20
Betamba_1;Betamba;Radlkofera calodendron;22,1;17,5
Betamba_1;Betamba;Macaranga spinosa;34,9;20,16
Betamba_1;Betamba;Scottelia klaineana var. klaineana;23;18,36
Betamba_1;Betamba;Maesopsis eminnii;34,8;22,05
Betamba_1;Betamba;Macaranga monandra;27,4;20,9
Betamba_1;Betamba;Macaranga spinosa;25,6;26
Betamba_1;Betamba;Macaranga spinosa;30,3;21,76
Betamba_1;Betamba;Macaranga monandra;28,6;26,46
Betamba_1;Betamba;Macaranga spinosa;30,8;23,76
Betamba_1;Betamba;Maesopsis eminnii;27,2;24
Betamba_1;Betamba;Tetrorchidium didymostemon;24,5;19,38
Betamba_1;Betamba;Tetrorchidium didymostemon;23;14,55
Betamba_1;Betamba;Tetrorchidium didymostemon;21,7;15,9
Betamba_1;Betamba;Maesopsis eminnii;26,8;20,9
Betamba_1;Betamba;Dichostema glaucescens;18,6;16,24
Betamba_1;Betamba;Musanga cecropioides;34,1;16,9
Betamba_1;Betamba;Tetrorchidium didymostemon;19,1;18,53
Betamba_1;Betamba;Tetrorchidium didymostemon;21;16,12
Betamba_1;Betamba;Guarea cedrata;15,9;15,48
Betamba_1;Betamba;Tetrorchidium didymostemon;16,7;17,68
Betamba_1;Betamba;Tetrorchidium didymostemon;15,5;18,24
Betamba_1;Betamba;Macaranga monandra;22,3;17,28
Betamba_1;Betamba;Tetrorchidium didymostemon;17,3;17,12
Betamba_1;Betamba;Dichostema glaucescens;16,9;15,99
Betamba_1;Betamba;Macaranga spinosa;20,8;16,2
Betamba_1;Betamba;Dichostema glaucescens;17,5;12,84
Betamba_1;Betamba;Ricinodendron heudelotii;20,1;20,32
Betamba_1;Betamba;Musanga cecropioides;27,9;16,12
Betamba_1;Betamba;Vernonia conferta;17,2;16,64
Betamba_1;Betamba;Tetrorchidium didymostemon;16,3;14,16
Betamba_1;Betamba;Macaranga monandra;13;17,68
Betamba_1;Betamba;Tetrorchidium didymostemon;14,2;11,83
Betamba_1;Betamba;Turreanthus africanus;15,9;10,45
Betamba_1;Betamba;Croton haumanianus;13,9;14
Betamba_1;Betamba;Tetrorchidium didymostemon;16,3;12
Betamba_1;Betamba;Bridelia atroviridis;15,4;9,9
Betamba_1;Betamba;Macaranga spinosa;13,2;16,2
Betamba_1;Betamba;Macaranga monandra;14,6;10,08
Betamba_1;Betamba;Macaranga spinosa;13;16,38
Betamba_1;Betamba;Macaranga monandra;11,9;15,18
Betamba_1;Betamba;Macaranga spinosa;15,7;12,15
Betamba_1;Betamba;Tetrorchidium didymostemon;12,5;11,31
Betamba_1;Betamba;Macaranga spinosa;15,3;12,15
Betamba_1;Betamba;Dichostema glaucescens;10,9;15,99
Betamba_1;Betamba;Macaranga spinosa;20,8;20,16
Betamba_1;Betamba;Macaranga spinosa;11,9;20,16
Betamba_1;Betamba;Oncoba welwitschii;12,8;9,79
Betamba_1;Betamba;Musanga cecropioides;28,9;11,7
Betamba_1;Betamba;Hannoa klaineana;14,4;17,12
Betamba_1;Betamba;Tetrorchidium didymostemon;10,7;14,52
Betamba_1;Betamba;Macaranga spinosa;18,8;10,2
Betamba_1;Betamba;Maesopsis eminnii;14,1;11,36
Betamba_1;Betamba;Macaranga monandra;15,5;11,1
Betamba_1;Betamba;Oncoba welwitschii;12;12,32
Betamba_1;Betamba;Dichostema glaucescens;11,7;10,62
Betamba_1;Betamba;Vernonia conferta;12,8;13,92
Betamba_1;Betamba;Vernonia conferta;14,1;12,12
Betamba_1;Betamba;Macaranga spinosa;11,4;15,72
Betamba_1;Betamba;Pycnanthus angolensis;16,2;9,3
Betamba_1;Betamba;Dichostema glaucescens;11,1;11,28
Betamba_1;Betamba;Macaranga monandra;11,5;11,04
Betamba_1;Betamba;Macaranga spinosa;12,1;12,48
Betamba_1;Betamba;Macaranga spinosa;13,1;14,28
Betamba_1;Betamba;Macaranga spinosa;10,6;14,28
Betamba_1;Betamba;Macaranga monandra;11;11,52
Betamba_1;Betamba;Cleistopholis patens;12;17,85
Betamba_1;Betamba;Petersianthus macrocarpus;11,8;9,44
Betamba_1;Betamba;Dichostema glaucescens;10,5;9,4
Betamba_1;Betamba;Musanga cecropioides;26,3;10,7
Betamba_1;Betamba;Tetrorchidium didymostemon;11,8;7,9
Betamba_1;Betamba;Macaranga spinosa;11,7;8,64
Betamba_1;Betamba;Musanga cecropioides;34,7;9,5
Betamba_1;Betamba;Tetrorchidium didymostemon;10,6;4,25
Betamba_1;Betamba;Musanga cecropioides;17;8,01
Betamba_1;Betamba;Pentaclethra macrophylla;79,9;32,86
Betamba_1;Betamba;Sterculia bequaertii;79,3;44,28
Betamba_1;Betamba;Pterocarpus castelii;66,9;21,8
Betamba_1;Betamba;Anonnidium mannii;64,7;25,99
Betamba_1;Betamba;Pseudospondias longifolia;47,7;24,96
Betamba_1;Betamba;Ongokea gore;35,3;31,05
Betamba_1;Betamba;Milicia excelsa;37,3;29,25
Betamba_1;Betamba;Macaranga spinosa;46;31,36
Betamba_1;Betamba;Macaranga monandra;37,7;22,66
Betamba_1;Betamba;Greenwayodendron suaveolens;26,6;22,2
Betamba_1;Betamba;Macaranga monandra;40,3;22,23
Betamba_1;Betamba;Maesobotrya cfr. longipes;22,1;24,6
Betamba_1;Betamba;Dichostema glaucescens;26,1;18,3
Betamba_1;Betamba;Musanga cecropioides;42,5;23,31
Betamba_1;Betamba;Tetrorchidium didymostemon;25,4;19,55
Betamba_1;Betamba;Macaranga spinosa;33,3;19,52
Betamba_1;Betamba;Strombosiopsis tetrandra;20,9;18,07
Betamba_1;Betamba;Macaranga spinosa;28,9;21,76
Betamba_1;Betamba;Dichostema glaucescens;21,5;18,56
Betamba_1;Betamba;Celtis briyei;21;21,42
Betamba_1;Betamba;Tetrorchidium didymostemon;21,9;15,9
Betamba_1;Betamba;Macaranga monandra;28,2;21,42
Betamba_1;Betamba;Macaranga spinosa;29,5;17,55
Betamba_1;Betamba;Musanga cecropioides;46,2;15,01
Betamba_1;Betamba;Macaranga spinosa;23,2;22,5
Betamba_1;Betamba;Macaranga spinosa;22,8;20,64
Betamba_1;Betamba;Tetrorchidium didymostemon;21,5;17,94
Betamba_1;Betamba;Macaranga spinosa;21,8;15,96
Betamba_1;Betamba;Musanga cecropioides;30,3;17,4
Betamba_1;Betamba;Dichostema glaucescens;18,7;18,02
Betamba_1;Betamba;Maesopsis eminnii;26,3;21,8
Betamba_1;Betamba;Musanga cecropioides;40,6;15,4
Betamba_1;Betamba;Tetrorchidium didymostemon;17,1;15,6
Betamba_1;Betamba;Macaranga spinosa;20,1;16
Betamba_1;Betamba;Tiliacora insularis;12,3;
Betamba_1;Betamba;Tetrorchidium didymostemon;20,5;16,05
Betamba_1;Betamba;Maesopsis eminnii;22,2;18,2
Betamba_1;Betamba;Tetrorchidium didymostemon;17,1;18,56
Betamba_1;Betamba;Tetrorchidium didymostemon;17,3;16,65
Betamba_1;Betamba;Macaranga spinosa;16,1;22,89
Betamba_1;Betamba;Tetrorchidium didymostemon;18,5;14,19
Betamba_1;Betamba;Tetrorchidium didymostemon;23,2;13,26
Betamba_1;Betamba;Macaranga spinosa;21,7;15,47
Betamba_1;Betamba;Macaranga spinosa;22,1;12,84
Betamba_1;Betamba;Tetrorchidium didymostemon;17,5;14,25
Betamba_1;Betamba;Tetrorchidium didymostemon;15,4;14,17
Betamba_1;Betamba;Tetrorchidium didymostemon;17,5;14,28
Betamba_1;Betamba;Tetrorchidium didymostemon;14,5;15,36
Betamba_1;Betamba;Maesopsis eminnii;19,3;17,36
Betamba_1;Betamba;Tetrorchidium didymostemon;15,9;15,98
Betamba_1;Betamba;Tetrorchidium didymostemon;18,1;10,66
Betamba_1;Betamba;Tetrorchidium didymostemon;17,5;14,4
Betamba_1;Betamba;Macaranga spinosa;16,8;15,4
Betamba_1;Betamba;Macaranga spinosa;20,4;17,55
Betamba_1;Betamba;Tetrorchidium didymostemon;14,2;13,8
Betamba_1;Betamba;Macaranga spinosa;16,8;16,8
Betamba_1;Betamba;Macaranga monandra;19,7;14,63
Betamba_1;Betamba;Tetrorchidium didymostemon;13,2;15,54
Betamba_1;Betamba;Musanga cecropioides;35,4;15,34
Betamba_1;Betamba;Tetrorchidium didymostemon;14,8;11,88
Betamba_1;Betamba;Maesobotrya cfr. longipes;14,7;10,12
Betamba_1;Betamba;Radlkofera calodendron;12,5;13,86
Betamba_1;Betamba;Macaranga spinosa;20,1;15,68
Betamba_1;Betamba;Macaranga monandra;17,5;15,6
Betamba_1;Betamba;Tetrorchidium didymostemon;15,5;14,04
Betamba_1;Betamba;Tetrorchidium didymostemon;14,2;13,02
Betamba_1;Betamba;Macaranga monandra;17,4;14,52
Betamba_1;Betamba;Macaranga spinosa;13,2;19,6
Betamba_1;Betamba;Tetrorchidium didymostemon;12,1;13,56
Betamba_1;Betamba;Macaranga spinosa;14,4;14,55
Betamba_1;Betamba;Macaranga spinosa;14,2;11,99
Betamba_1;Betamba;Musanga cecropioides;29,7;14,56
Betamba_1;Betamba;Turreanthus africanus;14,8;8,7
Betamba_1;Betamba;Tetrorchidium didymostemon;11;14,28
Betamba_1;Betamba;Tetrorchidium didymostemon;11;11,6
Betamba_1;Betamba;Macaranga spinosa;12,1;13,64
Betamba_1;Betamba;Tetrorchidium didymostemon;13,2;12,36
Betamba_1;Betamba;Macaranga spinosa;12,2;12,61
Betamba_1;Betamba;Beilschmeidia variabilis;12,8;10,35
Betamba_1;Betamba;Macaranga monandra;17;12,12
Betamba_1;Betamba;Musanga cecropioides;24;14,56
Betamba_1;Betamba;Macaranga spinosa;10,1;12,84
Betamba_1;Betamba;Macaranga spinosa;11,9;12,78
Betamba_1;Betamba;Tabernaemontana crassa;12,3;7,83
Betamba_1;Betamba;Macaranga spinosa;10,9;10,01
Betamba_1;Betamba;Musanga cecropioides;16,1;9,04
Betamba_1;Betamba;Macaranga spinosa;18,8;15,4
Betamba_1;Betamba;Tetrorchidium didymostemon;18,3;14,4
Betamba_1;Betamba;Musanga cecropioides;17,6;14,08
Betamba_1;Betamba;Maesopsis eminnii;17,2;18,72
Betamba_1;Betamba;Maesopsis eminnii;17;17,7
Betamba_1;Betamba;Tetrorchidium didymostemon;16,9;14,1
Betamba_1;Betamba;Maesopsis eminnii;16,7;13,65
Betamba_1;Betamba;Maesopsis eminnii;16,2;17,51
Betamba_1;Betamba;Macaranga spinosa;16,1;14,7
Betamba_1;Betamba;Macaranga spinosa;15,8;7,56
Betamba_1;Betamba;Macaranga spinosa;15,6;18,17
Betamba_1;Betamba;Musanga cecropioides;15,4;10,14
Betamba_1;Betamba;Maesopsis eminnii;14,7;17,46
Betamba_1;Betamba;Tetrorchidium didymostemon;14,2;12,78
Betamba_1;Betamba;Macaranga spinosa;14;15,6
Betamba_1;Betamba;Macaranga spinosa;13,6;14,28
Betamba_1;Betamba;Tetrorchidium didymostemon;13,6;11
Betamba_1;Betamba;Macaranga spinosa;13,5;14,7
Betamba_1;Betamba;Carapa procera;13,4;10,27
Betamba_1;Betamba;Macaranga spinosa;13,4;15,4
Betamba_1;Betamba;Macaranga spinosa;12,8;14,7
Betamba_1;Betamba;Macaranga monandra;12,5;16
Betamba_1;Betamba;Tetrorchidium didymostemon;12,3;12,24
Betamba_1;Betamba;Tetrorchidium didymostemon;12,1;12,6
Betamba_1;Betamba;Tetrorchidium didymostemon;12,1;13,02
Betamba_1;Betamba;Macaranga spinosa;11,9;11,2
Betamba_1;Betamba;Macaranga monandra;11,7;15,64
Betamba_1;Betamba;Tetrorchidium didymostemon;11,7;14,72
Betamba_1;Betamba;Ricinodendron heudelotii;11,5;10,22
Betamba_1;Betamba;Tetrorchidium didymostemon;11,1;13,26
Betamba_1;Betamba;Macaranga spinosa;10,9;13,28
Betamba_1;Betamba;Macaranga spinosa;10,7;11,4
Betamba_1;Betamba;Tetrorchidium didymostemon;10,7;9,79
Betamba_1;Betamba;Vernonia amygdalina;10,5;9,9
Betamba_1;Betamba;Grewia oligoneura;10,2;8,7
Betamba_1;Betamba;Maesopsis eminnii;10,2;10,68
Betamba_1;Betamba;Tetrorchidium didymostemon;10,1;11,84
Betamba_1;Betamba;Tetrorchidium didymostemon;10;10,78
Betamba_1;Betamba;Macaranga spinosa;21,3;16,02
Betamba_1;Betamba;Macaranga spinosa;19,9;18,62
Betamba_1;Betamba;Tetrorchidium didymostemon;19,1;13,05
Betamba_1;Betamba;Tetrorchidium didymostemon;17,9;14,63
Betamba_1;Betamba;Tetrorchidium didymostemon;17,7;14,04
Betamba_1;Betamba;Macaranga spinosa;16,7;16,94
Betamba_1;Betamba;Macaranga spinosa;16,2;18,86
Betamba_1;Betamba;Tetrorchidium didymostemon;14,8;12,32
Betamba_1;Betamba;Tetrorchidium didymostemon;14,7;14,43
Betamba_1;Betamba;Macaranga spinosa;14,4;14,7
Betamba_1;Betamba;Macaranga spinosa;14,3;12,75
Betamba_1;Betamba;Macaranga spinosa;13,9;17,6
Betamba_1;Betamba;Vernonia amygdalina;13,3;12,75
Betamba_1;Betamba;Tetrorchidium didymostemon;13,2;13,58
Betamba_1;Betamba;Macaranga monandra;13,1;21,2
Betamba_1;Betamba;Tetrorchidium didymostemon;12,4;12,64
Betamba_1;Betamba;Vernonia amygdalina;12,4;11,05
Betamba_1;Betamba;Ricinodendron heudelotii;12,3;11,16
Betamba_1;Betamba;Tetrorchidium didymostemon;12,3;11,96
Betamba_1;Betamba;Musanga cecropioides;12,2;10,66
Betamba_1;Betamba;Macaranga spinosa;12,1;11,48
Betamba_1;Betamba;Vernonia amygdalina;12,1;12,6
Betamba_1;Betamba;Vernonia amygdalina;12;13,11
Betamba_1;Betamba;Macaranga spinosa;11,9;14,7
Betamba_1;Betamba;Macaranga monandra;11,7;21,2
Betamba_1;Betamba;Coelocaryon botryoides;11,6;12,32
Betamba_1;Betamba;Tetrorchidium didymostemon;11,5;12,64
Betamba_1;Betamba;Tetrorchidium didymostemon;11,4;11,04
Betamba_1;Betamba;Tetrorchidium didymostemon;11,2;11,4
Betamba_1;Betamba;Vernonia amygdalina;11,1;10,22
Betamba_1;Betamba;Allophyllus africanus;10,9;16,5
Betamba_1;Betamba;Macaranga spinosa;10,9;10,65
Betamba_1;Betamba;Musanga cecropioides;10,9;7,74
Betamba_1;Betamba;Tetrorchidium didymostemon;10,9;14,63
Betamba_1;Betamba;Tetrorchidium didymostemon;10,6;11,96
Betamba_1;Betamba;Tetrorchidium didymostemon;10,5;12,16
Betamba_1;Betamba;Vernonia amygdalina;10,5;11,76
Betamba_1;Betamba;Macaranga monandra;10,4;16,02
Betamba_1;Betamba;Tetrorchidium didymostemon;10,4;12,64
Betamba_1;Betamba;Entandrophragma cylindricum;10,3;7,3
Betamba_1;Betamba;Maesopsis eminnii;10,3;10,92
Betamba_1;Betamba;Musanga cecropioides;27,5;14,56
Betamba_1;Betamba;Musanga cecropioides;27,3;16,35
Betamba_1;Betamba;Musanga cecropioides;26,2;13,26
Betamba_1;Betamba;Musanga cecropioides;23,7;15,52
Betamba_1;Betamba;Musanga cecropioides;21,9;13,08
Betamba_1;Betamba;Macaranga spinosa;17,3;12
Betamba_1;Betamba;Tetrorchidium didymostemon;16,3;15,04
Betamba_1;Betamba;Tetrorchidium didymostemon;16;18,08
Betamba_1;Betamba;Tetrorchidium didymostemon;15,8;15,04
Betamba_1;Betamba;Macaranga monandra;15,7;14
Betamba_1;Betamba;Macaranga monandra;13,3;18,7
Betamba_1;Betamba;Tetrorchidium didymostemon;12,8;14,69
Betamba_1;Betamba;Macaranga spinosa;12,6;11,9
Betamba_1;Betamba;Petersianthus macrocarpus;12,5;11,76
Betamba_1;Betamba;Tetrorchidium didymostemon;12,1;15,04
Betamba_1;Betamba;Tetrorchidium didymostemon;11,6;14,69
Betamba_1;Betamba;Morinda lucida;11,5;10,68
Betamba_1;Betamba;Macaranga spinosa;11,1;11,9
Betamba_1;Betamba;Macaranga spinosa;10,8;11,9
Betamba_1;Betamba;Vernonia amygdalina;10,8;10,14
Betamba_1;Betamba;Marantes glabra;10,7;13,44
Betamba_1;Betamba;Macaranga spinosa;10,6;12,58
Betamba_1;Betamba;Ficus exasperata;10,4;8,24
Betamba_1;Betamba;Macaranga spinosa;10,4;7,92
Betamba_1;Betamba;Macaranga spinosa;10,2;9,88
Betamba_1;Betamba;Tetrorchidium didymostemon;10,2;15,04
Betamba_1;Betamba;Vernonia amygdalina;10;9,9
Betamba_1;Betamba;Belucia aubletii;13;13,12
Betamba_1;Betamba;Musanga cecropioides;28,6;17,17
Betamba_1;Betamba;Macaranga spinosa;21,9;14,96
Betamba_1;Betamba;Macaranga monandra;17,9;20,9
Betamba_1;Betamba;Macaranga monandra;17,9;20,9
Betamba_1;Betamba;Macaranga spinosa;16,2;14,96
Betamba_1;Betamba;Macaranga monandra;16;20,9
Betamba_1;Betamba;Macaranga monandra;15,9;20,9
Betamba_1;Betamba;Macaranga monandra;15,3;20,9
Betamba_1;Betamba;Macaranga monandra;15,3;20,9
Betamba_1;Betamba;Tetrorchidium didymostemon;15,2;14,28
Betamba_1;Betamba;Macaranga spinosa;14,8;18,05
Betamba_1;Betamba;Macaranga monandra;14,5;20,9
Betamba_1;Betamba;Morinda lucida;14,2;13,65
Betamba_1;Betamba;Macaranga spinosa;13,9;19,19
Betamba_1;Betamba;Macaranga spinosa;13,9;17
Betamba_1;Betamba;Macaranga spinosa;13,5;17,51
Betamba_1;Betamba;Macaranga monandra;13,3;20,46
Betamba_1;Betamba;Tetrorchidium didymostemon;12,9;11,31
Betamba_1;Betamba;Tetrorchidium didymostemon;12,8;10,12
Betamba_1;Betamba;Tetrorchidium didymostemon;12,8;10,12
Betamba_1;Betamba;Dichostema glaucescens;12,3;10,56
Betamba_1;Betamba;Tetrorchidium didymostemon;11,7;14,28
Betamba_1;Betamba;Macaranga spinosa;11,6;11,7
