wd_group;wd_mean;n_plots;h10;h25;h50;h75;h90;auc_norm;auc;auc_0_25_norm;auc_0_25;auc_25_75_norm;auc_25_75;auc_75_100_norm;auc_75_100;basal_thickness;transition_thickness;upper_thickness;basal_auc_norm;basal_auc;transition_auc_norm;transition_auc;upper_auc_norm;upper_auc;basal_slope;transition_slope;upper_slope;height_max_d1;max_d1;height_max_d2;max_d2;height_min_d2;min_d2
0.3-0.4;0,324169205245625;3;7,46713043256478;13,6373857246464;17,399203996392;20,0905910735826;22,3378424608718;0,603011638232066;23,5174538910506;0,0917526850803937;1,15951407263294;0,445499839238682;2,87490194552529;0,926796961671855;18,4519797016861;12,4522613065327;6,22613065326633;39,7286432160804;0,0917526850803937;1,15951407263294;0,445499839238682;2,87490194552529;0,926796961671855;18,4519797016861;0,0176430108388707;0,0795504252542069;0,00222331813164287;18,9371859296482;0,0946991743668313;15,8241206030151;0,0127538880389231;21,7537688442211;-0,0216428159937454
0.4-0.5;0,461138171849015;13;3,18454413620047;10,2294063314591;19,9728069049646;33,0131672529256;41,9864069208864;0,608335697807571;32,2417919838012;0,144765185795995;1,33609672236042;0,50774157212448;11,5682625891737;0,873054277590182;18,322644102903;9,19095477386935;22,2361809045226;26,9798994974874;0,144765185795995;1,33609672236042;0,50774157212448;11,5682625891737;0,873054277590182;18,322644102903;0,0227802087885811;0,0226864272853517;0,00938378596843618;1,14824120603015;0,0339994456534992;16,1206030150754;0,00311602069571616;2,77889447236181;-0,00454314983303621
0.5-0.6;0,559794632470989;19;6,84104863150499;13,0382062476383;19,4093712994916;26,5947196765612;32,5930982270456;0,609495251112528;29,2557720534013;0,110360548876179;1,32854304897401;0,458891265348102;6,22096560110696;0,923525943127708;20,6918576417445;11,8592964824121;13,3417085427136;33,2060301507538;0,110360548876179;1,32854304897401;0,458891265348102;6,22096560110696;0,923525943127708;20,6918576417445;0,0181447943980342;0,0374375708710281;0,0055570890377111;15,6758793969849;0,0416562183156661;10,1909547738693;0,00497428725026747;34,7989949748744;-0,00380906393540533
0.6-0.7;0,651327022393105;81;13,0334512940022;19,7570875331424;26,7411249243718;32,8307735382502;37,7512173915104;0,560463713927688;31,9464316938782;0,075941349193149;1,42443853420083;0,436380604300578;5,70510299934497;0,947042338959006;23,8363230981244;18,678391959799;12,748743718593;26,9798994974874;0,075941349193149;1,42443853420083;0,436380604300578;5,70510299934497;0,947042338959006;23,8363230981244;0,0126017590260161;0,0396324834576861;0,00677379994906322;27,535175879397;0,0427017482694143;21,1608040201005;0,0029813007375661;35,0954773869347;-0,00359987833557815
0.7-0.8;0,725223798796075;6;15,5882845414638;20,7962130772758;25,8540498112079;32,9956803501019;45,8837366162348;0,541665248659289;31,9582496708981;0,0535190941601947;1,059475391698;0,460789966959552;5,62139212156968;0,900013085068872;24,3042410382908;19,5678391959799;11,8592964824121;26,9798994974874;0,0535190941601947;1,059475391698;0,460789966959552;5,62139212156968;0,900013085068872;24,3042410382908;0,0110030851274961;0,0423168608723273;0,00771686795376172;24,570351758794;0,0529906963694699;19,9748743718593;0,00563184890484317;27,0904522613065;-0,00578285689671016
