metric;correlation;p_value;method;target_variable;metric_label
prop_at_35m;0,286005892802225214;0,01225989092391741204502;Pearson;prop_g_helio;prop_at_35m
prop_at_35m;0,367000293142008271;0,00111020763063843599418;Spearman;prop_g_helio;prop_at_35m
prop_at_40m;0,179153729258860472;0,12150225472609453569728;Pearson;prop_g_helio;prop_at_40m
prop_at_40m;0,251388306125624350;0,02848514114507725084047;Spearman;prop_g_helio;prop_at_40m
h10;-0,390563858124496566;0,00048654507247992707366;Pearson;prop_g_helio;Hauteur à 10% de trouées
h10;-0,513110047846889961;0,00000214305469040278834;Spearman;prop_g_helio;Hauteur à 10% de trouées
h25;-0,435179824033952167;0,00008543337140312191413;Pearson;prop_g_helio;Hauteur à 25% de trouées
h25;-0,552125768967874242;0,00000023371926711531294;Spearman;prop_g_helio;Hauteur à 25% de trouées
h50;-0,448355664144953370;0,00004871272727853638232;Pearson;prop_g_helio;Hauteur à 50% de trouées
h50;-0,528667122351332841;0,00000091558938450483714;Spearman;prop_g_helio;Hauteur à 50% de trouées
h75;-0,457152189094478689;0,00003304347669139448264;Pearson;prop_g_helio;Hauteur à 75% de trouées
h75;-0,478879015721120960;0,00001208891073317143890;Spearman;prop_g_helio;Hauteur à 75% de trouées
h90;-0,435550296533088577;0,00008412077135637630206;Pearson;prop_g_helio;Hauteur à 90% de trouées
h90;-0,438961038961038941;0,00007288365935743030849;Spearman;prop_g_helio;Hauteur à 90% de trouées
h100;-0,279934017816083625;0,01499801598345261964551;Pearson;prop_g_helio;h100
h100;-0,277533526676126574;0,01592173838796159118791;Spearman;prop_g_helio;h100
auc_norm;0,414161663443677386;0,00019983640262501958969;Pearson;prop_g_helio;auc_norm
auc_norm;0,495830485304169510;0,00000525331037505534027;Spearman;prop_g_helio;auc_norm
auc;0,162836278241255211;0,15988847729889876791987;Pearson;prop_g_helio;Aire sous la courbe
auc;0,249624060150375943;0,02965572940422567596586;Spearman;prop_g_helio;Aire sous la courbe
auc_0_25_norm;0,211895298250256131;0,06612552635495297370660;Pearson;prop_g_helio;auc_0_25_norm
auc_0_25_norm;0,273219412166780584;0,01693923336960871314782;Spearman;prop_g_helio;auc_0_25_norm
auc_0_25;-0,126555854924527894;0,27598170394983306819015;Pearson;prop_g_helio;auc_0_25
auc_0_25;-0,145345181134654805;0,21029498311066310844986;Spearman;prop_g_helio;auc_0_25
auc_25_75_norm;-0,039318197742702683;0,73595274911696861863675;Pearson;prop_g_helio;auc_25_75_norm
auc_25_75_norm;0,030293916609706081;0,79503431061941176594132;Spearman;prop_g_helio;auc_25_75_norm
auc_25_75;-0,102202867413678192;0,37966106410242916879838;Pearson;prop_g_helio;auc_25_75
auc_25_75;0,024688995215311003;0,83234202996780770611451;Spearman;prop_g_helio;auc_25_75
auc_75_100_norm;0,025169997744867993;0,82912454729108309159358;Pearson;prop_g_helio;auc_75_100_norm
auc_75_100_norm;-0,045440874914559122;0,69669892539175914958349;Spearman;prop_g_helio;auc_75_100_norm
auc_75_100;0,236566409335274397;0,03964187421396757338155;Pearson;prop_g_helio;auc_75_100
auc_75_100;0,251647300068352675;0,02831662366619523349409;Spearman;prop_g_helio;auc_75_100
basal_thickness;-0,436837981756296845;0,00007970223751739978122;Pearson;prop_g_helio;Épaisseur zone basale
basal_thickness;-0,555333748231936375;0,00000019232481393246454;Spearman;prop_g_helio;Épaisseur zone basale
transition_thickness;-0,134518508699213585;0,24664200545709460965504;Pearson;prop_g_helio;Épaisseur zone de transition
transition_thickness;0,028053961058133483;0,80989398986922822576418;Spearman;prop_g_helio;Épaisseur zone de transition
upper_thickness;0,457768772994027129;0,00003214375979027582069;Pearson;prop_g_helio;Épaisseur zone supérieure
upper_thickness;0,478658322611224374;0,00001221725790020834731;Spearman;prop_g_helio;Épaisseur zone supérieure
basal_auc_norm;0,211895298250256131;0,06612552635495297370660;Pearson;prop_g_helio;basal_auc_norm
basal_auc_norm;0,273219412166780584;0,01693923336960871314782;Spearman;prop_g_helio;basal_auc_norm
basal_auc;-0,126555854924527894;0,27598170394983306819015;Pearson;prop_g_helio;basal_auc
basal_auc;-0,145345181134654805;0,21029498311066310844986;Spearman;prop_g_helio;basal_auc
transition_auc_norm;-0,039318197742702683;0,73595274911696861863675;Pearson;prop_g_helio;transition_auc_norm
transition_auc_norm;0,030293916609706081;0,79503431061941176594132;Spearman;prop_g_helio;transition_auc_norm
transition_auc;-0,102202867413678192;0,37966106410242916879838;Pearson;prop_g_helio;transition_auc
transition_auc;0,024688995215311003;0,83234202996780770611451;Spearman;prop_g_helio;transition_auc
upper_auc_norm;0,025169997744867993;0,82912454729108309159358;Pearson;prop_g_helio;upper_auc_norm
upper_auc_norm;-0,045440874914559122;0,69669892539175914958349;Spearman;prop_g_helio;upper_auc_norm
upper_auc;0,236566409335274397;0,03964187421396757338155;Pearson;prop_g_helio;upper_auc
upper_auc;0,251647300068352675;0,02831662366619523349409;Spearman;prop_g_helio;upper_auc
slope_basal;0,148486317262215922;0,20049948491481620060917;Pearson;prop_g_helio;slope_basal
slope_basal;0,509665071770334932;0,00000257261680977312639;Spearman;prop_g_helio;slope_basal
slope_transition;0,270537949834637914;0,01809504354991521915541;Pearson;prop_g_helio;slope_transition
slope_transition;-0,030157211209842789;0,79593917676565095753460;Spearman;prop_g_helio;slope_transition
slope_upper;-0,215124951193373160;0,06200651082276342068722;Pearson;prop_g_helio;slope_upper
slope_upper;-0,255447710184552312;0,02593900190886139212054;Spearman;prop_g_helio;slope_upper
height_max_d1;-0,374881659649775545;0,00084826310851366043889;Pearson;prop_g_helio;Hauteur à pente maximale
height_max_d1;-0,453022673259474040;0,00003969996199844549000;Spearman;prop_g_helio;Hauteur à pente maximale
max_d1;0,392677922387543121;0,00045046099211572265819;Pearson;prop_g_helio;Pente maximale
max_d1;0,177416267942583722;0,12521748279262925884758;Spearman;prop_g_helio;Pente maximale
height_max_d2;-0,349274686857956818;0,00198504591467339123328;Pearson;prop_g_helio;Hauteur à accélération max
height_max_d2;-0,436202374944780424;0,00008185566839131323857;Spearman;prop_g_helio;Hauteur à accélération max
max_d2;0,424676985285743269;0,00013154237140675949561;Pearson;prop_g_helio;Accélération maximale
max_d2;0,323609022556390957;0,00435049833170920389330;Spearman;prop_g_helio;Accélération maximale
height_min_d2;-0,386300944096419741;0,00056745572199747788388;Pearson;prop_g_helio;Hauteur à décélération max
height_min_d2;-0,506758569388730207;0,00000299671025919946619;Spearman;prop_g_helio;Hauteur à décélération max
min_d2;-0,428874279433146988;0,00011089050712028657695;Pearson;prop_g_helio;Décélération maximale
min_d2;-0,103677375256322632;0,37278758865760797114319;Spearman;prop_g_helio;Décélération maximale
prop_at_5m;0,155440374185152413;0,17998373249466695367182;Pearson;prop_g_npld;prop_at_5m
prop_at_5m;0,102533955945749822;0,37811107444067459937287;Spearman;prop_g_npld;prop_at_5m
prop_at_10m;0,146112907725341412;0,20787011547488884466439;Pearson;prop_g_npld;Proportion de trouées à 10m
prop_at_10m;0,156460399596270144;0,17710793107238895216504;Spearman;prop_g_npld;Proportion de trouées à 10m
prop_at_15m;0,077739226300171604;0,50445654476634094187659;Pearson;prop_g_npld;Proportion de trouées à 15m
prop_at_15m;0,109105325397800962;0,34814208040945304745151;Spearman;prop_g_npld;Proportion de trouées à 15m
prop_at_20m;0,012763731970091495;0,91285990540307959673072;Pearson;prop_g_npld;Proportion de trouées à 20m
prop_at_20m;0,052850307587149689;0,65024671277775747402217;Spearman;prop_g_npld;Proportion de trouées à 20m
prop_at_25m;0,067853013211473370;0,56029920363529062132812;Pearson;prop_g_npld;prop_at_25m
prop_at_25m;0,049747435048565061;0,66955059200392652574152;Spearman;prop_g_npld;prop_at_25m
prop_at_30m;0,045886359627594159;0,69387218083333079832187;Pearson;prop_g_npld;Proportion de trouées à 30m
prop_at_30m;0,077495215381150048;0,50579938238307342590616;Spearman;prop_g_npld;Proportion de trouées à 30m
prop_at_35m;-0,060754125875845125;0,60212555331010519932278;Pearson;prop_g_npld;prop_at_35m
prop_at_35m;0,075320145488221760;0,51785012868718838241477;Spearman;prop_g_npld;prop_at_35m
prop_at_40m;-0,145223974114038007;0,21067964117940013446528;Pearson;prop_g_npld;prop_at_40m
prop_at_40m;-0,060587690691191604;0,60312251245426562462626;Spearman;prop_g_npld;prop_at_40m
h10;-0,128635038434941174;0,26810495469970746507116;Pearson;prop_g_npld;Hauteur à 10% de trouées
h10;-0,131455912508544076;0,25766247601146613499523;Spearman;prop_g_npld;Hauteur à 10% de trouées
h25;-0,064804395259851877;0,57809212345792204690298;Pearson;prop_g_npld;Hauteur à 25% de trouées
h25;-0,089377990430622001;0,44260350205185849947753;Spearman;prop_g_npld;Hauteur à 25% de trouées
h50;0,017325516209455022;0,88191011876994840346100;Pearson;prop_g_npld;Hauteur à 50% de trouées
h50;-0,019220779220779218;0,86910061574583463706034;Spearman;prop_g_npld;Hauteur à 50% de trouées
h75;0,026699062164625333;0,81891533429843810232285;Pearson;prop_g_npld;Hauteur à 75% de trouées
h75;-0,009022556390977444;0,93834131439193568802182;Spearman;prop_g_npld;Hauteur à 75% de trouées
h90;0,011850487139713295;0,91907298086892297295236;Pearson;prop_g_npld;Hauteur à 90% de trouées
h90;-0,029118250170881748;0,80282486418380294423969;Spearman;prop_g_npld;Hauteur à 90% de trouées
h100;-0,147336883363698656;0,20715003004294935129437;Pearson;prop_g_npld;h100
h100;-0,073835143658883287;0,52898810004380469873553;Spearman;prop_g_npld;h100
auc_norm;-0,059019421114920458;0,61255204631325921305063;Pearson;prop_g_npld;auc_norm
auc_norm;-0,069336978810663016;0,55173332399575558682159;Spearman;prop_g_npld;auc_norm
auc;-0,103675693419353496;0,37279538533134781719269;Pearson;prop_g_npld;Aire sous la courbe
auc;-0,075789473684210532;0,51523761285521008090882;Spearman;prop_g_npld;Aire sous la courbe
auc_0_25_norm;0,125215426613339564;0,28114092223391279334876;Pearson;prop_g_npld;auc_0_25_norm
auc_0_25_norm;0,069965823650034162;0,54812256154622707171598;Spearman;prop_g_npld;auc_0_25_norm
