variable,Dim1_contrib,Dim2_contrib,type,Dim1_coord,Dim2_coord
prop_at_5m,1.4751538186904076,9.566529629442837,Active,0.43957944396408327,0.6758107885367202
prop_at_10m,3.2655013217242743,7.93882035558603,Active,0.6540239516560761,0.6156386785688076
prop_at_15m,5.152222253400321,2.922797798144103,Active,0.821515980498042,0.3735487571463448
prop_at_20m,6.175754985913982,0.7230657951970392,Active,0.8994225052508215,0.18579619636627337
prop_at_25m,6.5232538979206804,0.03884197361924313,Active,0.9243806857228292,0.04306243210437797
prop_at_30m,6.110446467837562,0.05631384866422945,Active,0.8946541756144506,-0.0518508063604597
prop_at_35m,5.166963906116549,0.7432413211935985,Active,0.8226904109040643,-0.18837047519776678
prop_at_40m,3.256590355853465,1.3956646418009675,Active,0.6531309851783208,-0.2581299801913788
h10,4.419188894540955,5.712741172992907,Active,-0.7608341614015112,-0.5222400616446521
h25,6.411932841120635,2.6244368675872303,Active,-0.9164593446455451,-0.3539696081181174
h50,7.22874486890977,0.24937761233249334,Active,-0.9730836375245038,-0.1091130363414117
h75,7.378656256407464,0.2037356821413341,Active,-0.9831218778185157,0.0986237379824383
h90,6.982755336454434,1.0725636662935598,Active,-0.9563836304790122,0.22628691958672023
h100,4.756841220086091,2.480953201536873,Active,-0.789365332439693,0.34415746659660756
auc_norm,3.5846084931678535,6.628073047366217,Active,0.6852350767567913,0.5625246434753491
auc_0_25_norm,0.0393259788445416,6.082226255545522,Active,0.07177256909021779,0.5388640313723625
auc_25_75_norm,0.20761005277571187,6.7349107482729265,Active,-0.16490845042586935,0.5670401782908523
auc_75_100_norm,0.8627705801836258,0.48005345497106583,Active,0.3361757521206515,-0.1513884386433321
transition_thickness,0.8277901055671252,15.858971915951244,Active,-0.3292902235449887,0.8701325699601266
slope_basal,1.4435145097500832,0.21782008739418043,Active,0.4348398109089888,0.1019757419948845
slope_transition,1.3597211136946188,13.348150554648225,Active,0.4220303091919078,-0.7982858996185386
slope_upper,3.6374844256971843,2.754673925920706,Active,-0.6902704670393859,0.36264609822190624
height_max_d1,5.6788899275341445,0.8237055333482741,Active,-0.8624828078044994,-0.19830510832518433
max_d1,2.712945270021106,6.91372039530091,Active,0.5961276110682909,-0.57451823281949
max_d2,2.781247553345334,0.9730238037002381,Active,0.6035851475671136,-0.2155309496389967
min_d2,2.560085564442158,3.455586711048128,Active,-0.5790898618409139,0.40617090220003366
WD_BA,NA,NA,Supplementary,-0.5782227067891853,0.018059551997229376
prop_g_helio,NA,NA,Supplementary,0.47531905612596953,0.02363340036622454
prop_g_npld,NA,NA,Supplementary,0.0017207762023012038,0.14048582997828804
prop_g_shade,NA,NA,Supplementary,-0.4274281112604821,-0.12415608019341598
NSCA_Genus_DBH1,NA,NA,Supplementary,0.14644281543293927,0.2709374051977383
NSCA_Genus_DBH2,NA,NA,Supplementary,0.35638635144652003,-0.11295133150412674
CA1,NA,NA,Supplementary,0.5556322738168926,-0.012283281351456496
CA2,NA,NA,Supplementary,0.10523917117827299,-0.23609406946835934
