plot_name,prop_at_5m,prop_at_10m,prop_at_15m,prop_at_20m,prop_at_25m,prop_at_30m,prop_at_35m,prop_at_40m,h10,h25,h50,h75,h90,h100,auc_norm,auc_0_25_norm,auc_25_75_norm,auc_75_100_norm,transition_thickness,slope_basal,slope_transition,slope_upper,height_max_d1,max_d1,max_d2,min_d2,WD_BA,prop_g_helio,prop_g_npld,prop_g_shade,NSCA_Genus_DBH1,NSCA_Genus_DBH2,CA1,CA2
123,0.00190954773869347,0.01889447236180899,0.0690452261306533,0.145025125628141,0.371658291457286,0.653668341708543,0.97427135678392,1,17.3353658536585,22.7474012474013,27.3242784380306,31.3939573459716,33.3756177924218,39,0.333456757471568,0.0514865422182852,0.448599902306409,0.877694117444454,8.30150753768844,0.00950421670590133,0.0568753986449796,0.00297458832002467,31.6859296482412,0.075731666496689,0.0105402046742828,-0.0205539225300656,0.74903564436882,4.17922468616042,36.5936750260878,59.2271002877518,0.8862748338449966,-1.5491176029424203,-0.15269022116583555,0.6431467993043379
148,0.172745098039216,0.209411764705882,0.24578431372549,0.317156862745098,0.459803921568627,0.646862745098039,0.815490196078431,0.962745098039216,2.64668094218415,15.4574468085106,25.9276018099548,32.8315789473684,37.4635294117647,43,0.469173669467787,0.173955402617265,0.413734870684486,0.886471907603621,17.1959798994975,0.012827816445419,0.030333571574372,0.00648471928749428,2.03768844221106,0.05865773677734,0.00620685256801853,-0.0196981187859919,0.690298572170951,5.10495216309423,40.9384439789642,53.9566038579416,1.0286753418553642,-0.9294129489453352,-0.203026921445612,0.5882945525608727
162,8.0402010050251e-4,0.00844221105527638,0.0542713567839196,0.129949748743719,0.25356783919598,0.464321608040201,0.77427135678392,0.970050251256281,18.1162790697674,24.8858520900322,30.6561922365989,34.5672043010753,37.6300715990454,45,0.358595248972133,0.0540342149598366,0.423707371871926,0.901130128871619,9.48743718592965,0.00948589341574609,0.0529181676934223,0.00521034391179787,32.2788944723618,0.0651017021841871,0.00658281689712528,-0.0100978702678565,0.67639888660562,6.08360364517652,59.4069972558612,34.5093990989623,1.2271267578485123,-1.4238934839225048,-0.15513612805518873,0.5839726063754217
166,1.0050251256281e-4,0.00311557788944724,0.0137688442211055,0.0550753768844221,0.23195979899497501,0.559095477386935,0.866030150753769,0.993266331658291,22,25.256062767475,28.8701298701299,32.8514246947083,35.6575875486381,43,0.338303421871261,0.0344109171729793,0.393786998239708,0.925446135685446,7.41206030150754,0.00629746725183605,0.0640952923024439,0.00438934102016154,26.9422110552764,0.0690764389443981,0.0108465650218955,-0.0126310587196856,0.631734285939406,6.31935357088283,70.2338004747143,23.4468459544029,0.8626513145955589,-0.9536611612866452,-0.1500208613406191,0.6464939512746952
180,0.0029,0.0292,0.1028,0.2136,0.3908,0.5736,0.7638,0.9004,14.8313253012048,20.9430051813472,27.9546827794562,34.6674698795181,39.9821428571429,49,0.44479375,0.0579050142894258,0.461129096047254,0.899394586415602,13.3417085427136,0.0116114968604273,0.0363001288464088,0.00775729646732128,31.0929648241206,0.0385407180913862,0.00539638856129657,-0.00594387746647198,0.631656607537616,11.4305326111561,18.0304736142975,70.5389937745464,0.4532144129539802,-0.7621537558412866,-0.1408483198705091,0.534447593377066
184,0.00784313725490196,0.0158823529411765,0.032156862745098,0.0711764705882353,0.159607843137255,0.354313725490196,0.647254901960784,0.869901960784314,22.2486486486487,27.6992481203008,32.2233856893543,37.441113490364,40.6356107660456,46,0.318082788671024,0.0504842739686694,0.466442455857263,0.867742755596108,9.19095477386935,0.00719519310550657,0.0544480505749969,0.00697653693857448,31.3894472361809,0.0627998130936629,0.00959641289702276,-0.0116436038795165,0.687912246838358,6.65235741791403,52.4020501266875,40.9455924553984,0.9336845548093076,-1.222490172433883,-0.1301459322812809,0.6375588856478925
189,0.05794117647058819,0.127058823529412,0.185294117647059,0.234117647058824,0.273725490196078,0.331274509803922,0.462254901960784,0.715294117647059,7.78947368421052,22.6153846153846,35.9649122807018,40.8388625592417,45.258883248731,54,0.428705142434332,0.133184006698765,0.377567238070134,0.910017298961356,17.7889447236181,0.0121911658734352,0.026576781983848,0.011250842109201,38.5050251256281,0.0570389506399294,0.00824377023138994,-0.00810695260157648,0.700126455914726,5.04011141385232,51.9136329661374,43.0462556200103,0.8917385309825658,-0.948880090916684,-0.10303581376180714,0.5388334005615131
199,0.00412060301507538,0.0186934673366834,0.04,0.0826130653266332,0.15879396984924599,0.297085427135678,0.562110552763819,0.873869346733668,21.4140127388535,28.1672932330827,34.1825396825397,37.6361464968153,40.5427974947808,46,0.304710217755444,0.0620036875722973,0.380034663341382,0.888190289859579,9.19095477386935,0.00764389460929227,0.0543208127106612,0.00641848461436469,35.5402010050251,0.0739715500534828,0.0107443028508424,-0.0101724076226907,0.73090606449878,3.57860349892662,42.1205317122439,54.3008647888294,1.0531286102718092,-1.369648326394128,-0.1814612490912242,0.6002147119432488
41,0.00120603015075377,0.0144723618090452,0.085929648241206,0.227939698492462,0.388743718592965,0.547939698492462,0.72391959798995,0.897085427135678,15.6542056074766,20.6753846153846,28.2490272373541,35.9505494505494,40.1043165467626,48,0.422944509782958,0.0515349442497498,0.450384566497418,0.913138240220711,14.8241206030151,0.0114889699986526,0.0331747957982699,0.00790313569136581,31.9824120603015,0.0407508135992732,0.00631444275439222,-0.00783934350468235,0.698174916972418,12.923905899202,22.3906945054655,64.6853995953326,0.9409664260397512,-1.2428422528696517,-0.21928941084277684,0.5768014130702286
53,0.0021105527638191,0.0626130653266332,0.223115577889447,0.45939698492462305,0.724020100502513,0.89748743718593,0.97608040201005,1,11.6813186813187,15.6430288461538,20.6579804560261,25.4616071428571,30.1677852348993,40,0.493879654683675,0.0538167485213972,0.450238658184581,0.898062257489004,9.48743718592965,0.015883165469669,0.05203479403795,0.00423196778632861,20.4195979899498,0.054960543793896303,0.00647999869231269,-0.0108364265727713,0.712967096210527,8.49382211905145,20.2006392107181,71.3055386702304,0.7365707708614635,-0.42047188442932415,-0.1543373211562226,0.6105189439459661
