plot_name,Dim.1,Dim.2,WD_BA
123,-1.0964533750906578,-1.2165120897262596,0.74903564436882
148,0.6604280047571999,4.569257493462498,0.690298572170951
162,-2.8609462220458655,-0.4189643660785711,0.67639888660562
166,-2.121996276544727,-1.7597182664291005,0.631734285939406
180,-2.867486955659887,1.8014805502275095,0.631656607537616
184,-4.183609501085799,-0.2317212729764194,0.687912246838358
189,-4.443696662858639,3.6706149137003714,0.700126455914726
199,-4.298087962956195,-0.7968350208511074,0.73090606449878
41,-3.0434955171810856,1.6725307127864082,0.698174916972418
53,1.1572718965822475,0.7793561781339998,0.712967096210527
Betamba_1,0.38404385967114324,-0.02647595892060286,0.482952918220068
Betamba_2,2.3023721724733472,3.2196100062375055,0.466485920244863
Betamba_3,-3.2935067135038616,0.11124873618277234,0.467313882724366
Betamba_4,3.968424059660498,-1.9152100568151789,0.388442956479716
GIL1,-2.8991972615724846,-3.67877577750909,0.670021289085385
GIL2,-1.4573191837364021,-2.77571421513019,0.675164591028605
GIL3,-2.424133159066173,-2.5569633631260142,0.673235427502365
JEU-L6B,-2.6176896043006592,-1.7407247667586614,0.644903399399444
JEU2,4.575809849645367,-3.977519162393991,0.2818604059494
JEU3,6.302161752213455,2.0334792898554905,0.312681517932898
JEU4,3.774678975636327,-1.9539228979183962,0.344466343333328
Lokofa_1,7.780262112533229,5.333037686914432,0.525331345059469
Lokofa_2,0.5981963013998395,2.1993219371507426,0.567394442339608
Lokofa_3,7.348493318139635,4.23846946985763,0.544942022335511
Lokofa_4,1.9167774115916207,2.6851242196422422,0.573872343671599
M2P1,0.05795469544228769,-2.026779332720644,0.694475282880927
M2P10,0.6521515461829651,-1.6980141757737661,0.704236641780394
M2P11,1.5624811684138173,1.1193912852921022,0.657500079134871
M2P12,0.04883845875222597,3.0928602245658237,0.653928564254394
M2P13,1.7696402772618207,-2.082402332432052,0.657192921473554
M2P14,2.763065367173865,-1.347371637013442,0.54369969160711
M2P15,6.707599413976317,-5.261027601396635,0.574557256480786
M2P16,2.5399142870723073,-0.35616644154589666,0.621795535009695
M2P2,1.0824924044511164,-3.6960767930484053,0.694677733427073
M2P9,-0.04262183948979237,0.5531339441416014,0.641942972642423
MIX-L6A,-1.08419369526078,-2.0332675953739634,0.638520286467947
MIX-L7A,-4.018022349651969,-1.7552565903059028,0.674928961559939
MIX2,-2.05622628777125,-1.373094402342418,0.665028263164137
MIX6,-2.4462652022073894,-0.2753698831812834,0.646148763802375
Model_OR_lidar_87_Principal,-1.5828521842896268,0.24749028014245067,0.585487275390671
Modele_2406_Principal,-0.54120134656479,-1.5054438950818696,0.634375789741125
Modele_4301_Principal,0.14561523554523456,0.4990723735826555,0.636506334552029
Modele_4402_Principal,-0.5625297341237628,-0.13500035458395257,0.651334988059448
Modele_4503_Principal,1.8084531645067514,0.6487912932502391,0.501207423722136
Modele_MA_lidar_205_principal,-0.9510957115813465,-0.75638140352455,0.627546817211436
PARAP_Gungu_5,9.20002479811141,-0.9493917543887863,0.544603720945961
PARAP_Idiofa_6,4.65666540081069,2.768415768814409,0.645456062621043
PARAP_Luhudi_5,5.787669713114746,-1.362352663605336,0.498633188375883
PARAP_Lukolela_53,-0.11927381628208655,-0.3279322110905774,0.752455462105297
PARAP_Mampulu_28,2.779164116103826,-2.6867834080251196,0.546408294556489
PARAP_Mangai_16,-3.08902066557472,1.3914295287763256,0.686729289594707
PARAP_Maniema_178,1.8769026507573479,0.5034994276494209,0.620584389204391
PARAP_Mashambio_26,2.280620612845263,-3.246265097017156,0.690291256281189
PARAP_SwaKibula_234,3.298106347972253,2.413523497419441,0.534917369676759
WWF-DIAF_07_01_Principal,0.9524620228589773,0.3486183439077877,0.503570346358142
WWF-DIAF_08_02_Principal,0.9638659742914434,-0.8354804139609969,0.577135289106496
WWF-DIAF_11_05_Principal,0.19142368618842673,-1.1431560404047227,0.686660463415449
WWF-DIAF_13_07_Principal,-2.3389697150786977,-0.07678931881293193,0.670209102228902
WWF-DIAF_14_08_Principal,1.491787652695188,-0.6369457797691465,0.688332733627453
WWF-DIAF_15_09_Principal,2.9615860915658545,-0.41784575339208263,0.520670596553185
WWF-DIAF_16_10_Principal,-2.5277433301208854,1.4190406517975056,0.599906104129332
WWF-DIAF_17_11_Principal,5.7350487110659305,-1.2136692965099014,0.58530795949312
WWF-DIAF_supp1_Principal,4.046036010358093,5.40176713168999,0.705208027749587
WWF-DIAF_supp2_Principal,-0.9071181058626601,4.151940537546678,0.529590962064373
MAB01h,-1.6602999004345802,-0.3374216201701422,0.65285603368442
MAB02h,-4.0692345030702635,0.1445332478728442,0.634551671275927
MAB03h,-3.4763140746507437,-1.6061694854163666,0.700518812557906
MAB04h,-5.9673209968004715,0.987308138533336,0.704608763066801
MAB05h,-5.3981439775076145,1.5607629193080346,0.710018821162178
MAB06h,-2.8924321488276523,0.22715503000000858,0.713263417375382
MAB07h,-1.149793454345324,0.4413505459501512,0.685098189538624
MAB08h,-1.9716834980319304,-1.641016491916338,0.701270426665411
MAB09h,-6.5481958035637255,-0.2747491701342406,0.670076961576783
MAB10h,-3.767290891017273,-0.6112765744574634,0.681107526516997
MAB11h,-11.558650476264786,3.321321749780674,0.76645148713514
MAB12h,2.2056225821545183,1.1630176178566005,0.64949393390028
