Temperament;plot_ref;Proportion;Type_Proportion;Type_subdivision
héliophile non pionnière;MAB02h;26,228320636463302;G.rel;3
tolérante à l'ombrage;MAB02h;68,308099343880798;G.rel;3
héliophile;MAB03h;5,578050881527500;G.rel;3
héliophile non pionnière;MAB03h;25,426445113580801;G.rel;3
tolérante à l'ombrage;MAB03h;68,995504004891799;G.rel;3
héliophile;MAB04h;22,851255592475500;G.rel;3
héliophile non pionnière;MAB04h;17,378216693090000;G.rel;3
tolérante à l'ombrage;MAB04h;59,770527714434500;G.rel;3
héliophile;MAB05h;13,646454525334800;G.rel;3
héliophile non pionnière;MAB05h;21,084443962733801;G.rel;3
tolérante à l'ombrage;MAB05h;65,269101511931396;G.rel;3
héliophile;MAB06h;1,619762872957250;G.rel;3
héliophile non pionnière;MAB06h;18,821232035217800;G.rel;3
tolérante à l'ombrage;MAB06h;79,559005091824901;G.rel;3
héliophile;MAB07h;12,517072060648299;G.rel;3
héliophile non pionnière;MAB07h;16,780908383956000;G.rel;3
tolérante à l'ombrage;MAB07h;70,702019555395694;G.rel;3
héliophile;MAB08h;1,064095008383370;G.rel;3
héliophile non pionnière;MAB08h;17,170827997279201;G.rel;3
tolérante à l'ombrage;MAB08h;81,765076994337406;G.rel;3
héliophile;MAB09h;6,622883618440370;G.rel;3
héliophile non pionnière;MAB09h;34,948321989401798;G.rel;3
tolérante à l'ombrage;MAB09h;58,428794392157897;G.rel;3
héliophile;MAB10h;14,807512643501999;G.rel;3
héliophile non pionnière;MAB10h;21,919753331853801;G.rel;3
tolérante à l'ombrage;MAB10h;63,272734024644201;G.rel;3
héliophile;MAB11h;3,097435957631070;G.rel;3
héliophile non pionnière;MAB11h;57,709048631840702;G.rel;3
tolérante à l'ombrage;MAB11h;39,193515410528200;G.rel;3
héliophile;MAB12h;47,546031734337298;G.rel;3
héliophile non pionnière;MAB12h;11,121913903640200;G.rel;3
tolérante à l'ombrage;MAB12h;41,332054362022497;G.rel;3
héliophile;MIX-L6A;1,070399256062510;G.rel;3
héliophile non pionnière;MIX-L6A;27,431746689939299;G.rel;3
tolérante à l'ombrage;MIX-L6A;71,497854053998196;G.rel;3
héliophile;MIX-L7A;5,609232833144690;G.rel;3
héliophile non pionnière;MIX-L7A;16,091809860318399;G.rel;3
tolérante à l'ombrage;MIX-L7A;78,298957306536906;G.rel;3
héliophile;MIX2;1,382471586610370;G.rel;3
héliophile non pionnière;MIX2;33,938554116935101;G.rel;3
tolérante à l'ombrage;MIX2;64,678974296454498;G.rel;3
héliophile;MIX6;4,105230846532850;G.rel;3
héliophile non pionnière;MIX6;29,957037838017001;G.rel;3
tolérante à l'ombrage;MIX6;65,937731315450193;G.rel;3
héliophile;Model_OR_lidar_87_Principal;22,499063172699401;G.rel;3
héliophile non pionnière;Model_OR_lidar_87_Principal;31,992504242986001;G.rel;3
tolérante à l'ombrage;Model_OR_lidar_87_Principal;45,508432584314598;G.rel;3
héliophile;Modele_2406_Principal;8,620091684307200;G.rel;3
héliophile non pionnière;Modele_2406_Principal;18,431154644304101;G.rel;3
tolérante à l'ombrage;Modele_2406_Principal;72,948753671388701;G.rel;3
héliophile;Modele_4301_Principal;18,153793701063901;G.rel;3
héliophile non pionnière;Modele_4301_Principal;28,961439473258199;G.rel;3
tolérante à l'ombrage;Modele_4301_Principal;52,884766825677900;G.rel;3
héliophile;Modele_4402_Principal;8,610865743079451;G.rel;3
héliophile non pionnière;Modele_4402_Principal;16,013186450178999;G.rel;3
tolérante à l'ombrage;Modele_4402_Principal;75,375947806741493;G.rel;3
héliophile;Modele_4503_Principal;27,044055110071401;G.rel;3
héliophile non pionnière;Modele_4503_Principal;60,853796925332396;G.rel;3
tolérante à l'ombrage;Modele_4503_Principal;12,102147964596300;G.rel;3
héliophile;Modele_MA_lidar_205_principal;4,746021384304410;G.rel;3
héliophile non pionnière;Modele_MA_lidar_205_principal;25,827915455942200;G.rel;3
tolérante à l'ombrage;Modele_MA_lidar_205_principal;69,426063159753397;G.rel;3
héliophile;PARAP_Gungu_5;30,035963965930300;G.rel;3
héliophile non pionnière;PARAP_Gungu_5;29,644980659203700;G.rel;3
tolérante à l'ombrage;PARAP_Gungu_5;40,319055374865997;G.rel;3
héliophile;PARAP_Idiofa_6;12,628251723037099;G.rel;3
héliophile non pionnière;PARAP_Idiofa_6;59,471785673548098;G.rel;3
tolérante à l'ombrage;PARAP_Idiofa_6;27,899962603414799;G.rel;3
héliophile;PARAP_Luhudi_5;44,191591807220199;G.rel;3
héliophile non pionnière;PARAP_Luhudi_5;31,499787254278900;G.rel;3
tolérante à l'ombrage;PARAP_Luhudi_5;24,308620938500901;G.rel;3
héliophile;PARAP_Lukolela_53;31,834108482495800;G.rel;3
héliophile non pionnière;PARAP_Lukolela_53;12,451106159958400;G.rel;3
tolérante à l'ombrage;PARAP_Lukolela_53;55,714785357545800;G.rel;3
héliophile;PARAP_Mampulu_28;27,492205604632300;G.rel;3
héliophile non pionnière;PARAP_Mampulu_28;47,437837919438600;G.rel;3
tolérante à l'ombrage;PARAP_Mampulu_28;25,069956475929100;G.rel;3
héliophile;PARAP_Mangai_16;6,242684855838630;G.rel;3
héliophile non pionnière;PARAP_Mangai_16;4,447737713922830;G.rel;3
tolérante à l'ombrage;PARAP_Mangai_16;89,309577430238505;G.rel;3
héliophile;PARAP_Maniema_178;13,980526570876300;G.rel;3
héliophile non pionnière;PARAP_Maniema_178;45,663525614031897;G.rel;3
tolérante à l'ombrage;PARAP_Maniema_178;40,355947815091803;G.rel;3
héliophile;PARAP_Mashambio_26;1,403502363169180;G.rel;3
héliophile non pionnière;PARAP_Mashambio_26;74,604531681460202;G.rel;3
tolérante à l'ombrage;PARAP_Mashambio_26;23,991965955370599;G.rel;3
héliophile;PARAP_SwaKibula_234;29,783783683973201;G.rel;3
héliophile non pionnière;PARAP_SwaKibula_234;39,976411978303801;G.rel;3
tolérante à l'ombrage;PARAP_SwaKibula_234;30,239804337723001;G.rel;3
héliophile;WWF-DIAF_07_01_Principal;28,565286658802599;G.rel;3
héliophile non pionnière;WWF-DIAF_07_01_Principal;61,736977360638001;G.rel;3
tolérante à l'ombrage;WWF-DIAF_07_01_Principal;9,697735980559409;G.rel;3
héliophile;WWF-DIAF_08_02_Principal;12,304818721917201;G.rel;3
héliophile non pionnière;WWF-DIAF_08_02_Principal;21,499619333173200;G.rel;3
tolérante à l'ombrage;WWF-DIAF_08_02_Principal;66,195561944909599;G.rel;3
héliophile;WWF-DIAF_11_05_Principal;8,162141439165961;G.rel;3
héliophile non pionnière;WWF-DIAF_11_05_Principal;17,598610449863202;G.rel;3
tolérante à l'ombrage;WWF-DIAF_11_05_Principal;74,239248110970806;G.rel;3
héliophile;WWF-DIAF_13_07_Principal;0,848968879889335;G.rel;3
héliophile non pionnière;WWF-DIAF_13_07_Principal;19,157682044590199;G.rel;3
tolérante à l'ombrage;WWF-DIAF_13_07_Principal;79,993349075520499;G.rel;3
héliophile;WWF-DIAF_14_08_Principal;0,768499893803660;G.rel;3
héliophile non pionnière;WWF-DIAF_14_08_Principal;18,344369047394199;G.rel;3
tolérante à l'ombrage;WWF-DIAF_14_08_Principal;80,887131058802098;G.rel;3
héliophile;WWF-DIAF_15_09_Principal;24,552530408225699;G.rel;3
héliophile non pionnière;WWF-DIAF_15_09_Principal;13,857101721714800;G.rel;3
tolérante à l'ombrage;WWF-DIAF_15_09_Principal;61,590367870059403;G.rel;3
héliophile;WWF-DIAF_16_10_Principal;25,577764487197399;G.rel;3
héliophile non pionnière;WWF-DIAF_16_10_Principal;44,521233819029902;G.rel;3
tolérante à l'ombrage;WWF-DIAF_16_10_Principal;29,901001693772699;G.rel;3
héliophile;WWF-DIAF_17_11_Principal;3,517034829682650;G.rel;3
héliophile non pionnière;WWF-DIAF_17_11_Principal;19,572780492287201;G.rel;3
tolérante à l'ombrage;WWF-DIAF_17_11_Principal;76,910184678030205;G.rel;3
héliophile;WWF-DIAF_supp1_Principal;27,590781440868898;G.rel;3
héliophile non pionnière;WWF-DIAF_supp1_Principal;12,353848631880000;G.rel;3
tolérante à l'ombrage;WWF-DIAF_supp1_Principal;60,055369927251100;G.rel;3
héliophile;WWF-DIAF_supp2_Principal;28,927835698863699;G.rel;3
héliophile non pionnière;WWF-DIAF_supp2_Principal;57,708459719978997;G.rel;3
tolérante à l'ombrage;WWF-DIAF_supp2_Principal;13,363704581157300;G.rel;3
héliophile;123;7,945205479452060;ind.rel;3
héliophile non pionnière;123;22,191780821917799;ind.rel;3
tolérante à l'ombrage;123;69,863013698630098;ind.rel;3
héliophile;148;7,096774193548390;ind.rel;3
héliophile non pionnière;148;28,387096774193601;ind.rel;3
tolérante à l'ombrage;148;64,516129032258107;ind.rel;3
héliophile;162;8,282208588957060;ind.rel;3
héliophile non pionnière;162;23,006134969325199;ind.rel;3
tolérante à l'ombrage;162;68,711656441717807;ind.rel;3
héliophile;166;12,052117263843700;ind.rel;3
héliophile non pionnière;166;37,785016286645003;ind.rel;3
