plot_name;site;H_mean;H_95;H_Lor;n_tree;DBH_mean;QMD;G;WD_BA;WD_mean;AGB_Chave;H_mean_20;WD_mean_20;QMD_20;AGB_Bastin_20
MAB09h;Mabounie;22,09117180195800;36,7412639672620;31,57077545882030;358;26,9273743016760;33,3479037056941;31,26871150415070;0,670076961576783;0,685897982625683;430,4339608621250;35,9925073134777;0,625035930424143;86,6746214298049;393,1204006102620
MAB10h;Mabounie;21,05575533529210;34,4085752397322;30,35485385298290;370;24,1078378378378;29,8646174992813;25,91824070847890;0,681107526516997;0,637086865101619;356,8661465167910;34,5158145949404;0,752730520461779;79,6292502790275;420,4098589671880
MAB11h;Mabounie;25,37330308364530;50,3850000000000;37,98734645937610;295;30,6027118644068;36,7909559630892;31,36129895204100;0,766451487135140;0,702635481157098;609,9366141223610;47,9977919712314;0,820902020059242;82,1602367328624;698,2594414210420
MAB12h;Mabounie;19,65378114856640;28,9268563620757;23,99987664357390;356;22,0244382022472;25,1551360717154;17,69266364145620;0,649493933900280;0,673969259116932;184,6481724437070;27,8187645814024;0,630309309634017;59,7865118567725;194,5861925245370
MIX-L6A;Yangambi;18,15195131465280;28,0451292835000;24,11306193054560;432;26,0254629629630;30,1834644760633;30,91091080444440;0,638520286467947;0,640898273712083;320,0728662872660;30,3720085720000;0,693250730251770;67,6449000294923;275,3883871339240
MIX-L7A;Yangambi;17,54168596540180;29,8255193300000;26,85126353430080;448;24,9015625000000;30,9432620896699;33,68992832289260;0,674928961559939;0,649803859434677;405,6327126399070;33,6990790655000;0,723993330537801;84,4970295335878;418,7280213676120
MIX2;Yangambi;16,79181195387500;27,2090922675000;23,52924311825320;560;23,7043325961250;28,1235657349651;34,78713598198170;0,665028263164137;0,656834708279199;363,5009635716330;30,0127577790000;0,666808069887934;75,5219020041635;294,5509179055190
MIX6;Yangambi;17,91335568337390;28,1425082240000;24,71364833465140;329;27,1645957362006;32,2843563680249;26,93208921793630;0,646148763802375;0,635333448418916;285,7558609138100;30,0038992135000;0,652801630899968;77,4344477566397;295,7164191546010
Model_OR_lidar_87_Principal;DRC;22,51709487434480;38,7731496465491;33,76172621335800;348;26,8725287356322;33,0048260316474;29,77309760504260;0,585487275390671;0,608632293676364;381,9962458164500;41,1957903654083;0,539447310283680;82,3258263244287;365,7368555609030
Modele_2406_Principal;DRC;20,04111894899540;34,4544457552600;27,67945513156360;474;22,8824894514768;26,8873203532928;26,91307157533160;0,634375789741125;0,623091562446593;316,8140831890500;33,6657662961585;0,672403485642604;70,4805043966060;313,1838892756750
Modele_4301_Principal;DRC;20,78312906376840;36,6818383433662;31,47191413058730;305;23,6589180327869;29,0989721242611;20,28359907355210;0,636506334552029;0,640060779405637;267,7241891038460;38,8246734486648;0,626862290433386;73,4089460828856;356,0299558986210
Modele_4402_Principal;DRC;22,19691404256640;37,8000000000000;32,37793214148850;328;26,7780487804878;33,5136193647721;28,93386099444690;0,651334988059448;0,642357901463453;405,7202209686260;37,6922859726878;0,687213362067460;83,2488768693008;440,6173822473450
Modele_4503_Principal;DRC;20,69674302776540;34,9370505964993;29,00289686655640;343;24,1478134110787;29,1306902373189;22,86049087962810;0,501207423722136;0,572209192986449;217,6332626309770;35,8240835634070;0,459676607142857;73,1928787519660;227,9217077225070
Modele_MA_lidar_205_principal;DRC;21,37801452684650;35,0238897031085;31,52253286029160;373;25,1327077747989;32,8648744587645;31,64190836405410;0,627546817211436;0,633491078157232;406,0643830347400;36,9179925746737;0,576565344176247;99,6825762106899;432,6238187951280
PARAP_Gungu_5;DRC;18,45676523674300;27,7857775913705;21,65465429838940;518;19,6403474903475;21,6718938848451;19,10791814517550;0,544603720945961;0,537557003550616;155,3833645734320;25,1153048995719;0,531993347192295;48,9467057114164;113,9958751067430
PARAP_Idiofa_6;DRC;17,18971394250800;25,1604887584342;19,84256000906560;485;18,9261855670103;21,6976125818620;17,93310622059680;0,645456062621043;0,639826968766586;157,0322504975030;21,5453267106006;0,636431602881695;59,1800684352426;145,5739804097480
PARAP_Luhudi_5;DRC;18,47773461491360;27,9068751931427;25,50825076150140;552;17,4195652173913;19,8609687505455;17,10132715405810;0,498633188375883;0,510638084370620;148,7187095686930;33,5372325392285;0,487614981448887;54,9792506314882;163,5072400430490
PARAP_Lukolela_53;DRC;18,67429074962480;29,2596493574742;23,84360176877530;476;20,5680672268908;23,9812890998536;21,50016947965130;0,752455462105297;0,798892924272538;259,4798652407420;27,2611867881464;0,702294634157509;63,0174380628093;228,1767033662200
PARAP_Mampulu_28;DRC;19,84637893601820;30,8859747305185;23,03940633675880;552;23,9641304347826;27,0069804449447;31,62139454942430;0,546408294556489;0,582667015416669;268,2928807463820;24,7778928096141;0,502250867077778;57,5307439548630;126,3115555394110
