plot_name;height_aboveground;buffer;proportion
123;1;0;0,00000000000000000000
123;1;20;0,00000000000000000000
123;1;50;0,00009311853990129441
123;1;100;0,00005453633210444800
123;1;200;0,00002963038214727150
123;2;0;0,00000000000000000000
123;2;20;0,00000000000000000000
123;2;50;0,00039575379458050002
123;2;100;0,00038175432473113000
123;2;200;0,00034286585056128002
123;3;0;0,00040201005025125000
123;3;20;0,00018816445573430999
123;3;50;0,00144333736847006007
123;3;100;0,00296677646648197020
123;3;200;0,00206989383857367985
123;4;0;0,00110552763819094998
123;4;20;0,00051745225326935000
123;4;50;0,00260731911723624012
123;4;100;0,00704609410789468031
123;4;200;0,00504986370024212029
123;5;0;0,00190954773869347004
123;5;20;0,00089378116473798005
123;5;50;0,00393425831082968962
123;5;100;0,01078728649025979987
123;5;200;0,00806369685579316070
123;6;0;0,00321608040201004988
123;6;20;0,00183460344340953996
123;6;50;0,00530775677437377979
123;6;100;0,01576099997818549911
123;6;200;0,01195797565229170072
123;7;0;0,00552763819095476987
123;7;20;0,00390441245648697009
123;7;50;0,00803147406648663936
123;7;100;0,02279618681965929830
123;7;200;0,01742689761433089887
123;8;0;0,00954773869346733917
123;8;20;0,00715024931790384996
123;8;50;0,01189589347239040050
123;8;100;0,03009314805523440051
123;8;200;0,02367044242393459910
123;9;0;0,01467336683417089921
123;9;20;0,01096057954652369937
123;9;50;0,01631902411770180111
123;9;100;0,03766279095133179960
123;9;200;0,03040500499483590052
123;10;0;0,01889447236180899839
123;10;20;0,01528836202841279968
123;10;50;0,02151038271719899961
123;10;100;0,04509063938395759669
123;10;200;0,03766444862091739704
123;11;0;0,02351758793969849909
123;11;20;0,01923981559883339992
123;11;50;0,02695781730142469967
123;11;100;0,05406731964834970289
123;11;200;0,04632075311965599962
123;12;0;0,03376884422110550121
123;12;20;0,02577853043560069876
123;12;50;0,03552472297234379739
123;12;100;0,06572718745228070536
123;12;200;0,05808401483212270039
123;13;0;0,04442211055276380077
123;13;20;0,03382256091824260152
123;13;50;0,04462706024769529795
123;13;100;0,07793241857725620447
123;13;200;0,07135419312236500333
123;14;0;0,05628140703517590243
123;14;20;0,04177250917301719713
123;14;50;0,05382251606294809892
123;14;100;0,09116293274579520545
123;14;200;0,08592810822708729646
123;15;0;0,06904522613065329495
123;15;20;0,05146297864333430200
123;15;50;0,06492690194617750654
