Site;Area_code;Plot_code;Scale;sw_x;sw_y;nw_x;nw_y;se_x;se_y;ne_x;ne_y;agb_fph;cred_fph_2.5;cred_fph_97.5;agb_chv;cred_chv_2.5;cred_chv_97.5;agb_loc;cred_loc_2.5;cred_loc_97.5;TCH;H50;GF20;STDV;BA;WD;Ndens
NOURAGUES;NOU01h1;NOU01;1ha;312514.2862;449724.252;312517.6017;449824.1971;312614.2312;449720.9365;312617.5467;449820.8815;473.2;428.1;528;468.2;410.1;547.5;464.8;420;523.6;31.58527935;32.11714172;0.105178964;9.174440856;34.20097277;0.677129311;534
NOURAGUES;NOU01h2;NOU01;1ha;312517.6017;449824.1971;312520.9172;449924.1421;312617.5467;449820.8815;312620.8622;449920.8266;405.7;371.7;447.3;395.6;352.9;448.2;388.2;354.8;428.6;32.11773221;34.6000061;0.174717472;11.147932;29.96836389;0.639870549;451
NOURAGUES;NOU02h1;NOU02;1ha;313704.3114;451320.5058;313616.5131;451368.375;313752.1806;451408.3041;313664.3823;451456.1733;297.5;266.1;336.6;287.9;250.3;334.4;284.6;255;323;22.85238909;21.30999756;0.4433;11.42257031;23.15141571;0.647498286;491
NOURAGUES;NOU02h2;NOU02;1ha;313752.1806;451408.3041;313664.3823;451456.1733;313800.0498;451496.1024;313712.2515;451543.9716;283;260;311.4;269.6;241.6;302.1;268.2;244.8;294.6;25.89407502;26.06900406;0.2359;9.304966955;24.1476815;0.595923327;496
NOURAGUES;NOU02h3;NOU02;1ha;313800.0498;451496.1024;313712.2515;451543.9716;313847.919;451583.9007;313760.1207;451631.7699;346;316.2;380.8;332.1;296.6;376.7;328.9;301.2;359.7;28.89888154;27.13500214;0.28;11.78055547;26.56867841;0.622041344;507
NOURAGUES;NOU02h4;NOU02;1ha;313847.919;451583.9007;313760.1207;451631.7699;313895.7882;451671.699;313807.9899;451719.5682;279.8;254;311.4;269.3;237.5;310.1;266.5;240.9;295.4;25.81487013;24.62000275;0.288128813;9.953227335;22.49291433;0.633496753;479
NOURAGUES;NOU02h5;NOU02;1ha;313895.7882;451671.699;313807.9899;451719.5682;313943.6574;451759.4973;313855.8591;451807.3665;301.5;270.1;341.6;293.8;257.6;338.1;288.5;258.2;326;26.365358;25.13499832;0.286;11.17447514;22.91223919;0.649625832;454
NOURAGUES;NOU02h6;NOU02;1ha;313943.6574;451759.4973;313855.8591;451807.3665;313991.5265;451847.2956;313903.7282;451895.1648;321.3;289.1;358.9;313.5;275.5;360;308.5;277.5;346.9;26.82551907;26.37000275;0.2572;10.113177;25.50440813;0.624749256;491
NOURAGUES;NOU02h7;NOU02;1ha;313991.5265;451847.2956;313903.7282;451895.1648;314039.3957;451935.0939;313951.5974;451982.9631;395.1;357.8;439.8;385.7;343.6;437.4;378.6;341.5;419.7;31.40784227;30.41999435;0.0814;9.711097355;28.23129799;0.657119602;442
NOURAGUES;NOU02h8;NOU02;1ha;314039.3957;451935.0939;313951.5974;451982.9631;314087.2649;452022.8922;313999.4666;452070.7614;619;558.6;683;628.6;558.4;718.4;605.1;548.5;671.3;34.50754176;36.29000092;0.1148;12.06696864;38.06374472;0.718809633;434
NOURAGUES;NOU02h9;NOU02;1ha;314087.2649;452022.8922;313999.4666;452070.7614;314135.1341;452110.6905;314047.3358;452158.5597;478.1;435.4;524.9;465.6;418.5;519.6;461.3;423.7;504.8;33.98413287;33.76000595;0.0688;9.282837468;32.62745975;0.692208577;508
NOURAGUES;NOU02h10;NOU02;1ha;314135.1341;452110.6905;314047.3358;452158.5597;314183.0033;452198.4888;314095.205;452246.358;452.1;413.6;498.5;439.4;391.7;491.6;434.2;397.5;477.1;33.03732866;32.70999908;0.0871;9.363279952;31.89395049;0.727786563;510
NOURAGUES;NOU03h1;NOU03;1ha;313129.3929;446508.6265;313130.6146;446608.6191;313229.3854;446507.4048;313230.6071;446607.3974;504.6;454.3;567.1;509.9;445.4;597.5;489.8;438.4;553.9;31.56201758;31.6000061;0.094637855;8.084518209;38.16711254;0.607978874;532
NOURAGUES;NOU03h2;NOU03;1ha;313130.6146;446608.6191;313131.8363;446708.6116;313230.6071;446607.3974;313231.8288;446707.3899;538.7;492.2;589.3;528;472.2;596.4;518.4;475.2;568.4;29.04519909;29.53999329;0.168683132;8.947200843;40.16047822;0.638262069;606
NOURAGUES;NOU03h3;NOU03;1ha;313131.8363;446708.6116;313133.058;446808.6041;313231.8288;446707.3899;313233.0505;446807.3824;458;417;509.7;457;400.6;525.1;444.3;398.9;496;32.59318594;32.48072052;0.0749;8.662638928;34.13920592;0.621757665;477
NOURAGUES;NOU03h4;NOU03;1ha;313229.3854;446507.4048;313230.6071;446607.3974;313329.3779;446506.1831;313330.5996;446606.1757;551.1;496;613.2;558.9;488.2;638;537.5;482.7;598.3;32.74013581;34.55000305;0.107489251;9.108014131;36.79623225;0.640398755;469
NOURAGUES;NOU03h5;NOU03;1ha;313230.6071;446607.3974;313231.8288;446707.3899;313330.5996;446606.1757;313331.8213;446706.1682;536.9;484;592.6;540.9;476.7;616.9;521;472.7;577.4;33.93801088;33.64999771;0.0454;8.39633417;38.19503031;0.658074529;451
NOURAGUES;NOU03h6;NOU03;1ha;313231.8288;446707.3899;313233.0505;446807.3824;313331.8213;446706.1682;313333.043;446806.1607;562.2;514.3;620.9;559.3;494.5;641.3;545.4;495.6;610;31.1965414;33.31000519;0.115411541;9.256024531;38.82548983;0.661449391;468
NOURAGUES;NOU04h1;NOU04;1ha;313216.7083;451258.6465;313128.5779;451305.9016;313263.9634;451346.7768;313175.833;451394.0319;446.7;410.9;488.4;427.1;386.2;476.5;425.6;393.6;463.9;34.5192987;34.66000366;0.050494951;8.506072152;30.92116339;0.698107721;509
NOURAGUES;NOU04h2;NOU04;1ha;313128.5779;451305.9016;313040.4476;451353.1566;313175.833;451394.0319;313087.7027;451441.287;310.4;285.5;340.7;295.1;264.6;331.3;294.6;270;321;29.73396106;29.60999298;0.159515952;10.17205079;23.84201632;0.662310208;507
NOURAGUES;NOU04h3;NOU04;1ha;313040.4476;451353.1566;312952.3172;451400.4117;313087.7027;451441.287;312999.5723;451488.5421;423;390;460.8;400.8;365.2;444.9;400.9;372.3;434.8;32.90256833;33.82000732;0.078092191;8.351194738;30.41939528;0.680241566;533
NOURAGUES;NOU04h4;NOU04;1ha;312952.3172;451400.4117;312864.1869;451447.6668;312999.5723;451488.5421;312911.442;451535.7971;472.9;431.8;517.7;464.9;413;523.4;454.6;415.9;500.9;35.53636687;37.70000458;0.088;9.458470595;33.83739625;0.649532694;459
NOURAGUES;NOU04h5;NOU04;1ha;313263.9634;451346.7768;313175.833;451394.0319;313311.2184;451434.9072;313223.0881;451482.1623;437;401.5;477.3;418.4;377;466.2;417.2;383.7;454.7;33.96732733;35.68000031;0.088635454;8.995547208;30.49819978;0.690212854;486
NOURAGUES;NOU04h6;NOU04;1ha;313175.833;451394.0319;313087.7027;451441.287;313223.0881;451482.1623;313134.9577;451529.4173;397.5;360.3;439.6;386.5;342.6;437.9;381.4;344.4;422;33.22818332;34.11000824;0.099470159;10.052558;28.12609626;0.682896661;472
NOURAGUES;NOU04h7;NOU04;1ha;313087.7027;451441.287;312999.5723;451488.5421;313134.9577;451529.4173;313046.8274;451576.6724;464.7;428.8;506.1;445.3;401.8;491.7;442.3;408.8;481;35.01996173;36.54999542;0.030006001;7.261148003;32.95148597;0.684620642;563
NOURAGUES;NOU04h8;NOU04;1ha;312999.5723;451488.5421;312911.442;451535.7971;313046.8274;451576.6724;312958.6971;451623.9275;449.3;412.4;492.1;432.6;387.9;483.3;430.2;395.2;468.3;33.88015677;34.20999908;0.04989501;7.908999468;31.69522669;0.682909992;513
NOURAGUES;NOU04h9;NOU04;1ha;313311.2184;451434.9072;313223.0881;451482.1623;313358.4735;451523.0375;313270.3432;451570.2926;546.7;502.4;593.7;528;476.5;585.9;508.2;465.6;554.2;35.7358255;36.125;0.026889244;7.674011182;36.27119829;0.709354266;519
NOURAGUES;NOU04h10;NOU04;1ha;313223.0881;451482.1623;313134.9577;451529.4173;313270.3432;451570.2926;313182.2128;451617.5477;414.1;379;451.8;397.6;353.5;445.6;394.4;361;432.8;32.85629134;34.09857178;0.106342537;9.628550911;29.11423789;0.687726184;511
NOURAGUES;NOU04h11;NOU04;1ha;313134.9577;451529.4173;313046.8274;451576.6724;313182.2128;451617.5477;313094.0825;451664.8028;511.1;472.3;557.2;490.3;444.3;547.4;485;449.1;525.2;33.57895019;33.77333069;0.031493701;6.939101026;35.3235565;0.698171205;558
NOURAGUES;NOU04h12;NOU04;1ha;313046.8274;451576.6724;312958.6971;451623.9275;313094.0825;451664.8028;313005.9521;451712.0578;489.2;448.8;539.6;472.9;424.3;535.4;467.3;428;511.3;33.08566481;33.68999863;0.0703;8.329234823;33.65264547;0.699375313;535
NOURAGUES;NOU08h1;NOU08;1ha;313652;447024;313652;447124;313752;447024;313752;447124;522.9;479.1;565.5;510.2;458.7;567.8;495.3;454.5;540.3;32.88255985;33.78788757;0.073;8.208329762;37.26381276;0.643572598;494
NOURAGUES;NOU09h1;NOU09;1ha;313832;447430;313832;447530;313932;447430;313932;447530;466.4;426.1;515.1;462.1;409.9;523.1;443.1;406.2;488.2;31.60282218;31.15209961;0.0533;8.066599588;34.66829253;0.627192419;482
NOURAGUES;NOU10h1;NOU10;1ha;314144;446338;314144;446438;314244;446338;314244;446438;401.7;368.5;437.4;379.4;343.5;423.3;343.3;317.9;371.7;25.89935226;25.80000114;0.1254;5.973021195;27.8877774;0.722004672;518
PARACOU;PAR01h1;PAR01;1ha;285155.6446;582887.6035;285130.2688;582984.3303;285252.3713;582912.9793;285226.9955;583009.7061;450.7;419.4;486.1;414.8;382.4;457;393.2;365;423.4;30.31064992;30.81449795;0.064906491;7.780939906;32.18606284;0.708024525;599
PARACOU;PAR01h2;PAR01;1ha;285130.2688;582984.3303;285104.893;583081.0571;285226.9955;583009.7061;285201.6197;583106.4328;307.6;287.6;328.2;278.9;257.3;302;269.1;252.1;287.2;25.91755283;26.48999786;0.178482152;6.922965871;25.01412333;0.668084998;569
PARACOU;PAR01h3;PAR01;1ha;285252.3713;582912.9793;285226.9955;583009.7061;285349.0981;582938.3551;285323.7223;583035.0819;489.5;458.1;524.7;448.7;413;486.6;426.6;399.8;455.3;27.77662348;28.02999878;0.080683863;5.580646201;34.28080143;0.723181504;612
PARACOU;PAR01h4;PAR01;1ha;285226.9955;583009.7061;285201.6197;583106.4328;285323.7223;583035.0819;285298.3465;583131.8086;364.2;338.4;391.4;332.2;305.6;363.9;317.7;294.9;341.7;25.92311657;26.57999992;0.186637327;7.4743356;26.5894247;0.717644488;560
PARACOU;PAR02h1;PAR02;1ha;285095.6694;582560.4544;285070.2936;582657.1812;285192.3962;582585.8302;285167.0204;582682.557;348.8;325.6;375.5;319.6;295.1;348.8;303.6;282.4;326.1;28.32902906;28.54999733;0.098229469;6.535377632;27.88200708;0.655766098;544
PARACOU;PAR02h2;PAR02;1ha;285070.2936;582657.1812;285044.9178;582753.908;285167.0204;582682.557;285141.6446;582779.2837;345;323.3;369.5;312.1;289.6;338.1;301.2;283.6;320.9;25.3268544;25.14666653;0.120375925;5.023578521;27.40626471;0.666962696;641
PARACOU;PAR02h3;PAR02;1ha;285192.3962;582585.8302;285167.0204;582682.557;285289.1229;582611.206;285263.7472;582707.9328;407.2;383.9;434;369.6;340.2;401.7;355.6;334.5;377.6;27.03859433;26.86000061;0.097490251;5.741648041;31.23832052;0.676157978;649
PARACOU;PAR02h4;PAR02;1ha;285167.0204;582682.557;285141.6446;582779.2837;285263.7472;582707.9328;285238.3714;582804.6595;350;329.6;374.2;317.5;292.9;343.5;305.8;287.9;326.8;25.08913218;25.39999962;0.1316;4.782381312;27.72595082;0.679731035;641
PARACOU;PAR03h1;PAR03;1ha;285411.4612;582540.3839;285385.7479;582637.0215;285508.0988;582566.0972;285482.3855;582662.7348;367.4;343.5;395.2;336.4;309.5;367.2;320.4;298.1;343.8;28.0693979;28.13999748;0.0919;5.909103319;29.95593497;0.639476071;631
PARACOU;PAR03h2;PAR03;1ha;285385.7479;582637.0215;285360.0346;582733.6591;285482.3855;582662.7348;285456.6722;582759.3724;343.2;321.9;365.8;312.2;289.9;337.5;300.5;282;321.2;26.294143;25.99785519;0.0805;4.809895117;29.03281095;0.638032213;694
PARACOU;PAR03h3;PAR03;1ha;285508.0988;582566.0972;285482.3855;582662.7348;285604.7364;582591.8104;285579.0231;582688.4481;320.6;302.7;339.6;288.4;269.6;308.9;281.9;267.9;297.4;21.59096349;21.27692223;0.3749;4.383977695;27.09279659;0.69189242;793
PARACOU;PAR03h4;PAR03;1ha;285482.3855;582662.7348;285456.6722;582759.3724;285579.0231;582688.4481;285553.3098;582785.0857;316.8;299.2;334;285.2;266.7;307.1;278.3;263.1;293.9;21.86664887;21.35000038;0.4115;5.894341687;26.42776698;0.685345612;734
PARACOU;PAR04h1;PAR04;1ha;285893.808;582842.4438;285867.4207;582938.8995;285990.2637;582868.8311;285963.8764;582965.2868;317.4;301.8;335.4;284.5;266;305;278.5;263.7;293.5;21.99444103;21.34000015;0.368736874;4.576301272;27.44821518;0.67009238;843
PARACOU;PAR04h2;PAR04;1ha;285867.4207;582938.8995;285841.0334;583035.3553;285963.8764;582965.2868;285937.4891;583061.7426;339.9;319.9;363.1;306.5;283.9;332.4;297.7;281.1;315.6;24.37121459;24.19249916;0.186962607;5.525416004;27.63381026;0.685389475;735
PARACOU;PAR04h3;PAR04;1ha;285990.2637;582868.8311;285963.8764;582965.2868;286086.7195;582895.2184;286060.3322;582991.6741;285.2;268.2;303.4;257.4;240.6;277.7;251;237.7;264.7;23.7000347;23.44999695;0.271645671;5.64985449;24.73251489;0.662270055;706
PARACOU;PAR04h4;PAR04;1ha;285963.8764;582965.2868;285937.4891;583061.7426;286060.3322;582991.6741;286033.9449;583088.1299;308.2;291.8;326.3;276.6;258;296;269.9;255.7;286.3;22.56705917;22.30999947;0.316094828;5.041826086;25.75951488;0.685375312;772
PARACOU;PAR05h1;PAR05;1ha;286181.6379;582920.5831;286153.7387;583016.6124;286277.6672;582948.4822;286249.7681;583044.5115;339.7;320.6;360.9;305;285.2;326.7;297.3;280.8;313.8;24.86529867;25.26999855;0.1884;5.278857099;26.28695844;0.710351583;662
PARACOU;PAR05h2;PAR05;1ha;286153.7387;583016.6124;286125.8396;583112.6418;286249.7681;583044.5115;286221.869;583140.5409;326.6;307.5;346.6;293.6;272.3;315.9;286.4;270;302.9;23.07379442;23.21841717;0.3162;5.49356238;26.16461147;0.718304898;738
PARACOU;PAR05h3;PAR05;1ha;286277.6672;582948.4822;286249.7681;583044.5115;286373.6966;582976.3813;286345.7975;583072.4107;305.6;284.9;328.9;278.7;256.1;308.7;268.3;251.2;290.3;23.83815486;23.6989975;0.2449;5.61854247;25.32939236;0.675581435;649
PARACOU;PAR05h4;PAR05;1ha;286249.7681;583044.5115;286221.869;583140.5409;286345.7975;583072.4107;286317.8984;583168.44;324.1;304.9;344.6;291.1;271.4;312.8;284.7;269.7;302.3;22.63900347;23.06999874;0.2539;4.298055111;25.67694126;0.699752017;674
PARACOU;PAR06h1;PAR06;1ha;286472.3348;582964.1477;286448.1426;583061.1773;286569.3643;582988.3399;286545.1722;583085.3694;380.1;354;408.7;345.6;317.8;374.8;330.8;309;355.3;27.26581874;27.96999931;0.117205485;6.300064182;27.60314989;0.720421693;594
PARACOU;PAR06h2;PAR06;1ha;286448.1426;583061.1773;286423.9504;583158.2068;286545.1722;583085.3694;286520.98;583182.399;508;471.9;544.2;467.1;428;512.3;419.2;393.7;446.5;26.87498712;27.25833321;0.0887331;4.973529594;34.85836281;0.731884908;640
PARACOU;PAR06h3;PAR06;1ha;286569.3643;582988.3399;286545.1722;583085.3694;286666.3939;583012.5321;286642.2017;583109.5616;362.8;337.5;391.1;334.8;305.1;366.6;316.5;293.4;342;28.81431443;29.61428452;0.119204636;7.490840165;26.14123881;0.701576224;475
PARACOU;PAR06h4;PAR06;1ha;286545.1722;583085.3694;286520.98;583182.399;286642.2017;583109.5616;286618.0095;583206.5912;456.8;426.7;492.9;419.9;382;457.8;397;369.2;427.1;28.17736768;29.13999939;0.091817364;5.989991287;31.25883983;0.725025052;555
PARACOU;PAR07h1;PAR07;1ha;286049.2371;582504.0074;286022.5133;582600.3704;286145.6002;582530.7312;286118.8763;582627.0943;445.3;416;478.2;409.3;376.4;445.9;387.3;364;412.8;29.59666149;29.48999977;0.063993601;6.337726743;32.82321003;0.686963947;613
PARACOU;PAR07h2;PAR07;1ha;286022.5133;582600.3704;285995.7894;582696.7335;286118.8763;582627.0943;286092.1525;582723.4573;434.5;405.7;467.6;397.2;363.9;437.3;377.9;353.8;404.3;29.00391471;29.63999939;0.109610961;6.729484525;31.0868557;0.708813112;617
PARACOU;PAR07h3;PAR07;1ha;286145.6002;582530.7312;286118.8763;582627.0943;286241.9632;582557.4551;286215.2394;582653.8181;410.3;384.4;436;374.7;344.3;409.6;357.4;334.8;382.2;27.79214716;28.19714165;0.118688131;6.504415569;30.59440084;0.681322943;580
PARACOU;PAR07h4;PAR07;1ha;286118.8763;582627.0943;286092.1525;582723.4573;286215.2394;582653.8181;286188.5155;582750.1811;463;433.8;495.5;421.7;389.2;455.5;403.1;378.6;429.8;27.06804398;26.97999954;0.104689531;5.726917467;33.10699324;0.713308359;670
PARACOU;PAR08h1;PAR08;1ha;285974.2325;582058.491;285946.3334;582154.5204;286070.2619;582086.3901;286042.3628;582182.4195;311.5;293.2;330.8;280.6;260.5;302.2;272.4;257.8;288.5;23.76943126;23.40856934;0.2699;5.372364787;26.30923783;0.658178121;709
PARACOU;PAR08h2;PAR08;1ha;285946.3334;582154.5204;285918.4343;582250.5498;286042.3628;582182.4195;286014.4637;582278.4489;280.6;263.7;299.7;252.3;234.1;271.6;245.4;231.1;261.2;22.27645146;21.87000084;0.3484;5.077552634;24.24773808;0.65436653;729
PARACOU;PAR08h3;PAR08;1ha;286070.2619;582086.3901;286042.3628;582182.4195;286166.2913;582114.2892;286138.3922;582210.3186;297.8;281.3;315.6;267.8;250.4;285.7;262.1;249.3;275.2;22.20151184;21.53000069;0.3173;4.292305308;26.82258821;0.656725007;845
PARACOU;PAR08h4;PAR08;1ha;286042.3628;582182.4195;286014.4637;582278.4489;286138.3922;582210.3186;286110.4931;582306.348;266.8;250.4;283.7;242.6;225;261.7;234.7;220;249.2;24.35678775;24.25999832;0.1844;5.168987961;24.55252048;0.620214326;715
PARACOU;PAR09h1;PAR09;1ha;286228.4995;581527.7823;286200.6004;581623.8117;286324.5289;581555.6814;286296.6298;581651.7108;410.8;387;436.1;371.2;343.5;401.2;358.1;338.7;381.3;27.06482802;27.44999886;0.1294;6.153419835;29.74954882;0.732244916;655
PARACOU;PAR09h2;PAR09;1ha;286200.6004;581623.8117;286172.7013;581719.8411;286296.6298;581651.7108;286268.7307;581747.7402;371.4;346.4;400.4;341.8;313.4;379.8;324.9;301.5;350.9;26.88560186;27.24856949;0.1409;6.412785011;28.33368407;0.69425338;630
PARACOU;PAR09h3;PAR09;1ha;286324.5289;581555.6814;286296.6298;581651.7108;286420.5583;581583.5805;286392.6592;581679.6099;336.7;315.6;359.7;304.1;281.1;330.7;294.3;276.6;315.1;26.08807652;25.9279995;0.2002;6.826920808;25.59055139;0.714574301;633
PARACOU;PAR09h4;PAR09;1ha;286296.6298;581651.7108;286268.7307;581747.7402;286392.6592;581679.6099;286364.76;581775.6393;352.9;331.6;375.1;318.4;295;346.5;307.6;290;326.4;27.4323515;27.93071365;0.0899;5.698799438;27.71605952;0.683018775;645
PARACOU;PAR10h1;PAR10;1ha;286526.6867;581590.6277;286502.3252;581687.6149;286623.6739;581614.9892;286599.3124;581711.9764;381.7;357.1;406.7;347.3;322.3;378.2;333;313.2;355;25.89696175;26.30699825;0.15370019;5.880607894;29.21879638;0.678966765;669
PARACOU;PAR10h2;PAR10;1ha;286502.3252;581687.6149;286477.9637;581784.6021;286599.3124;581711.9764;286574.9509;581808.9636;300.9;282.4;320.7;273.1;252.6;295.3;263.9;248.9;282.6;24.78387827;24.62999916;0.163244867;5.662289212;25.69061033;0.655471514;658
PARACOU;PAR10h3;PAR10;1ha;286623.6739;581614.9892;286599.3124;581711.9764;286720.6611;581639.3507;286696.2996;581736.3379;340.6;322;360.6;305.8;285.3;329.2;298.2;283.2;314.3;23.85705467;23.68999863;0.146788073;4.233099264;28.10453394;0.687610106;690
PARACOU;PAR10h4;PAR10;1ha;286599.3124;581711.9764;286574.9509;581808.9636;286696.2996;581736.3379;286671.9381;581833.3251;314.7;297.8;334;282.9;264.6;303;275.5;260.4;291.6;24.51131859;24.55000019;0.127997602;4.166493475;26.69034836;0.658181023;636
PARACOU;PAR11h1;PAR11;1ha;286174.7657;581205.3229;286147.8737;581301.6391;286271.082;581232.2149;286244.19;581328.5311;439.5;412;469.7;400.3;369.3;436.8;382.4;359.1;407.2;29.83227667;30.58000183;0.061012202;6.037032283;31.44629631;0.718379733;604
PARACOU;PAR11h2;PAR11;1ha;286147.8737;581301.6391;286120.9817;581397.9554;286244.19;581328.5311;286217.298;581424.8474;407.1;382.9;432.9;367.9;339.6;396.8;356.6;335.9;377.6;25.74444836;26.76000023;0.142585741;5.653826928;29.63761702;0.742461227;697
PARACOU;PAR11h3;PAR11;1ha;286271.082;581232.2149;286244.19;581328.5311;286367.3982;581259.1068;286340.5062;581355.4231;449.6;421.7;477.3;409.2;378.2;443.2;392.7;370;415.5;27.22033712;27.63999939;0.086391361;5.975384839;32.01434731;0.728747108;629
PARACOU;PAR11h4;PAR11;1ha;286244.19;581328.5311;286217.298;581424.8474;286340.5062;581355.4231;286313.6143;581451.7393;412.2;388.3;438.5;371.8;343.4;400.7;359.5;338.7;383.1;28.43018817;28.75799942;0.072592741;5.706572485;30.13836097;0.719127751;643
PARACOU;PAR12h1;PAR12;1ha;286464.8656;581258.1292;286438.1418;581354.4923;286561.2286;581284.8531;286534.5048;581381.2161;340.4;320.9;361;306.3;283.8;328.8;298.5;282.4;315.9;24.63012659;24.04999733;0.165083492;5.110391095;27.4006766;0.695251136;720
PARACOU;PAR12h2;PAR12;1ha;286438.1418;581354.4923;286411.4179;581450.8553;286534.5048;581381.2161;286507.781;581477.5792;321.2;303.3;340.8;289.1;269.5;310.5;281.1;265.8;297.5;24.68088652;23.96999741;0.147829566;4.99943255;26.56921562;0.679185059;721
PARACOU;PAR12h3;PAR12;1ha;286561.2286;581284.8531;286534.5048;581381.2161;286657.5917;581311.5769;286630.8678;581407.94;350.3;329.7;373.2;315.4;292.1;340.9;306.2;288.4;323.6;24.26473179;24.32999802;0.222622262;5.678756295;27.49199484;0.70025275;682
PARACOU;PAR12h4;PAR12;1ha;286534.5048;581381.2161;286507.781;581477.5792;286630.8678;581407.94;286604.144;581504.303;331.5;313;352.3;296;277.4;317.5;290.8;275.5;305.7;22.33510824;22.6799984;0.301230123;4.98634713;25.48249081;0.742602143;717
PARACOU;PAR13h1;PAR13;1ha;285428.7745;583053.0501;285398.8705;583148.4741;285524.1986;583082.9541;285494.2945;583178.3782;412.6;388.2;440.2;377;346.1;411;360.5;338.9;384.6;28.13543994;28.38000107;0.069213843;5.849087599;31.18150168;0.687799521;613
PARACOU;PAR13h2;PAR13;1ha;285398.8705;583148.4741;285368.9664;583243.8981;285494.2945;583178.3782;285464.3904;583273.8022;402.7;378.6;429.2;367.6;338.9;397.2;352.2;330.2;377.6;25.43553041;26.24000072;0.1758;6.368301507;30.41299664;0.699377455;648
PARACOU;PAR13h3;PAR13;1ha;285524.1986;583082.9541;285494.2945;583178.3782;285619.6226;583112.8582;285589.7185;583208.2822;462.9;433.6;492.8;422.7;385.6;460.4;404.3;378.7;431.8;27.39786473;27.93999863;0.095280944;5.527089878;32.19448545;0.744316006;649
PARACOU;PAR13h4;PAR13;1ha;285494.2945;583178.3782;285464.3904;583273.8022;285589.7185;583208.2822;285559.8144;583303.7063;417;390.6;445;378.9;350.3;411.8;363.4;342.7;386;25.67416079;26.36000061;0.111311131;5.865746439;30.00017252;0.721086786;594
PARACOU;PAR14h1;PAR14;1ha;285803.6184;583175.8909;285775.3843;583271.8223;285899.5498;583204.1251;285871.3157;583300.0565;467.7;438.5;498.2;427.9;396.2;465;406.8;382.3;433.4;28.46980419;29.21000099;0.106;6.788780611;33.06781287;0.711848916;596
PARACOU;PAR14h2;PAR14;1ha;285775.3843;583271.8223;285747.1502;583367.7537;285871.3157;583300.0565;285843.0816;583395.9879;467.9;438.4;499.3;425.6;392.7;460.7;406.6;382.4;431.3;28.9262509;29.5;0.0665;5.849889654;32.69608235;0.71998355;586
PARACOU;PAR14h3;PAR14;1ha;285899.5498;583204.1251;285871.3157;583300.0565;285995.4812;583232.3592;285967.2471;583328.2906;389.9;367.3;414.6;351.3;324.5;382.4;340.6;319.1;363.5;27.44154482;27.92999935;0.0961;5.903185494;27.93785439;0.746942582;618
PARACOU;PAR14h4;PAR14;1ha;285871.3157;583300.0565;285843.0816;583395.9879;285967.2471;583328.2906;285939.0129;583424.222;405.1;379.7;432.6;369.1;339.2;401.6;352.9;329.9;378.1;28.2112311;28.62999725;0.0822;5.599567108;28.67510136;0.722963204;542
PARACOU;PAR15h1;PAR15;1ha;286354.2927;583538.1408;286325.3895;583633.8727;286450.0246;583567.0439;286421.1214;583662.7759;486.6;456.4;517.6;442.8;409.8;479;424.3;400.6;450.6;26.35455656;26.97214413;0.0885;4.991959761;34.31474241;0.733004877;695
PARACOU;PAR15h2;PAR15;1ha;286325.3895;583633.8727;286296.4863;583729.6047;286421.1214;583662.7759;286392.2183;583758.5078;402.5;375.1;432.3;368.7;338;404.2;350.9;328.1;376.9;29.01438576;29.32549858;0.059;6.052605869;28.98277795;0.702200122;535
PARACOU;PAR15h3;PAR15;1ha;286450.0246;583567.0439;286421.1214;583662.7759;286545.7566;583595.9471;286516.8534;583691.6791;447;420;474.6;404;376.3;435.9;389.9;367.3;413.7;25.73707373;25.97999954;0.086408641;4.527664887;32.67836298;0.7220472;743
PARACOU;PAR15h4;PAR15;1ha;286421.1214;583662.7759;286392.2183;583758.5078;286516.8534;583691.6791;286487.9502;583787.411;464.4;435.7;494.3;422.3;389;456.5;405.1;381.2;430.5;26.17053019;26.48999882;0.1256;5.470455505;33.1463896;0.742631032;738
PARACOU;PAR16h1;PAR16;1ha;285203.0951;581197.0996;285174.359;581292.8819;285298.8774;581225.8357;285270.1413;581321.6179;468.7;430.8;513.1;444.2;399.3;495.4;409.5;375.7;448.7;25.14868446;24.75999928;0.223522352;7.235520853;33.63755797;0.665842411;613
PARACOU;PAR16h2;PAR16;1ha;285174.359;581292.8819;285145.623;581388.6641;285270.1413;581321.6179;285241.4052;581417.4002;460.1;422.9;503;432.5;393.3;476.9;401.9;371.7;435.3;29.94373801;30.73999786;0.082708271;6.45487806;32.94198344;0.675803923;523
PARACOU;PAR16h3;PAR16;1ha;285145.623;581388.6641;285116.8869;581484.4464;285241.4052;581417.4002;285212.6692;581513.1824;510.8;471.5;552.5;480.9;437.1;528.8;444.3;410.2;477;32.74043733;33.19999695;0.0455;6.868271302;36.09059127;0.681082561;549
PARACOU;PAR16h4;PAR16;1ha;285116.8869;581484.4464;285088.1509;581580.2286;285212.6692;581513.1824;285183.9331;581608.9647;398.3;368.5;426.9;368.2;336.1;405.6;348.5;324.7;373.8;31.5494073;32.68000031;0.057305731;6.811274971;29.79684864;0.671060586;539
PARACOU;PAR16h5;PAR16;1ha;285088.1509;581580.2286;285059.4148;581676.0109;285183.9331;581608.9647;285155.1971;581704.7469;385.2;356;417.8;362.7;329.1;401.8;336.8;311.6;364;28.69757335;30.13000107;0.144414441;9.218660222;30.2682509;0.62934799;533
