Site;Area_code;Plot_code;Scale;sw_x;sw_y;nw_x;nw_y;se_x;se_y;ne_x;ne_y;agb_fph;cred_fph_2.5;cred_fph_97.5;agb_chv;cred_chv_2.5;cred_chv_97.5;agb_loc;cred_loc_2.5;cred_loc_97.5;TCH;H50;GF20;STDV;BA;WD;Ndens
PARACOU;PAR13q12;PAR13;0.25ha;285492.8665;583099.3341;285477.9145;583147.0461;285540.5786;583114.2862;285525.6265;583161.9982;470.5;421.5;525.8;422.7;369;480;409;367.1;451.9;28.81039013;29.35000038;0.0464;4.766374305;33.49742331;0.733730849;656
PARACOU;PAR13q13;PAR13;0.25ha;285477.9145;583147.0461;285462.9625;583194.7582;285525.6265;583161.9982;285510.6745;583209.7102;414.3;372.1;462.7;371.4;329.5;419.4;361.4;325.7;400.6;26.89057141;28.02750015;0.1164;5.948192073;29.62792678;0.742543537;592
PARACOU;PAR13q14;PAR13;0.25ha;285462.9625;583194.7582;285448.0104;583242.4702;285510.6745;583209.7102;285495.7224;583257.4222;409.7;359.2;466.2;370.6;321.7;427.3;356.9;314.3;405.4;23.07773899;24.38999939;0.234706118;6.731338921;29.61004483;0.733814106;680
PARACOU;PAR13q15;PAR13;0.25ha;285448.0104;583242.4702;285433.0584;583290.1822;285495.7224;583257.4222;285480.7704;583305.1342;349.6;307.5;405;320.9;277.4;374.7;304.1;266.6;354.2;27.32540948;28.40214157;0.0868;5.099984879;27.31920175;0.656656856;520
PARACOU;PAR13q16;PAR13;0.25ha;285555.5306;583066.5741;285540.5786;583114.2862;285603.2426;583081.5262;285588.2906;583129.2382;466;422.4;516.9;418.4;375.2;476;408.5;367.5;451.9;27.91493941;28.25000381;0.06397441;4.495405325;33.27781027;0.756278634;728
PARACOU;PAR13q17;PAR13;0.25ha;285540.5786;583114.2862;285525.6265;583161.9982;285588.2906;583129.2382;285573.3385;583176.9502;417.8;368.1;483.8;384.6;329.3;459.1;366.4;320.4;423.7;27.14250316;27.64999962;0.103641457;5.397466986;28.89207467;0.740666239;572
PARACOU;PAR13q18;PAR13;0.25ha;285525.6265;583161.9982;285510.6745;583209.7102;285573.3385;583176.9502;285558.3865;583224.6622;483.7;433.8;536.1;433.1;381.2;491.5;419.9;377.9;462.1;27.27924061;27.97000122;0.078031212;4.98322982;33.66499272;0.746563449;676
PARACOU;PAR13q19;PAR13;0.25ha;285510.6745;583209.7102;285495.7224;583257.4222;285558.3865;583224.6622;285543.4345;583272.3742;358.6;319.4;402.6;321.1;282.3;363.6;313.1;279.9;348.3;24.93490068;24.73999786;0.081967213;4.040173269;26.05350748;0.733061707;544
PARACOU;PAR13q20;PAR13;0.25ha;285495.7224;583257.4222;285480.7704;583305.1342;285543.4345;583272.3742;285528.4824;583320.0863;467.1;411;530.3;425.6;372;493.5;407;360.6;461;28.88137342;29.82999897;0.0548;4.989474475;33.8916492;0.692271819;600
PARACOU;PAR13q21;PAR13;0.25ha;285603.2426;583081.5262;285588.2906;583129.2382;285650.9546;583096.4782;285636.0026;583144.1902;506;444.2;580.7;464.6;398.7;545.7;440.1;387.7;501;27.09103632;26.96999741;0.045581767;4.572889074;33.92289234;0.746287843;592
PARACOU;PAR13q22;PAR13;0.25ha;285588.2906;583129.2382;285573.3385;583176.9502;285636.0026;583144.1902;285621.0506;583191.9023;490.5;428.5;565.2;454.4;390.3;531.6;427;374.3;491.3;29.91434963;30.30666542;0.032412965;5.335514007;34.77164386;0.698813891;576
PARACOU;PAR13q23;PAR13;0.25ha;285573.3385;583176.9502;285558.3865;583224.6622;285621.0506;583191.9023;285606.0985;583239.6143;399;343.4;468.2;371.5;310.3;439.3;347.7;299.4;405.6;28.69966436;28.92666435;0.0628;5.885094625;28.65772128;0.701002023;544
PARACOU;PAR13q24;PAR13;0.25ha;285558.3865;583224.6622;285543.4345;583272.3742;285606.0985;583239.6143;285591.1465;583287.3263;239.4;205.5;281.2;216.9;183.4;255.2;209.2;179.3;240.5;20.32141051;22.46500206;0.366546619;9.187627522;18.76828606;0.690038338;424
PARACOU;PAR13q25;PAR13;0.25ha;285543.4345;583272.3742;285528.4824;583320.0863;285591.1465;583287.3263;285576.1944;583335.0383;459.7;402.7;527.8;426.3;365.8;499.9;401;354.6;463.1;27.12604926;27.22999954;0.058423369;4.751857462;32.57223998;0.698325817;548
PARACOU;PAR14q1;PAR14;0.25ha;285786.6941;583144.8495;285772.5771;583192.8152;285834.6598;583158.9666;285820.5428;583206.9323;477.1;412.5;546.5;441.4;378.2;521.3;415.9;364.3;479.7;32.29840994;32.63749886;0.0452;6.867350558;32.1180882;0.726383202;540
PARACOU;PAR14q2;PAR14;0.25ha;285772.5771;583192.8152;285758.46;583240.7809;285820.5428;583206.9323;285806.4257;583254.898;517.7;457.6;585.7;468.8;412.3;537.6;448.2;398;503.9;30.30411151;29.8599987;0.0192;4.701899821;35.05999494;0.72879346;592
PARACOU;PAR14q3;PAR14;0.25ha;285758.46;583240.7809;285744.3429;583288.7466;285806.4257;583254.898;285792.3086;583302.8637;423.5;375.3;478.9;385.5;332.1;450.1;367.9;326.5;416.4;30.45134916;30.4175005;0.0388;5.523143056;29.91949171;0.710570664;512
PARACOU;PAR14q4;PAR14;0.25ha;285744.3429;583288.7466;285730.2258;583336.7123;285792.3086;583302.8637;285778.1915;583350.8294;411;368.9;459.4;371.4;327.7;421.6;359.3;320.9;400.6;26.75853972;27.78499985;0.1308;6.232317901;29.75093898;0.728511119;648
PARACOU;PAR14q5;PAR14;0.25ha;285730.2258;583336.7123;285716.1088;583384.678;285778.1915;583350.8294;285764.0745;583398.7951;488.9;429.2;559.5;446.2;386.4;519.6;424.2;375.1;481.4;28.72422229;29.627141;0.0736;6.004045091;33.92019371;0.714123669;588
PARACOU;PAR14q6;PAR14;0.25ha;285834.6598;583158.9666;285820.5428;583206.9323;285882.6255;583173.0837;285868.5085;583221.0494;537.3;474.5;613.4;494.3;423.6;575.3;468.9;416.1;528.9;29.35632192;28.26394653;0.0144;5.535176056;37.11627415;0.726147958;656
PARACOU;PAR14q7;PAR14;0.25ha;285820.5428;583206.9323;285806.4257;583254.898;285868.5085;583221.0494;285854.3914;583269.0151;378.7;330.7;434.4;343;296.6;402.9;330.1;286.6;378.5;27.92072724;28.76999855;0.1368;6.415197618;27.29024883;0.709975424;540
PARACOU;PAR14q8;PAR14;0.25ha;285806.4257;583254.898;285792.3086;583302.8637;285854.3914;583269.0151;285840.2743;583316.9808;468.4;411.6;538.7;434.4;368.1;508.6;407.6;355.1;466.6;29.73997919;31.94499683;0.116;7.277989045;32.85303553;0.692930879;488
PARACOU;PAR14q9;PAR14;0.25ha;285792.3086;583302.8637;285778.1915;583350.8294;285840.2743;583316.9808;285826.1572;583364.9465;480.4;426.7;538.7;433.8;376.4;497.6;417.5;374.4;466.7;26.91099906;27.04000092;0.0636;4.5205246;32.96748689;0.734566524;596
PARACOU;PAR14q10;PAR14;0.25ha;285778.1915;583350.8294;285764.0745;583398.7951;285826.1572;583364.9465;285812.0402;583412.9122;496.3;441.1;560.1;453.2;395.2;518.3;431.7;386.2;485;28.74865457;29.23999786;0.0268;3.97559143;36.14653361;0.703898773;712
PARACOU;PAR14q11;PAR14;0.25ha;285882.6255;583173.0837;285868.5085;583221.0494;285930.5912;583187.2007;285916.4742;583235.1664;428.8;383.9;479;389.4;342.8;448.7;372.4;333.4;416.2;29.18249292;30.17249775;0.0296;4.429657878;32.52905879;0.696859608;644
PARACOU;PAR14q12;PAR14;0.25ha;285868.5085;583221.0494;285854.3914;583269.0151;285916.4742;583235.1664;285902.3571;583283.1321;394.4;350.2;444.5;357.7;314.4;406.9;344.1;303.3;387.3;27.32602186;28.73444557;0.15;8.141042405;29.24947168;0.699641981;552
PARACOU;PAR14q13;PAR14;0.25ha;285854.3914;583269.0151;285840.2743;583316.9808;285902.3571;583283.1321;285888.24;583331.0978;373.3;335;417.7;338;298.6;379.9;326.1;291.2;364;26.86716418;27.65999794;0.1076;5.757444485;28.52548851;0.689212261;576
PARACOU;PAR14q14;PAR14;0.25ha;285840.2743;583316.9808;285826.1572;583364.9465;285888.24;583331.0978;285874.1229;583379.0635;391.3;342.1;450.7;354.8;305.8;415.9;340.5;297.9;390;27.91776588;28.29999924;0.1172;6.469241481;27.62409018;0.728927963;552
PARACOU;PAR14q15;PAR14;0.25ha;285826.1572;583364.9465;285812.0402;583412.9122;285874.1229;583379.0635;285860.0059;583427.0292;595.5;531.8;670;541.1;472.5;622.4;519.5;465.7;587.9;26.00309503;25.90499973;0.076;4.333329215;40.83721733;0.750587159;812
PARACOU;PAR14q16;PAR14;0.25ha;285930.5912;583187.2007;285916.4742;583235.1664;285978.5569;583201.3178;285964.4399;583249.2835;386.9;341.6;439;350.8;306.7;402.9;338.8;302.4;379.4;28.47575931;29.49499702;0.0876;5.654268999;28.23448906;0.736371334;620
PARACOU;PAR14q17;PAR14;0.25ha;285916.4742;583235.1664;285902.3571;583283.1321;285964.4399;583249.2835;285950.3228;583297.2492;332.1;296.3;369.7;295.7;263.4;338.3;290.9;259.4;326;26.19668863;26.79916763;0.0956;5.123926909;24.39885576;0.766348386;620
PARACOU;PAR14q18;PAR14;0.25ha;285902.3571;583283.1321;285888.24;583331.0978;285950.3228;583297.2492;285936.2057;583345.2149;408.7;365.2;462.3;365;315.1;419.6;356.8;319.5;401.2;27.4513261;27.95999908;0.1152;5.776420128;27.51387368;0.793534418;620
PARACOU;PAR14q19;PAR14;0.25ha;285888.24;583331.0978;285874.1229;583379.0635;285936.2057;583345.2149;285922.0886;583393.1806;399.3;349.5;463.1;363.2;308.8;422.6;346.9;303.7;400.1;27.4429737;28.03000069;0.1296;6.317735829;28.01262665;0.717473097;528
PARACOU;PAR14q20;PAR14;0.25ha;285874.1229;583379.0635;285860.0059;583427.0292;285922.0886;583393.1806;285907.9716;583441.1463;412.4;356.2;478.9;383.6;326.8;454.4;360;309.9;418.4;28.65224442;28.61999798;0.074;6.044485712;30.49940458;0.684585368;548
PARACOU;PAR14q21;PAR14;0.25ha;285978.5569;583201.3178;285964.4399;583249.2835;286026.5226;583215.4349;286012.4056;583263.4006;400;354.2;454.6;362.1;312.1;418.5;348.9;304.8;396;28.12453566;28.52000046;0.058023209;5.009015145;27.46731842;0.752420331;536
PARACOU;PAR14q22;PAR14;0.25ha;285964.4399;583249.2835;285950.3228;583297.2492;286012.4056;583263.4006;285998.2885;583311.3663;327;285.9;372.1;293.8;253;338;285.4;253.1;326.2;25.85685443;27.02000237;0.1684;7.121302831;23.40135297;0.7534449;556
PARACOU;PAR14q23;PAR14;0.25ha;285950.3228;583297.2492;285936.2057;583345.2149;285998.2885;583311.3663;285984.1714;583359.332;446.8;391.4;510;407.7;350.1;473.9;390.4;345.5;443.7;30.59861502;31.43500137;0.0436;4.518112634;30.10768882;0.752158624;580
PARACOU;PAR14q24;PAR14;0.25ha;285936.2057;583345.2149;285922.0886;583393.1806;285984.1714;583359.332;285970.0543;583407.2977;470.8;417.2;536.5;430.6;370.5;500.6;411.2;362.8;464.6;30.40292932;29.6050005;0.0084;5.27850944;33.09890285;0.733351341;636
PARACOU;PAR14q25;PAR14;0.25ha;285922.0886;583393.1806;285907.9716;583441.1463;285970.0543;583407.2977;285955.9373;583455.2634;380.5;337;430.4;341.3;299.8;393.9;330.8;295.2;369.2;25.73138688;25.75999928;0.0492;3.464001483;27.66911548;0.736406055;604
